conference,global_session,speaker,global_minute,transcript,has_new_idea,is_explanation,is_self_intro
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Marie-Claire Arrieta,,"Um, I could say and hi, I'm I'm Claire Arrieta from the University of Calgary. This is not exactly my field, but one of the general perceptions that I have is that although there are quite a bit of surveys, um, and exploratory studies on on the metabolism and the different metabolites. Um, that can interact with with the host, there's still not a ton known as to what which specific microbes or micro groups produce them and and and that would be to me would be really important to then know how the microbiome can be modulated in order to change uh the metabolic output for metabolites of host health importance.",True,False,True
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,"Yeah, hi, I'm Abhishek. Uh my training is in biophysics and microbiology. And I'm an assistant professor at Arizona State University. I'm in the School of Life Sciences and the Biodesign Institute over here. And uh I study how um you know, well, there are two main focus of my lab. One is how the, you know, the factors that shape the structure of the microbiome and we are focused on at least at this point on the human oral microbiome. And we are, you know, perturbing certain factors and studying how the readout changes. And then the other project in my lab is on the type nine secretion system where we and this type nine secretion system is found in a large number of bacteria of the phyla bacterioidities and we try to study, you know, how adhesions and certain enzymes are secreted by these, what are the stressors or sensors that regulate this secretion system and how that might uh result in changes in the structure of the community.",False,True,True
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,"I have, you know, my office hours are going on for my teaching right now and have one student waiting on a zoom call, so I might just float away for the first five minutes, so please excuse me.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,"Well, yeah, that's right. It at the end this has to be translated to some sort of chemical signal that the microbiome is receiving from the host, you know. So, yeah, I would think rather than thinking on what the humans are, you know, sensing, we'd have to think what the microbes are sensing. I don't know what other things others think about that.",True,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,"So redox, so pH and redox are yeah. Yeah, that's.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,That's a great one.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,"Yeah, that's that's right and you know to add on to that is this type six secretion system that is found in Vibrio and other you know pseudomonas and things like and bacteria like those which you know helps in interbacterial warfare so bacteria communicate you know to interact with one another and certain enzymes are injected into other bacteria and the other bacteria dies essentially. So that's also presence of other bacteria can just be a stress. things coming out which are needles.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,"So not a direct answer but Ali mentioned motility of the gut, right? So what does changing changes in the motility of the gut, you know, mean to the microbes? You're increasing fluid flows, right?",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,So are microbes sensing fluid flows? we know that they can do mechano sensing. So are they sensing mechanical signals and then is there a downstream pathway? We know that in bacteria cyclic di GMP molecule uh change and there's a lot of secondary messenger activity that goes on when there's mechano sensing.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,But you know.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,"Yeah, yeah, but yeah and then you know cell surface can also their envelope stresses that can also do do similar kind of signaling downstream essentially.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,Yeah.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,Which is.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Abhishek Shrivastava ASU,,Yeah.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,Carolina?,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,Thank you. Lisa.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,"Abhishek, I know you, but maybe people don't know you. Go ahead.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,Chris.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,Thank you. Wenjing.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,"I know, but others may not know you. Just give a uh one sentence about yourself. I know you are in uh neuroscientist, but some people don't.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,Thank you.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,Who is going to um volunteer to be a reporter?,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,"Please, one of you.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,Thank you. Sure.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,My suggestion is just,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,you start what,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Ali Keshavarziian,,"what you think and the others can pitch in. Uh the stress is first of all, let's define the stress. What do we mean with the stress?",False,True,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Chris Whtibey,,"Yeah, I've been thinking a fair bit about um pH stress. Obviously that being related to the to the vaginal microbiome but also the gut, you know, sort of you're talking about the gastric microbiome, H pylori can thrive where lactobacilli would not, like they would die. So trying to think about what what ways we can use to study, I guess in a more high throughput way what the impact of different conditions on these different taxa are. Um might be one way to start to get a handle on this because I guess from what I'm what I'm gathering from the conversation is there are just so many different types of stress, so many different types of stress response that we're thinking about that we need to kind of start to define, okay, which ones do we want to look at, how do we look at them? Um which is all its own kind of question, like how do you define which which stress is the most important on a microbe. Oxidative stress seems like a reasonable place to start just based on leaky gut and what we know about oxidative stress and um metabolism, but I guess I'm trying to run through that.",True,False,True
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Chris Whtibey,,Yeah.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Lisa Ryne,,"I'm Lisa Ryne. I'm an assistant professor of chemistry and biochemistry at Oberlin College. It's a small liberal arts college in Ohio. Um, we study how um stress responses in bacteria influence the formation and composition of biofilm. And we also use those stress responses as um uh as templates for sensors for um detecting very low concentrations of antibiotic in aqueous solutions.",False,False,True
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Lisa Ryne,,I mean I think there's a,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Lisa Ryne,,"Oh. Sorry, reaching. Um I I think there's a fair amount of um kind of basic biology that could be used in terms of bioengineering and and you know, introducing for example probiotic microbes that, you know, make the things that you want to make. Um so you know, whether they're involved in quorum sensing or um, you know, making short chain fatty acids or or whatever um that you're you're trying to study. So I think probably from the bioengineering perspective that that might be one one place to start.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Lisa Ryne,,"Well, I I definitely don't think about hosts that much though. So I guess that's why I'm pausing. Um so, you know, in terms of I I guess the thing that I have been thinking about though, which is again not not host related, but um is I know that there are actually big changes in um in in gene expression between different sorry, my cat is like having a moment. Um different uh kind of expression in in different states of bacteria. So for example, the bacteria that you culture in lab.",True,False,True
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Lisa Ryne,,"that might be um, you know, planktonic or swimming will have a different genetic signature than one that would be grown as a biofilm in lab. And so one of the things I guess that I've been thinking about is how would you sort of interface that with one of these organoid models. Um and I I don't know the answer, but I think that could be something that would be really interesting to think about.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Xin Qi,,Yeah.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Xin Qi,,"Yeah, I think that in terms of the stress you mentioned, this is really depends on the case study we study, right? Either the disease or and the physiological condition in the people eat different foods and actually they they have in the gut inflammation, those could all create the all kinds of inflammation. Oxidative stress is one of them, I guess this one of common stressors to many things. Uh either this is the uh there's uh short chain amino acid break down and also fragmented polypeptide and mitochondria and all the bacteria changes bio fluid changes they all create the oxidative stress. But in I thought it's stress is really depends on the model we're studying, you know, if we're studying and the neurodegenerative disease and what the stress will be and uh in for the GI uh the GI disease and what the what stress we should actually study or focus. Uh that is what I thought, you know, we cannot include all the stressors to one model or one case, one case and I think this really really need to tailor which model we're going to use or what condition we're going to study.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Xin Qi,,"So in my lab we actually profile the um we use the unbiased proteomic and genomic analysis to profile the proteins and genes which uh in the gut uh in the Alzheimer disease mouse model. Uh it turns out it's really time dependent age depend those protein change uh no matter protein level and gene change, those actually are very age dependent and the species dependent. Um and I I I guess also depends on the institutions ARC condition. Um that is what I thought so we really need to define the model system and then uh actually profile this based on the model system and figure out the profile the signaling pathway.",False,False,True
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Xin Qi,,"when we actually use the um Alzheimer disease mouse model, we use two mouse models. One is over express APP mutation. Another is APP knocking transgenic mice. We can we can definitely see the different difference between the proteins. we can definitely see the protein database between the two species and we pick up if we pick up the one model, uh we we we we did the bioinformatic analysis. So we saw a lot of metabolism, amino acid disruption and the the metabolic regulation and uh ferroptosis and the uh in the autophagy related cell death and the endocytosis related uh the signaling pathway. They all change uh in the AD in the context of the AD versus white type animals.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Xin Qi,,"And I think now we just focus on one of these pathways to manipulate definitely we need to pick up the good protein, the good candidate to manipulate those the signal pathway. I think probably this is one way to think of how we can manipulate or we can actually profile the stress the signaling pathway, we we can manipulate the pathway.",False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Xin Qi,,Yeah.,False,False,False
2021_04_23_MND_S15,2021_04_23_MND_S15_MND,Xin Qi,,Yeah.,False,False,False
2021_04_23_MND_S2,2021_04_23_MND_S2_MND,Sarah Mackachern,,"Hi, I'm Sarah. I'm a developmental pediatrician in training. Um was just offered an assistant uh sorry, yeah, assistant professor position at the University of Calgary. Start date sort of TBD. I know, very exciting. Ha, crazy. Uh don't pinch me if this is a dream, I don't want to wake up. Um but uh my lab will be working on um sort of precision medicine approaches to understanding neurodevelopmental disorders. Um like using machine learning applied to big data. Um I think I'm here because my PhD work was in the neuroscience of the gut, the nervous system. And so I have this fantasy of, you know, my early 20s work and the work I do now maybe coming together. So it's been really interesting to hear about what all you very smart people are doing. Um and uh yeah, I think that's about it. I I'm really interested to see how if there's any links from the microbiome being able to actually help my patients. So, yeah.",False,True,True
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,"Yeah, same with me. I didn't write anything yet, but I can do that.",False,False,False
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,Do you want me to recap for you what the question was first or you you going to tell people that specific everyone else won't know these prompts.,False,False,False
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,"Okay. I think we're room three, so I'll just put it in the three one. All right, so I guess I read my notes, but what what do you want me to put as our actual notes for the point one.",False,False,False
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,I put some notes up here.,False,False,False
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,"I'm not sure we got to the third point, but let me know what you want me to add or take away.",False,False,True
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,"I put some notes up here. I'm not sure we got to the third point, but let me know what you want me to add or take away.",False,False,True
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,"That what you're referring to? Um, no, the third wasn't there a third question? Do we really understand the",False,False,False
