session,burst_id,center_time_sec,idea_win_start,idea_win_end,soln_win_start,soln_win_end,idea_n_utts,idea_unique_speakers,idea_decision_per_1000,idea_assign_hits,idea_agree_hits,soln_n_utts,soln_unique_speakers,soln_decision_per_1000,soln_assign_hits,soln_agree_hits,idea_text,solution_text,solution_summary,solution_keywords,near_decision_hits,near_assign_hits,near_agree_hits
2021_04_23_MND_S1,2021_04_23_MND_S1_B1,755.0,-60,-10,0,30,7,5,0.0,1,0,6,4,166.66666666666666,0,0,"I guess we have many more questions than answers. That's because that's how science works. Very interesting. I guess we have many more questions than answers. That's because that's how science works. Very interesting. I'm an advocate for big data. So if we sequence a huge amount of metabolome for patient and coupled with their microbiome, I believe we can fish out a lot of correlated patterns. Thank you, Jay, for all these awesome notes. Maybe maybe I can uh just take a second since some of you may not be remembering your your biochemistry course where you talked about microbial fermentation. You know, fermentation can mean a lot of different things. Um, there's a very specific kind of definition about anaerobic fermentation, no oxygen around. And so in order to extract energy from things, you sort of end up making ethanol or you end up making lactic acid, say in muscle or things like that. But then we also know there's fermentation, there's all kinds of foods that you you allow them to ferment, whatever that means, uh that that makes them stable, sterile over time, things like that, kimchi, you know, all kinds of great things like that. And those are supposed to have uh uh some kind of neurological or mental health benefit as well. And there's a whole gamish of things that are being produced in those. So you have this wide range of things. I I I think microbial fermentation really just sort of means um some kind of biochemical transformation that occurs without oxygen, something like that. Emily, you're probably much more of a chemist than I am. Um, what would you what would you say to add to that? This is very stressful. Very comprehensive. Yeah, because I want to I want to capture everything you guys say, but then, you know, I'll probably need like five minutes or so to actually boil this down to a three minute below. Um so talking about how, you know, there's this increase in people over the age of 65. I went to a gero science conference like a year and a half ago and it's called the Silver Tsunami, which I love that name. Um but basically is there some underlying thing that's triggering all of aging? And we know that age is associated with a change in the microbiome, a reduction in say short chain fatty acids or what else. Um could age associated changes in the microbiome be driving all of aging and all of those diseases, metabolic, brain dysfunction. I think that's like a super a really big, super cool question. I don't know if we can tackle it, but I love it.","Or at the very least identify some interesting targets that then could be tested in a more simplistic model like a mouse or in a disease model or something. So maybe we should, you know, switch to doing that right now. This is, we have a whole core curriculum on this on reactor design. A key parameter of reactor design is residence time, which is the flow rate divided by the volume, right? So, that motility being the flow rate is going to influence the conversion or whatever fermentation products come out of your reactor, right? And so, I love this idea of influencing motility as a way to manipulate the microbiome and in doing so, manipulate the metabolome. Also, one thing I want to mention is, I think Tom, you were mentioning, you know, we can get, for example, micro gut microbes to produce more butyrate or induce the production of more dopamine. But like, we can't, but how do we actually control that? I mean, you don't want them just be secreting butyrate like all the time. And will that have any, and how do we actually know? Like, for example, this is like a philosophical question. But what do we know? What is the actual healthy state? What is the the host healthy state? This is something my lab thinks about a lot. What is the actual state that we want to induce? And do all these chemicals and all these, you know, functions actually matter towards getting us closer to that that endpoint of normal brain activity? I don't know how you define normal, but healthy brain activity, you know? Like, not only can we prioritize based on, you know, specific mechanisms, specific, you know, bioinformatics approaches, but will all of them matter towards changing anything? That's something I think about a lot. only 60 seconds. A key parameter of reactor design is residence time, which is the flow rate divided by the volume, right? So, that motility, being the flow rate, is going to influence the conversion or whatever fermentation products come out of your reactor, right? And so, I love this idea of influencing motility as a way to manipulate the microbiome, and in doing so, manipulate the metabolome. So on the flip side of this with thinking about neurodegenerative diseases and medications that are given to the patients, how does the microbiome affect those medications? Because a lot of these have, you know, neuroactive properties that affect the GI as well and the metabolic impact of the microbiome on the medication and how that then indirectly affects the disease outcome. I heard of an example with PD, but is there like some sort of large scale work getting done on that front, just like interaction of the microbiome with medications in general.",,"know, like, reactor, microbiome, right, motility, manipulate, rate, flow rate, flow, state, reactor design",1,0,0
2021_04_23_MND_S10,2021_04_23_MND_S10_B1,589.0,-60,-10,0,30,4,3,0.0,0,0,6,3,0.0,0,0,"Yeah. I mean that would probably huge, right? I mean one of the things we work with is E coli Nissle and E coli Nissle is a form of E coli that is probiotic. And so I think that's probably more likely that what's going on in vivo, um, although, you know, I think that we're as a field just coming toward that, um, that question. Uh and I think it's a really interesting one for sure. But yeah, bottom line, I don't think we know.","Um, microbial produced metabolites could, you know, if you have a leaky gut, they could kind of, you know, the metabolites can find themselves into the circulatory system. And who knows what happens after that. Um, you can stimulate the um, kind of the inter endocrine cells to actually make and in turn they make, you know, Um so that's kind of more on the clinical and translational side. On the more basic science side, we do uh uh bioinformatics studies um of uh microbial genomes to identify what chemicals, natural products they could be producing and how those uh chemicals could influence uh uh host disease um in the context of autoimmunity. Uh and siderophore production. different types of hormones um that affect other the activities of different tissues. Um, in regards to synapses at the inter nervous system, definitely um could be one mechanism, but apart from that, there's probably various other ways that microbial products could affect the brain. So complex. So like it transports iron like crazy and in doing so takes over the E coli and Shigella on Shiga toxin producing E coli niche. So, um like that that to me seems like a great like interface, right?",,"um, uh, like, kind, microbial, know, different, inter, producing, metabolites, uh uh, chemicals",0,0,0
2021_04_23_MND_S11,2021_04_23_MND_S11_B1,846.0,-60,-10,0,30,2,2,0.0,1,0,9,5,0.0,0,2,"I mean my graduate lab was focused on stress and GI function and so we did a lot of acute stress, chronic stress. Um and the idea was at least initially that it was chemicals released from the brain in response to stress, presumably anxiety with the similar yet different mechanisms, but that that would cause increased ion transport, it would affect the the transporters on the epithelial cells, cause water efflux into the gut uh and then impact the tight junctions and that this was transient. So it was temporary for an acute stress and it was more permanent with the chronic stress. Um and things like corticosterone increase rapidly with the stressor and then they kind of flat line. So if you're going to do chronic stress, you'll still get activation but it's much lower and then that's associated with immune responses, um inflammation, damage, all those things. So there's and then that is associated with a dysbiosis. So acute responses to stress or anxiety are not associated with immuno immune activation and and microbiome changes. Those are more chronic. Um we studied most of those using using chambers and things like that. I don't know if that really answers the question but So so your comment is is to define what is maybe if you think specifically on on, you know, small molecules produced by by gut bacteria and or maybe um host induction of small molecules by the microbiome, right?","Immune neural. Yeah. I think so. Or meditation or mindfulness, right? So that might be awesome. I'm sorry. Well, we know that meditation techniques it essentially activates the parasympathetic nervous system. Um and that's how it like has much of its beneficial effects on physiological functioning. So maybe something as quote easy as that could at least hijack some of these processes that might be going on or slow down kind of the negative connections, so to speak. No, no, go ahead. Also important to I mean the technique that you choose depends on the question you're asking. So like mass spec is great for getting, you know, a big picture look at all the different molecules there in the tissue, whereas like I'm a sensors person. So I'm like really good at measuring one or two things but really fast temporal resolution in live tissue. So it depends on the the question you're trying to I guess ask. So I mean, and I think both are important. Um, so I guess when you're defining the messengers, it's like, do you want to look at a snapshot in time of like all the different messengers that are um present or is it important to look at dynamics of how they're signaling? Because that that can dictate what technology you choose. How do I reduce text sizes, text font size on Google slides? Are are there evidence for people who either individuals or populations where meditation is prominent that are there is there any differences in the same infectious outcomes in terms of infectious disease or something that you can measure on a population scale that would give you insights into the immune system.",,"like, meditation, um, important, look, question, know, different, infectious, depends question, depends, text",0,0,1
2021_04_23_MND_S11,2021_04_23_MND_S11_B2,1170.0,-60,-10,0,30,0,0,0.0,0,0,3,3,0.0,0,0,,"Yeah. You feel you feel in your gut, right? Right.",,"right, feel, yeah feel, yeah, right right, gut right, gut, feel gut, feel feel",0,0,0
2021_04_23_MND_S12,2021_04_23_MND_S12_B1,684.0,-60,-10,0,30,2,2,0.0,0,0,5,3,200.0,2,3,"Let me see. Google Drive. Yeah, it should be 55. I'm just going to ask because I work in a somewhat simpler system, zebrafish, which has the you can see through the larvae, so you can put in labeled bugs and you can know where they go and you can put in one labeled bug and another labeled bug and see one bug chase another bug out and things like that.","Okay, slide. Okay. Yeah. Just go copy copy it and make it uh and and uh we'll get them fixed. We'll get them straightened out. Okay, thank you. Thank you. Okay, well, so um so maybe I'll just start this off. What do people think about the diversity of messages that pass back and forth between the gut microbiome and the brain?",,"okay, ll, copy, uh, thank, just, yeah just, just copy, maybe ll, maybe, make uh, make",1,1,2
2021_04_23_MND_S12,2021_04_23_MND_S12_B2,1044.0,-60,-10,0,30,3,2,0.0,0,0,3,2,0.0,1,0,"So what are the typical have been, you know, explored to figure out, right? Any thought anyway? I work in multiple sclerosis.","I'll go next. Um, so I'm Maayan Levy. I'm an assistant professor at Q Penn. Um I started my lab three years ago and we study um generally in the interaction between the host and the microbiome and we're specifically interested in how epithelial cells in the gut are mediating this interaction. Um, we are trying to identify um new metabolites that are being sensed by intestinal epithelial cells and new receptors that are sensing these metabolites. I would cannulate the portal vein and you could do portal vein sampling longitudinally and continuously.",,"um, metabolites, cells, portal vein, portal, epithelial cells, epithelial, new, interaction, vein, levy assistant, ll",0,1,0
2021_04_23_MND_S13,2021_04_23_MND_S13_B1,874.0,-60,-10,0,30,4,4,0.0,0,0,7,5,0.0,2,1,"I really like this type of, you know, conference. It's like everybody just gets together from various domains and just talk and just, you know, a nice theme comes out just organically. So if I understand your question, you're asking whether or not there's been a demonstration of microbial communities impacting biological outcome such as uh behavior. Our lab's really interested in the idea of privileged substrates, right? So prebiotics are things that not everybody can eat, right? And ideally there you'd have one that nobody can eat, but your proprietary organism, right? Um and so uh I really I love the idea of a radio labeled prebiotic such that if you have privileged substrate, it's not going to get converted into dopamine or whatever uh unless that bug uh eats it. Um that could be really interesting, I think. We have a few minutes. Any other points, something else you would like to share, discuss?","Uh, I know Emily was gonna remind me. Uh, Pamela. Well, more specifically, um by modulating neurotransmitters. Like I I definitely know that there were papers that have shown that like bug makes this neurotransmitter or it can consume this neurotransmitter and then there's been suggestions that that metabolic activity within the gut has led to, you know, or will impact the nervous system in some way. Hi everyone. Uh my name is Pam Chang. I'm an assistant professor at Cornell. Uh, I'm in the Department of Microbiology and Immunology. I'm trained as a chemical biologist and immunologist and my lab um studies the interactions between the gut microbiota and the host immune system um via small molecule metabolites. We use mouse models of inflammatory bowel disease and infection. We're interested in the gut brain axis, obviously. Yeah. Well we're going to close in 30 seconds. I don't see the update yet on the slides. Um so I don't know if Lisa or Elizabeth is going to put it up. Okay?",,"uh, know, um, gut, going, neurotransmitter, like, don, immune, host immune, host, hi uh",0,2,0
2021_04_23_MND_S14,2021_04_23_MND_S14_B1,882.0,-60,-10,0,30,7,6,0.0,1,2,14,10,0.0,1,1,"Yeah, this this is really good. I mean, I feel yeah, it's it's more than just neuronal function that we were manipulating. Um definitely neuron will will send out the message to a lot of different systems. So um we're currently doing generating the AV to push it to the mouse brain system. we're we're trying to look at particularly like spinal cord injury uh model because that's also part of the CNS which is much harder to regenerate. Um but but that's the plan. that would give you insights into the immune system. I don't know if there are differences in dietary habits, something that you know, or something again that you wouldn't have to study in a clinical trial, right? Um, you know, using molecular techniques. But I don't know if that's if if people have like, you know, looked at populations or individuals where, you know, people who meditate or mindful versus those who aren't, you know, what do we know about their immune or GI systems, right? Oh, yeah. Make sure to add your name. But that that that's the that that mediates the effect versus the fact that again, in this one isolated case that that we know a little bit about, you know, the percentage of the molecule that gets in the brain is a fraction of what's circulating in the body, right? And so there's much more of these metabolites that are still in the gut and in the rest of the body than the brain. So you know, to your point is that it could be doing the same molecule can do one thing in in one tissue and a different thing when it arrives in a different tissue, right? is it is it dampening inflammation?","Protecting. Yeah. Interesting, interesting. And and what's known I mean about maybe Tanya, you since you're you're clear about you mentioned, you know, what about like deep brain stimulation or other ways to essentially activate something in the brain. I'm not sure we know what region or or you know, you know, makes a lot of sense to activate. I think this is good. Looks really nice. Well done. Nice chatting with you guys. So in in the chronic stress paradigms, was it corticosterone that led to these changes in it was like the molecule corticosterone that led to the changes in transport or you or is it some other system and you're in parallel measuring the stress response? Um, I'm just wondering, you know, is is is corticosterone that that molecular handle if you will connecting the you know, you know, GI effects. Yeah, that's really good. Great chat. But this you know, A would define you know, it would it would require defining this and then spending many many years studying each and every one of them, right? For the particular context in which you're doing this Kai. So I mean you is it in a disease state or you just what how do you choose the regions that you're activating? that's a good question. I'm not sure of that. See you guys soon. Correct. Correct.",,"know, corticosterone, good, activate, nice, correct, corticosterone led, really, guys, interesting, sure, just",0,0,0
2021_04_23_MND_S15,2021_04_23_MND_S15_B1,757.5,-60,-10,0,30,4,3,0.0,1,1,8,4,0.0,1,2,"Yeah, yeah, yeah. Uh, okay. Uh, okay. So anything else? Well we can do it ourselves too, I guess. And Wenching, I think you had a question about the transcript function here. I don't know if Silvia can address that, but. Uh, so for the last section, the perturbation part, um 3.1, um so we kind of talk about this lack of genetic approach for this microbio. I think that's that's very important. I mean to me. I'm a little bit biased because I I don't know actually. I mean, sort of but um it's so interesting.","I can save the chat. I don't know. Can you save the chat? Can you save the chat yourself or or we need to do it for you? Okay, is my screen well? The transcript? Yeah. Okay, so let me just change the font so you can see better. Okay, so I think first we talked about the definition of a stress and uh we cannot see everything here, right? You you're talking about saving the chat, right? Um. Oh no, the transcript. So that when we speak and the machine automatically translate.",,"chat, okay, save, save chat, right, transcript, just change, know, know save, let, let just, font better",1,1,1
2021_04_23_MND_S16,2021_04_23_MND_S16_B1,724.5,-60,-10,0,30,2,1,0.0,0,1,1,1,0.0,0,0,"Hi, my name is Nandita Garud. I'm an assistant professor in Ecology and Evolutionary Biology at UCLA and I'm interested in studying how the microbes inside our guts evolve and more broadly interested in how large populations evolve. Um, there's a paper that came out in late last year that was really impactful for me. It was by first author Ujkovic Sivision where it was published in nature and they found that a lot of these association studies done with microbiome data are confounded by host attributes such as smoking, obesity, etc. I see a lot of you nodding. So you guys have probably seen it. So, um, recently with a collaborator, we were trying to discuss what data do we need to collect apart from the stool data? And we took a look at that paper because we didn't want to be running into trouble with these confounders ourselves, though obviously noise correction methods and so on are needed. So that may be a useful resource.","Hi, I'm uh I'm at the University of Pittsburgh. I'm a neurologist uh uh doing clinical translational research that lies at the interspace between um data science and and clinical neuroimmunology focusing on multiple sclerosis. My interest in microbiome uh stems from our studies looking at people who are at risk for developing multiple sclerosis as well as uh using um therapeutics that targeting microbiome uh for people with multiple sclerosis.",,"uh, sclerosis, multiple sclerosis, multiple, microbiome, microbiome uh, clinical, um, people, neuroimmunology focusing, neuroimmunology, lies",0,0,0
