session,speaker,global_timestamp_sec,transcript
2021_04_22_MND_S5,Jial Rongge Xue,699.0,"And and and I I will add to that is the gut is not as just um uniform, you know, there's a lot of concern that we're looking at fecal microbiome, um, but that does not represent say for example what what goes on in the small intestine, which is a different environment, um, than say the colon and and and and and and so forth. And you know, in terms of sort of um uh uh Wenjing back to your question about what kind of approaches people sort of take to the system. I I you know, obviously there are many ways. Um, so so some of the some of our approaches doing these different multiomic um uh data collection uh taking from the gut microbiome to generate from from the stool sample to generate the the genome data but looking at at uh not just at the community but at the functional level through based on sequencing. Uh looking at the transcriptomics in in the um uh through in our case we're interested in immune system so looking at the the peripheral blood mononuclear cells, um, looking at the metabolome uh from the in the blood because that's a kind of uh uh a measuring looking at some of the the targeted metabolites um that are the the the functional readout of the gut bacterial function. Um and and and and then then applied um network approaches to reduce the dimensionality of the testing and then look for um uh association that can give us a hypothesis that we can test for example, um, you know, does short chain fatty acid shift the peripheral immune system in certain direction then therefore increase the risk for for certain neuroinflammatory disease as as a as a a testable hypothesis."
2021_04_22_MND_S5,Paul Hsu,,"So actually a couple years ago to that exact question. Um, so what we did was we took mice, we transplanted um, different gut microbial populations into them. So we had like, I think four or five different groups. And then we quantitatively imaged the brains of those mice and essentially we did um, and Joel and Jay, I know love this. You just basically it's like a large data set problem and you just basically mash them together. So we did uh, we did a K fold uh validation, uh random forest supervised learning study and we're able to show that, you know, certain areas of the brain where we saw structural change, we could actually say that's because we had this Roseburia here in the gut. And then we had this microstructural change over here and that's due to, you know, bifidobacterium in the gut. And make those statistical associations between gut microbial populations in the brain. The the problem with that as you know is these are pure statistical associations and the actual biology is a little bit opaque, like why do we see that? So it's hard to validate uh those sort of studies."
2021_04_22_MND_S5,Zongqi Xia,,"Uh yeah, it's Zongqi."
2021_04_22_MND_S5,John,645.0,"Yeah, there's a lot of study being done that's on this um throughout lifespan. Typically, at least what what we understand is, um microbiome is quite dynamic uh up till age three or four um uh years and then has a fairly stable um uh but but there there could be dramatic perturbation whether it's antibiotics or um you know, travelers diarrhea for example, th- those are kind of uh uh but but but short of these um uh perturbant perturbance uh the adult, well, even even above age three because it's not really adult, the microbiome remain fairly stable over time. over over over a human lifespan."
2021_04_22_MND_S5,Michael D Cullinan,971.0,"Yeah, I I know those guy actually Vegas person but we didn't we never touched it so I didn't want to get involved too much too too deep into it. But yeah, there's a lot to unpack there."
2021_04_22_MND_S5,Joel Bango Kote,1050.0,"I think that's actually uh, well maybe we can phrase it in a slightly different way. Um, so so you know, um folks talked about the looking at different levels of the gut microbiome, there are there are changes. But I think even, you know, at a higher level sort of um, when you have so much noise uh in in the human gut microbiome. So if you look at individual and individual change uh over time, that using that same person but at different time points as as sort of the um, the the comparators that that can give you some idea if you can correlate that with clinical outcome whether that's the onset of a disease or other intermediate phenotypes such as changes in the metabolome in the blood, etc. So that give you some sort of temporal having that temporal component uh give you some sort of uh, you know, not just association but maybe give you some sort of causal effect if you will. Um,"
2021_04_22_MND_S5,Jill Panzer Godager,632.0,"I think that's probably an underlying theme in a lot of these comments, right? Is the tools part."
2021_04_22_MND_S5,Gillian Zuberberg,777.0,"Yeah, you know, in principle, right, it sounds from that like you'd be you could imagine like a workshop where people just like present all the tools that they that are available and and other scientists could go and and sort of find the things that are most relevant. That turns out not to work that well and for whatever reason in my experience at least you you get more benefit from um explaining from the science and like what specific thing is needed and then people suggesting things like, oh, you know, if you use this thing and maybe stick together this other tool with it then, you know, that'll solve the problem. Um, I don't know."
2021_04_22_MND_S5,Unknown speaker,845.0,Thank you.
2021_04_22_MND_S4,Alda Ebrahimi,900.0,Okay.
2021_04_22_MND_S4,Aida Ebrahimi,677.0,"No, no, no, they are secreted. So like in the extracellular solution. And these are in the so whatever they, so let's say they are metabolizing something, they uptake that thing and from the environment. So we can monitor the level of that."
2021_04_22_MND_S4,Aida Ebrahimi,752.0,"I think in some sense they are also, you know, we are talking about biomarkers. And maybe that's a definition issue amongst the field that I don't understand. Um, so for example, you know, when Bob was today talking about short fatty acids. So that's a biomarker. So let's say we can build a sensor to monitor the level of those. And"
2021_04_22_MND_S4,Yanjiao Zhou,1056.0,Of the gut.
2021_04_22_MND_S4,Yanjiao Zhou,1056.0,Yes.
2021_04_22_MND_S4,Aida Ebrahimi,893.0,Sorry.
2021_04_22_MND_S4,Barbara Bendlin,1043.0,Yeah.
2021_04_22_MND_S4,Barbara Bendlin,761.0,Could you add 4.1? Um the idea being start with germ free mice at microbiota and do metabolomics.
2021_04_23_MND_S1,Robin Michelle Voigt,1149.0,"The best well-studied group that I know of today, at least is Alzheimer's disease. Um, so there's like a large um consortium that's going on right now to answer this very question in Alzheimer's disease. So they're getting samples, stool samples and serum samples from people from around the world who have Alzheimer's disease to answer this very question. You know, there's been hints that, you know, generally short chain fatty acids at least are reduced in a lot of neurodegenerative diseases. Um, you know, and we know that they're good for gut health by influencing they it fortifies the intestinal barrier. So that's one potential mechanism. Um, but as far as, you know, you need a lot of data points to be able to generally say whether you always see this or"
2021_04_23_MND_S1,Faranak Fattahi,992.0,"But that would be skipping a whole bunch of steps, right? Like from the metabolite to behavior. Um you know, what's happening in the middle with all the different cells that are getting exposed to that metabolite and how the signal gets transmitted from one from the gut to the brain and so I think maybe incorporating more cellular models in this like you know, paradigm would be useful."
2021_04_23_MND_S1,Faranak Fattahi,658.0,"I think we have the problem is not generating the relevant cells. So you can generate intestinal epithelial cells, neurons, you know, a lot of different cell types. The question is what what's the most appropriate readout? Like, for instance, with neurons, are you looking for neuronal activity? Are you looking for secretion of a particular cytokine or growth factor? Are you looking for a switch in the metabolic state? And so, you know, the first one, the activity readout is scalable, so you can do that high throughput. But if you're looking for a global switch in the metabolic state, that's not scalable, right? So maybe you can start with some scalable readouts, you have 100 candidates, narrow that down to five, and then for those five, look at how those five affect the metabolic shift in the neurons. And then from there, test them on mouse models. So like a sequential study with different degrees of complexity."
2021_04_22_MND_S8,Noah Palm,786.0,"I would almost argue though the opposite, which is that really what you want to get the strongest signal are the people who have no genetic predisposition. But uh regardless of that, end up actually getting Alzheimer's, which would suggest that they have a stronger actually environmental or microbial component. And the people who are have genetically predisposed would actually have a weaker signal for non-genetic biomarkers."
2021_04_22_MND_S8,George Weinstock,897.0,"Depression, right?"
2021_04_22_MND_S8,Carolina Tropini,744.0,I understood the question is of finding molecules that are modified by the microbiota that ideally would influence the brain whether it's crossing the blood brain barrier and making it through and among those dead lists like there's things like GABA. There's various other neurotransmitters that are modified and some of the things that we talked about during the talk like short chain fatty acids and bile acids are also kind of low hanging fruits.
2021_04_22_MND_S8,Kaixiong Ye,850.0,"I totally agree with that. For the purpose of diagnosis, we don't need a causal biomarker."
2021_04_23_MND_S16,Nandita Garud,551.0,Hi.
2021_04_23_MND_S16,Yang,791.0,"Sorry. My name is Yang, you can hear me now?"
2021_04_23_MND_S16,Zongqi Xia,1121.0,"Absolutely. Absolutely. Just like single, just like RNA seek data, metagenome data, you can develop co-abundance groups based on the correlation structure, data driven. But then, but that's just the first step. There's also functional inference based on the metagenome, which then can be another way of grouping information that's more um"
2021_04_22_MND_S3,Faranak Fattahi,,"You know, more of the latter, but I mean, who knows? We we really don't understand the interneurons. Well, we don't really fully understand what they respond to the sensory component of the nervous system what we called the afferent neurons. They have a lot of different receptors and modalities they respond to. So we don't know if they have the capability to respond to these products directly. But you know, just based on the anatomy, it looks like they would be getting things post processing after, you know, the exposure to the epithelial cells and other cellular components."
2021_04_22_MND_S3,Judith Eisen,,"That's a that's a really great question because I think there's pretty clear evidence that microbes in a community behave differently than individual microbes and uh depending on whose gut you're talking about, some of them are culturable and some of them are not culturable."
2021_04_22_MND_S3,Kai Zhang,61.0,"control of the of the patterning of the surface receptor. So I was thinking maybe we can first learn spatial patterning of maybe a piece of intestine and also it's rather than using a mouse a mass culture or even just like a microfluidic channel, we can design the pattern."
2021_04_22_MND_S3,Sarkis Mazmanian,285.0,I think that that's I personally think that's a really powerful way to go about it and I know people that are doing this right? That are putting together communities of organisms 80 to 100 organisms um where two different communities differ by either one microbe or two the microbes are the same between the two communities except one has a mutant in a particular microbial pathway. So right you get all these other background effects all these micro micro effects micro effects but also the system is very clean in the fact that the the differences between those two communities aren't like the difference between me and you will or my your microbiome.
2021_04_22_MND_S3,Faranak Fattahi,407.0,That's a really important point. For instance if you let's say build up the model with sensory neurons or cortical neurons and then inter neurons would you see differential response to metabolites? And and within the inter neurons you have different kinds of like you have motor neurons sensory components inter neurons are there differences even within the subsets of inter neurons and that can be captured then would that be physiologically relevant. And so that's another thing where I guess the scale could be useful. It might be not very accurate compared to what you get in vivo but you can at least you know scale it up and run the analysis across multiple kinds of cells in parallel.
2021_04_22_MND_S3,Judith Eisen,465.0,[Silence]
2021_04_22_MND_S3,Kai Zhang,526.0,[Laughter]
2021_04_22_MND_S3,Xin Qi,127.0,"And what model will be most suitable to do this sort of research. Uh that's what I thought. Um so my for my understanding the vivo model might be most suitable, right? Because but this is for this session we are talking about if there is cell culture model available, if we can establish some cell culture model, make it our research more simplified. So the thing is this is my valuable question. Um you know, we we we all work on the lab or benchmark, we use the culture models and if like we are so simplified for based on the discussion, we actually um come out the cell culture model. I just really um my question is how how great the society accept the cell culture model and is this is a model that people thought this is a really gut brain communication model or actually this is a simplified we really pick up the single cell like epithelial cells and neuronal cells stimulate stimulate with the microbiome. So this is the question I I I kind of confusing and also I I think that the microbiome species and the model system is probably the key for this whole field."
2021_04_22_MND_S3,Sarkis Mazmanian,366.0,"It doesn't tell you that the microbiome is is, you know, a cause or consequence, right? At least it gives you can microbes and molecules, right? That may be a product of that environment, right? The person, what you know, all their physical, emotional, you know, uh, you know, dietary exposures, what have you, right? you know, and reduce it down to at least one dimension, that's the microbiome, right? you can't look at everything. But now you have candidates and then I think that may be a good starting point because you're starting with human data, right? And and asking can you reduce that down to, you know, a level where you believe that that what you're gleaning from human data is giving you a physiological."
2021_04_22_MND_S3,Faranak Fattahi,387.0,"Yeah, I like the idea of the modularity."
2021_04_22_MND_S3,Sarkis Mazmanian,452.0,"as I said I I favor that approach, right? Because again it's it's grounded at least the the starting point is human data, right? And it shouldn't be at the expense of let's say De novo discovery, right? Because human data is not going to tell you everything. And so um you know, multiple labs will approach the same problem. Some will take a agnostic approach or high throughput approach. Others are more candidate approach I guess. But again, both are I favor starting with with some some data, right?"
2021_04_23_MND_S11,Sarkis Mazmanian,831.0,"So so your comment is is to define what is maybe if you think specifically on on, you know, small molecules produced by by gut bacteria and or maybe um host induction of small molecules by the microbiome, right?"
2021_04_23_MND_S11,Sarkis Mazmanian,,"How could how could one one do that that wouldn't imply, you know, testing one molecule with mice because that that would just make it too too lengthy. So so is there is there a question if I I think is is are there ways, you know, so if you now take a library of molecules potentially that you believe are important in a particular physiological context, you know, one way to assign function maybe something we were talking about a couple minutes ago is to then use more high throughput um approaches to define the function of these of these molecules before, you know, you start doing any mouse experiments, for example."
2021_04_23_MND_S11,Elaine Hsiao,,"Um, or yeah, or maybe the communication in the eferent direction is not through the fibers and is through immune or molecules instead. So yeah, I know these are kind of naive like very high level thoughts but I I I wonder um, about that."
2021_04_23_MND_S11,Ashley Ross,,"So I know they've done things where they'll like um give OH, I think it's OHDA that'll cut off the uh sympathetic neural neural innervation in the gut and it really screws up a lot of things."
2021_04_23_MND_S11,Sarkis Mazmanian,,"I I just so after actually mentioned, I just remembered a study from a couple of years ago where they gave six hydroxy dopamine to the the in mice and the mice had constipation. If I remember correctly. I'll I'll dig up the paper right now but so that maybe that there there are some examples, right? Again, how that's mediated I'm not sure."
2021_04_23_MND_S11,Sarkis Mazmanian,1143.0,"So the physiological response almost like a it alerts you to the fact that there may be you know, because again, you don't feel anything in your brain, right? But at least you can feel something, you know, physiologically. So it alerts you that something's going on, that there's an emotion that that triggered that physiological response. So the the response actually alerts you to the fact that there's you should now be more mindful."
2021_04_23_MND_S11,Tanya Nguyen,850.0,"Well, we know that meditation techniques it essentially activates the parasympathetic nervous system. Um and that's how it like has much of its beneficial effects on physiological functioning. So maybe something as quote easy as that could at least hijack some of these processes that might be going on or slow down kind of the negative connections, so to speak."
2021_04_23_MND_S11,Sarkis Mazmanian,969.0,"Microbiome or again infectious disease or cancer rates or or something that you can attribute to to, you know, an effect on the immune system, right?"
2021_04_23_MND_S11,Sarkis Mazmanian,999.0,Kai is the Kai you're muted. Uh you're the reporter.
2021_04_23_MND_S11,Kai Zhang,1023.0,"54, yeah."
2021_04_23_MND_S11,Melanie Gareau UC Davis,867.0,Okay.
2021_04_23_MND_S11,Kai Zhang,905.0,54.
2021_04_23_MND_S6,JP Yu,603.0,"Um, and specifically towards, you know, identifying these biomarkers. We're really interested in, uh, elucidating the biological transformations that are occurring in the brain that drive the actual quantitative imaging findings that we're finding on our imaging. Um, as a part of this process, uh, you know, we started to realize that we're having a lot of difficulty with, uh, both, uh, reproducibility and, you know, the rigor of a lot of the experiments that are out there. And we actually stumbled upon the fact that, uh, we're learning that the different gut microbial populations are really driving a lot of unexpected and unanticipated changes in the quantitative microstructure in the brain that we're all using. And so now, uh, the lab has taken a hard left turn and now we're really starting to examine how, uh, the gut microbiome is really influencing, uh, neural structural, neural functions. We're using both PET and MR technologies. Um, and really trying to basically reverse engineer imaging and try to figure out how, uh, these sort of genetic and environmental factors are driving the the factors that we're seeing, uh, in translational medical imaging."
2021_04_23_MND_S6,Robert Bryan,796.0,No one? It it's an honor to be uh a scribe. I got to assure you.
2021_04_23_MND_S6,Michael D Coleman,685.0,All right.
2021_04_23_MND_S6,Xiao,785.0,"So, uh, we, we have been doing this, uh, I can't even similar to the question you're asking. Uh, basically, uh, we are looking at the alpha synuclein related induced Parkinson disease or alpha synuclein mutation related to Parkinson disease. Uh, our idea is that, you know, the, the, the patient actually carry the alpha synuclein, they show higher level or they have the alpha synuclein mutation. Uh, so this is the thing, so we kind of really prevent. However, uh, the gut microbiome or this is the stress from gut actually may form the inflammatory stress that actually track back to the brain which actually is further stimulate alpha synuclein aggregation or toxicity. That is what we thought."
2021_04_23_MND_S6,Irene Yang,1058.0,"Reaches a threshold and and um leads to Alzheimer's disease. Just the idea that, you know, even epidemiologically that people"
2021_04_23_MND_S6,Michael O'Bananu Coleman,866.0,"I'm fairly familiar with it because it's a research project I'm involved with. Yeah, but there's a good amount of projection because I wouldn't have been able to answer the question like a month ago. Um there's a fair amount of projection coming from the NTS that goes up um peribrachial that that up into, you know, areas etc etc what you're saying. And there's also some really interesting um uh reverse projections from the NTS that go to the efferent arm of the Vegas too, which is another conversation for maybe later or or what have you. So."
2021_04_23_MND_S6,Robert Bryant Jr,983.0,"But what bothers me is that in these pathological states, there tends to be a leaky gut barrier. And I don't."
2021_04_23_MND_S6,Robert Bryant Jr,1060.0,"Wayne, I have to ask you a question. You said uh antibiotics that don't cross the gut barrier. But what bothers me is that in these pathological states, there tends to be a leaky gut barrier. And I don't."
2021_04_23_MND_S6,Raffi Maya Levi,1115.0,under um physiological changes of of the barrier. Um and if not maybe the the sensing of of bacteria is only mediated by either secreted molecules or I don't know cyto kind or or metabolites that are secreted from from different cells.
2021_04_23_MND_S6,Jeff Thompson,688.0,"But I do think there's some experimental data at least from the oral or nasal microbiome showing that bacteria that are present at those epithelial surfaces uh can traffic across the the barrier and into the the brain and can actually be viable and live there. So it's not coming from the gut, um but it's another microbiome surface uh that that can directly at least shows as an example that that that bacteria can can do this."
2021_04_23_MND_S6,Jeff Thompson,1085.0,But I don't think anybody and again correct me if I'm wrong uh knows really uh how the the peripheral or systemic inflammatory signals are.
2021_04_23_MND_S6,Silvia Rossbach,,"Okay. Who's Brian and Charles? Mation, you need to click the the join button."
2021_04_23_MND_S6,Laura Eisen,,"I'll just say, I think that's a a huge open question, how much communication there is between circulating immune cells and compartmentalized immune cells. So, you know, even in the gut, there are compartmentalized immune cells like the muscularis macrophages and um you know, how much how much trafficking there is and what are the conditions that allow that trafficking to happen? Is this something that happens during during some sort of routine surveillance uh to maintain a healthy state or is this something that only happens when there's pathology? I think I think we don't understand that very well."
2021_04_23_MND_S6,Leslie Eisen,608.0,"Yeah, great."
2021_04_23_MND_S6,Unknown speaker,855.0,Thank you.
2021_04_23_MND_S7,Ali Keshavarzian,1067.0,I missed two people?
2021_04_23_MND_S7,Ali Keshavarzian,895.0,And there was the area in the ocean that there was no uh the old plume. Uh and those uh uh goblet and they microbiologists they studied of that part and the reason there was no uh the oil plume was that the bacteria in that area adopted to utilize oil as a as a resource. And therefore they got rid of the the bacteria in just a one example.
2021_04_23_MND_S7,Shikha Nangia,1166.0,"Yes, so molecular dynamic simulations, but uh if we need to get uh to the atomistic level, we do that, we do coarse graining and different level of resolutions depending on the questions being asked."
2021_04_23_MND_S7,Marie,694.0,"Um, either or. I actually go by Claire, but I have my full name there, so yeah."
2021_04_23_MND_S7,Marie,773.0,Yeah.
2021_04_23_MND_S7,Will Ludington,787.0,Yeah.
2021_04_23_MND_S7,Heather Bean,1073.0,We've got 15 minutes remaining.
2021_04_23_MND_S7,Abhishek Shrivastava,709.0,"So essentially, you know, the point that you made of also bacteria using phages essentially or you know, through chemical skews or just via physical interactions is is important. But then how do we, you know, get a read out for that in from an in vivo setting is something that I don't know. Maybe we can look for phage genomes that are encoded but you know, that's could be one thing or we can just look, you know, do we know what exact number of phages or I think we have a this is a 15 minute warning. So now we have 15 minutes."
2021_04_23_MND_S7,Marie,1020.0,"And also it's important to consider that um in you know, the the the importance of a species in an ecosystem may or may not follow abundance. There's there's important top down effects. It's speculated that that um protests and other eukaryotic microorganisms that that occur at a lower frequency, they can have an important um effect on diversity of the bacterial ecosystem in overall the microbiome ecosystem because of the their predatory effect that has been really well described in other microbial ecosystems as well. So I think this idea that you're alluding to to go outside of bacteria and go more into the multi kingdom well I guess are not really a kingdom but multi clay approach and trying to study the the true ecology of the microbiome. It is methodologically quite complex though, especially for just the one lab. I would argue would require a lot more collaboration."
2021_04_23_MND_S7,Marie,776.0,"To to understand the emergent properties of the microbiomes. These may be more easily detected in simpler systems that once we initially propose will be important. But then how do they truly impact what we would be studying here, the gut brain axis and do they really remain important when the ecosystem becomes more saturated? And then how to measure that along the way."
2021_04_23_MND_S7,Marie,827.0,45. Thank you. I'm so glad somebody's on.
2021_04_23_MND_S10,Jaeyun Sung,605.0,"Um so that's kind of more on the clinical and translational side. On the more basic science side, we do uh uh bioinformatics studies um of uh microbial genomes to identify what chemicals, natural products they could be producing and how those uh chemicals could influence uh uh host disease um in the context of autoimmunity."
2021_04_23_MND_S10,Pamela Chang,714.0,We use mouse models of inflammatory bowel disease and infection. We're interested in the gut brain axis obviously. Um and the other half of my lab works on developing chemical tools to probe the metabolism of the gut microbiota and uh this we're really interested in looking at enzymatic activities carried out by uh bacteria in the gut.
2021_04_23_MND_S10,Mark Mimee,798.0,And my group is essentially uh a synthetic biology microbiome group. So we're really interested.
2021_04_23_MND_S10,Unidentified Speaker,340.0,Yeah.
2021_04_23_MND_S10,Will Ludington,492.0,"Um that is the kind of the point of some of the questions in there. And I'm just curious like to hear people's thoughts about you know, is it one thing that's being sensed or is it kind of a profile things being sensed and how is, you know, if it is one thing like how is is there a directed channel for that thing or is it kind of a distributed network? Um is there a synapse or is there a distributed network that's kind of pulling that signal in?"
2021_04_23_MND_S10,Mark Mimee,663.0,"Has that been shown in different diseases? Like those that microbial activity in the gut to actually affect uh behavior or whatever, you know, neurological phenotype you're looking at."
2021_04_23_MND_S10,Emily Balskus,,"You would need to also know about the actual metabolic pathways in order to to design Right. a substrate, yeah."
2021_04_23_MND_S10,Elizabeth Bess,352.0,"Yeah, yes. So what the the thought is is we make an assumption in the field that iron is mostly in the reduced state in the gut because the gut is a reducing environment, but um, but there are times when there is more iron three oxidized form, which can happen through inflammation, um, through you know, production of Ross or nitric oxide species. Um, but yeah, bacteria do secrete siderophores in uh the the microbiome. The human also secretes enzymes to capture uh iron three, reduce it to iron two so that it can be brought inside of cells. But I think we have a poor understanding of the dynamics of that. Um, how much of the iron is three versus two. I also fascinated that we have that the body it's the iron is so valuable as you know, as we know, for so many processes that there's no way for the body to um, the body doesn't regulate iron levels except for excretion through stool. That's its only way to get like rid of it. Um, and it's um, but we don't understand really the dynamics of what's happening there and um what the the yeah, oxidation states are and how this changes with dysbiosis of a microbiome. Um, what does this mean at like an uh metal a metal level specifically iron is what what I'm you know wonder about."
2021_04_23_MND_S10,Lisa Osborne,,"getting the rest of this over here. Uh, there was a good conversation about tracking these metabolites and so different approaches to doing that. Um, C13 labeling, like I think it was Elizabeth was saying it's really easy if you know what candidate you're looking at, you can make a C13 label and then you can follow that in the gut, in the tissues all the way up to the brain if that's what you're interested in. But if you don't want to provide an exogenous signal, how do you get how do you have that same tracking capability? And so there was this discussion of genetically tractable microbes, either under or over expressing something or using these privileged substrates and whether or not we can I think the the idea was labeling the substrate and then following that through the bug and then through the host, is that right?"
2021_04_23_MND_S10,Rosa Krajmalnik,,"I think so. I think Tom also mentioned that if we could um identify a specific substrate that will stimulate a very specific microbe then, right? Is that what you said, Tom?"
2021_04_23_MND_S10,Rosa Krajmalnik,,"Right, shuttles. You have shuttles also. You have molecules that are shuttles."
2021_04_23_MND_S10,Mark Mimee,,"Yeah. Yeah, so the furthest yeah, there's a couple of them. Um so there's definitely folks in the cancer space that have been doing it for a really long time. Uh there's one company that was uh I I mean active biotics. I think it's been acquired by a bunch of different people so I don't even know what it's called anymore. And there's another one based in Boston uh called Synlogic. Um these are all in like phase two trials, all orally dosed. I know some folks that worked at Synlogic and their clinical trial was giving people a half a liter of bacterial culture at a concentration of like 10 to the 11 CFU per mill. And that was approved by the FDA. So it's like really high dosing of bugs going into people um and they've had good phase two results I think or phase 1A phase 1B sorry, phase two results and they're moving forward from there. So"
2021_04_23_MND_S10,Elizabeth Bess,,I see it too.
2021_04_23_MND_S8,Yang,887.0,"Yeah. How do we study them and how do we set up our system, you know, to ask the questions."
2021_04_23_MND_S8,Rosa Krajmalnik,,So some of you mentioned um pathogens when you describe what you do. So I guess pathogens are sometimes a very good uh I would say system to study some of these interactions. Any thoughts? Hi David.
2021_04_23_MND_S8,Rosa Krajmalnik,,"Sorry, sorry, Lawrence David. I I'm going forward. I know who you are. Can can you introduce yourself really quickly, please?"
2021_04_23_MND_S8,Nandita Garud,894.0,"And the host is yet another organ or organism that could be having interactions with the players in the system. So um I mean one could treat it as the environment, but could we also just treat it as yet another player in the system?"
2021_04_23_MND_S8,Rosa Krajmalnik,797.0,The the nutrients come in different packages and in different shapes and that will also change the microbiota.
2021_04_23_MND_S8,Carolina Tropini,919.0,"And I think it's it's interesting. I I don't know the the literature very deeply, but it's interesting that some neurological diseases such as Parkinson's seem to not be present in germ free mice. Um, so you know, potentially the microbiota could be giving a a negative effect, but imagine it also the the opposite is true."
2021_04_23_MND_S8,Rosa Krajmalnik,722.0,See you in a second.
2021_04_22_MND_S1,Yanjiao Zhou,54.0,"Uh, that that's a very interesting point. Uh, I guess uh, if we have two, for example, two omic data side, one it's uh, all the bacteria species in the gut, the other one it's uh, stum, right?"
2021_04_22_MND_S1,Shikha Nangia,156.0,"I I agree with you, Erin. Uh, the success of pattern uh recognition is going to come with big data. And I see what you're saying, you know, in if you are talking about personalized medicine, you need to know a particular patient's uh in detailed uh, you have you have to have detailed information to say, okay, this is what we need to cure this disease. Uh, and so yes, maybe the bottleneck is getting that big data right now because the tools of artificial intelligence are getting developed in other fields, not uh microbiota, but they will become available once we have the data that we need. So, uh, the I think in this question identifying uh the species is the bottleneck right now. I think there might be solutions past that bottleneck."
2021_04_22_MND_S1,Shikha Nangia,385.0,"And then start analyzing the patterns. That can also be useful if we have this kind of thing, we can also then use it for disease models like Aaron was mentioning that uh if you recognize this metabolite uh that means it is coming from this particular bacterial species because we've seen it over and over again in different. So it's a hypothetically big uh you know, wild idea, but I think we need to grow that database of uh which bacterial species is responsible for uh a particular metabolite and then the interdependence because I'm sure one uh one kind of bacterial species affects the other."
2021_04_22_MND_S1,Ashley Ross,,You mean like methods to detect neuropeptides?
2021_04_22_MND_S1,Chris Windey,515.0,Okay.
2021_04_22_MND_S1,Aida Ebrahimi,240.0,[low confidence]
2021_04_22_MND_S1,Aida Ebrahimi,300.0,"Of course, those approaches are needed to as a standard to compare with, but if we want to see real time what is going on, then those sensors can be integrated or embedded in that in vitro or in vivo model. Of course, it needs to make sure for in vivo it's going to be more complex, but there are methods that you know, I think we have experts uh in the whole uh panel in the whole uh team that they can work on it."
2021_04_22_MND_S1,Barbara Bendlin,235.0,"Yeah, could could you add that to point one? Um, the idea being start with germ free mice, add microbiota and do metabolomics."
2021_04_22_MND_S1,Shikha Nangia,252.0,So.
2021_04_23_MND_S4,Sarkis Mazmanian,,"There are there are some technologies that are more much more sensitive than than Eliza's or bioflex now, right? Like Samoa and and others. Um, but they don't get to your question or your point which is which is important as well. So part of it is sensitivity, part of it is like is is, you know, the temporal aspect of this, right? And and and knowing when and where certain cytokines are, you know, so now I'm thinking more broadly because again of these"
2021_04_23_MND_S4,Sarkis Mazmanian,,relevant dopamine that's being released. Um and so if we can get those those types of sensors for cytokines and and neurotransmitters and multiplex system in a tissue and I think that would be
