person_name,traj_cluster
Joan Woodard,0
Jochen Marschall,0
Jochen Marschall | Heising,0
Jodi Lilley,0
Joe Levy,1
Joel Bango Kote,0
Joel Bornstein,0
Joel Bryan Bornstein,0
Joel P Fhu,0
Joel Pfu,0
Joel Weizman,0
Joel Zylberberg,0
John,0
John-Paul Yu,1
Jordi Cabana,1
Jose Mendoza,0
Joseph Levy,0
Joseph Levy(he/him,0
Joshua Brake,1
Joshua Weinstein,0
Joyati Deb Roy,0
Joyce Jose,0
Joyce Jose Penn State,0
Joyoni Basu,0
Joyoni Dey,1
Juan Perilla,0
Judith Eisen,1
Judith Su,0
Juli Barre,0
Juli Barre-Keller,0
Julia Brown,0
Julia Brown UK Climate Change Committee,0
Julien Berro,1
Justin Bahl,1
Jyoti Dube,0
KH,0
KK,0
KS,0
KT,0
Kai Iwi,0
Kai Zhang,1
Kaixiong,0
Kaixiong Ye,1
Kallol Mondal,0
Kandis Gilliard Abdul-Aziz,0
Kandis Leslie Abdul-Aziz,1
Katharine Miller,0
Katharine White,1
Katharine White--Notre Dame,0
Katharine White-Andre Danino,0
Katharine White-Notre Dame,0
Katherine Hornbostel,1
Katherine de Kleer,1
Kathryn Haas,0
Kathy F. Liu,1
Katia Koelle,0
Katie Knowles,1
Katy Keenan,0
Ke Zhang,0
Keith Hawkins,1
Kelsey B.  Hatzell,1
Kelsey Hatzell,0
Kelsey Hazell,0
Kenji Tanaka,0
Kevin Carlo,0
Kevin Carlo O'Mines,0
Kevin Cash,0
Kevin Cavallo,0
Kevin Taufour,0
Kezia Manlove,1
Kim M Pepin,1
Kim Pepin,0
Kimberly Lau,0
Kirsten Maclane,0
Kirsten Marlo,0
Kirsten Martinko,0
Kristen Macland,0
Kristen Madland,0
Kristen Maitland,1
Kristen Marland,0
Kristen Schell,0
Kristin Koutmou,0
Kristin S. Koutmou,0
LL,0
LS,0
LW,0
Larry Cheng,0
Larry Zhang,0
Lars Plate,1
Laura Barge,0
Laura Eisen,0
Laura Elias,0
Laura Ellen Eisen,0
Laura Sanchez,1
Laura Schaefer,1
LaureAnne O'Bryan,0
Laurel Beckett,0
Lauren Charles,1
Lauren O'Connell,0
Lauren Wagner,0
Laurene Tetard,0
Laurie Barge,1
Lawrence David,1
Layla Oesper,0
Layla Shi,0
Leah Pyter,0
Leah Pyter OSU,0
Leanne Debra Opheim Stoltze,0
Leanne Joan Dube,0
Lee Berg,0
Lena Petrova,0
Leo Liu,0
Leslie Anne Rogers,1
Leslie Eisen,0
Leslie Rogers,0
Li-Chiang Lin,0
Li-chang Lin,0
Liang Song,0
Liliana Salvador,0
Liming Li,0
Lina Quan,0
Linda A. Detwiler,2
Linda Alvarez,0
Linda Detwiler,0
Lingyan Shi,1
Lingyang Luo,0
Linnea Freeman,1
Linsey Seitz,1
Lisa Kaltenegger,2
Lisa Kaltenegger(she/her),0
Lisa Osborne,1
Lisa Poulikakos,0
Lisa Ryne,0
Lisa Ryno,0
Lisa Satterthwaite,0
Liying Lu,0
Liz McCormack,0
Liz Mccormack,0
Lu Wang,1
Lu Wei,0
Luisa,0
Luisa Whittaker-Brooks,0
Luisa-U of Utah,0
Luke Mortensen,0
Lulu Cambronne,1
Lydia Kisley,1
MARCEL SCHREIER,0
MH,0
MN,0
MS,0
Maayan Levy,0
Magdalena R. Osburn,1
Maggie Osburn,0
Marc Neveu,0
Marcel Schreier,1
Marcel Schreier (UW Madison),0
Marcel Schreier (UW madison),0
Maria (Masha) Kamenetska,1
Maria Fernandez,0
Maria Garami,0
Marie,0
Marie Claire,0
Marie-Claire Arrieta,1
Mark Mimee,1
Mark Q Wilber,1
Mark Sellmyer,1
Mark Wilber,0
Markita Landry,0
Markita Landry [low confidence],0
Marta  Hatzell,1
Marta Hatzell,0
Martin Gruebele,1
Mary Voytek,0
Maryellen Giger,2
Maryellen Giger UChicago,0
Mathieu G. A. Lapotre,1
Mathieu Lapotre,0
Matt Baggott,0
Matt Bogyo,0
Matt Bozio,0
Matt Boziyo,0
Matt Bozyko,0
Matt Bozyo,0
Matt Erdman,1
Matt Green,1
Matt Lew,0
Matt Lovett-Barron,0
Matt Scruggs,0
Matthew Bogyo,2
Matthew Hopken,0
Matthew Lew,1
Matthew Lovett,1
Matthew W. Hopken,0
Matthias Heyden,1
Mayana Keynan,0
Mei Shen,1
Melanie Garami,0
Melanie Garces,0
Melanie Gareau,0
Melanie Gareau UC Davis,0
Melike Lakadamyali,0
Meredith MacGregor,1
Michael Burton,0
Michael C. Wimberly,1
Michael Coleman,0
Michael Coleman-Hicks,0
Michael D Coleman,0
Michael D Cullinan,0
Michael Nippe,1
Michael O'Bananu Coleman,0
Michael O'Bananu Coleman-Uzo,0
Michelle Farkas,1
Mike O'Donnell,1
Mike Wimberly,0
Mimi Sammarco,0
Mini Das,1
Molly Bright,0
Morgan Cable,0
Morgan Raven,0
Morteza Mahmoudi,0
Multiple Speakers,0
NB,0
Nandita Garud,1
Nanette  Boyle,0
Nanette Boyle,0
Naniette Boyle,0
Natasha Batalha,0
Natasha E. Batalha,0
Nathan DeYonker,1
Nathaniel Gabor,0
Nathaniel M. Gabor,1
Neel Shah,1
Neil Kelleher,1
Nick Cowan,1
Nick Galan,0
Nick Galati,1
Nicolas Cowan,0
Nicole Eikmeier,0
Niki Parenteau,1
Nikole Lewis,0
Nina Cardoza,0
Noah Palm,1
Noah Planavsky,1
OL,0
Oana Luca,0
Oana Luca (CU Boulder),0
Oiana Luca,0
Okay,0
PAUL SELVIN,2
PB,0
PD,0
PM,0
PR,0
Pallavi Dhagat,0
Pallavi Raghunathan,0
Pamela Chang,0
Paola Boggiatto,0
Paola M. Boggiatto,1
Paris Perdikaris,0
Patricia Barron,0
Paul Hsu,0
Paul Robertson,0
Paula Driedger,0
Pete Reiners,0
Peter Dorhout,0
Peter Dornhout,0
Peter Driscoll,0
Peter Reiners,0
Peter Remers,0
Phil Milner,0
Phill Milner,1
Pilar Fernandez,1
Ping Wang,1
Prashant Singh,0
Pratik Dholabhai,0
Praveen Bollini,1
Qian Liu,0
RA,0
RC,0
RG,0
RL,0
RS,0
Rachel Parker,0
Rachel Saylor,1
Rafael Santos,0
Raffi Maya Levi,0
Ran Blekhman,0
Rebecca Garabed,1
Rebecca Gieseking,0
Rebecca L Smith,0
Rebecca Smith,0
Reishma Grewal,0
Remi Bouteille,0
Richard Morimoto,0
Richard Weiner,0
Richard Weisman,0
Richard Wiener,0
Richard Wiener RCSA,0
Rigoberto Hernandez,2
Rika Anderson,0
Rima Kaddurah-Daouk,2
Rima kaddourah daouk,0
Rob Coridan,1
Robert Bryan,0
Robert Bryan Jr,0
Robert Bryant Jr,0
Robert Cordes,0
Robert Coridan,0
Robert Frymier Jr,0
Robert Gilliard,0
Robert Isaacson Jr,0
Robin Michelle,0
Robin Michelle Voigt,0
Robin Voigt,0
Robin Voigt-Zuwala,1
Robin Voigt-Zuwala-Rush U Med Ctr,0
Rodriguez,0
Roger Aines,1
Roger Aines Lawrence,0
Roger Aines Lawrence Livermore Nat. Lab,0
Roger Aines Lawrence Livermore Nat. Lab.,0
Rommie Amaro,2
Rongsheng (Ross) Wang,1
Ronit Freeman,1
Rosa  Krajmalnik-Brown,2
Rosa Krajmalnik,0
Rosy Krajmalnik-Brown,2
S. Stephen Yi,1
SB,0
SL,0
SM,0
SMS,0
SS,0
SZ,0
Salvador Almagro,0
Salvador Almagro-Moreno,0
Samuel Achilefu,0
Sandra Laney,0
Sandy Schmid,0
Sanjukta Gayen,0
Sapun Parekh,0
Sara Zimmer,1
Sarah MacEachern,0
Sarah Mackachern,0
Sarah McEachran,0
Sarah Mckachern,0
Sarbajit Banerjee,1
Sarbarit Banerjee,0
Sarbarjit Banerjee,0
Sarkis Mazmanian,1
Sayan Patra,0
Sen Pei,0
Sen Zhang,0
Seth Childers,1
Seu Sim,0
Seunghyun Sim,0
Shaama M Sharada,0
Shaama M. Sharada,0
Shaama Sharada,0
Shankar Mukherji,1
Shannon MacKenzie,0
Shannon Mackenzie,0
Shannon Mackenzie | JHU APL,0
Shannon Quinn,0
Shawn Domagal,0
Shawn Domagal-Goldman,2
Shawroulla Hatoum,0
Sheryl Hozier,0
Shikha Nangia,1
Shiva Abbaszadeh,0
Shiva Abbbaszadeh,0
Shu Hu,0
Shwetadwip Chowdhury,1
Silvia Ronco,0
Silvia Ronco RC4SA,0
Silvia Ronco RCS4,0
Silvia Rossbach,0
Silvie Huijben,0
Simon Darroch,0
Simona Liguori,0
Simona Liguri,0
Simona Ligutti,0
Sixian You,1
Sixian You | MIT,0
Smadar Naoz,1
Solange Duhamel,0
Soragni,0
Srigokul Upadhyayula,0
Stavroula Hatzios,0
Stefan Wilhelm,0
Stefano Di Talia,1
Stephanie Cologna,1
Stephanie Culina,0
Stephanie Grainger McOgga,0
Stephanie Gupton,1
Stephanie M Goggin,0
Stephanie Olson,0
Stephanie Rosener,0
Stephanie Rosener-Goodman,0
Stephen Fried,1
Steve Jett,0
Stilianos Louca,0
T. Leo Liu,1
Tamar Lupu,0
Tania Lupoli,1
Tanisia Chung,0
Tanya Nguyen,0
Taras Pogorelov,0
Tavis Anderson,0
Tavis K Anderson,0
Thomas Mansell,1
Tianbiao Leo Liu,0
Tim Lyons,2
Tim Sampson,1
Timothy Sampson,0
Timothy W Lyons,0
Tom Mansell,1
Tori Hoehler,1
Trinity Hamilton,0
Trinity L. Hamilton,0
Troy C Sutton,1
Troy Clavell Sutton,0
Troy Sutton,0
Tyler D. Robinson,1
Tyler Robinson,0
Ukpong Eyo,1
Ulugbek Kamilov,1
Unidentified Speaker,0
Unidentified speaker,0
Unknown Male Speaker,0
Unknown Speaker,0
Unknown speaker,0
Uzay Emir,0
VP,0
VV,0
Valentina Prigiobbe,1
Venkat Viswanathan,0
Victoria Meadows,2
Victoria S Meadows,0
Vivian Qian Liu,0
Vivian Qian Lu,0
WB,0
WS,0
Walsh,0
Wan,0
Wan-Wei Tseng,0
Wang Ying,0
Wei Min,1
Wei Wang,0
Wei-Min Chen,0
Wendy Bahr,0
Wenjing Wang,0
Wenjing Wang W,0
Wensheng Wang,0
Wenshing Wang,0
Wesling Meng,0
Wilfred van der Donk,0
Wilfred van der Donk UIUC,0
Wilfred van der Donk UIUC/HHMI,0
Will Bowman,0
Will Bowman (UC Irvine),0
Will Ludington,1
Will Thompson,0
Will Thompson-Tachera,0
William H. Witola,0
William J. Bowman,1
William Witola,0
William Zuberbierg,0
William Zuckerberg,0
William Zuercher,0
Wilson A Smith,1
Wilson Smith,0
Wingjin Zhang,0
XS,0
Xiao,0
Xiao Su,1
Xiao-Mei Qi,0
Xin Qi,0
Xin Qi-CWRU,0
Xin Zhang,0
Xu Zhang,0
Xun Wang,0
Xun Zhang,0
YL,0
Yael Kiselman,0
Yael Kiselman-Lain,0
Yan Yu,1
Yang,0
Yang-Yu Liu,1
Yanjiao Zhou,0
Yanling Chang,0
Yayuan Liu,0
Yevgenia,0
Yevgenia Kozorovitskiy,0
Ying,0
Ying-Hui Chou,0
Ying-hui Chou,0
YuanYue Liu (UT Austin),0
Yuanyue Liu,0
Zhou Lin,0
Zhou Lin UMass quantum chemist,0
Ziming Yang,0
Zongqi Xia,0
[Unintelligible Speaker],0
adela,0
andreahicks_UWMadison,0
bot1,0
botB1,0
remibouteille,0
