burst_index,idea_id,timestamp,speaker,transcript,role,is_proposer,is_expansion
0,Idea_2,827.0,Kim Pepin,I have the same question.,other,False,False
0,Idea_2,827.0,Hannah Frank,"I go out, I catch bats, I take their saliva and then I do these PCRs for various infections. Um trying to understand what's out there. And something that I always think about is like I can get, you know, data on the infections, I can get data on, you know, immune parameters and stuff and but like what does that tell us? Like if you have a highly defended host or like, you know, they have high white blood cells, does that mean that they're sick? Does that mean that they are like ready to go or even if you look at it like from at evolutionary lineages, if something we can infer it's been under strong pathogen driven selection, does that make it any more or less likely to be a reservoir for infections? Does that mean like, oh, it's been under the strong pressure or maybe it's like really equipped and it pretty healthy. So I and with all this viral screening data and sort of data about hosts, what does that actually mean for spillover? So that first prompt might have been from one of my pre conference surveys.",other,False,True
0,Idea_2,894.0,Kim Pepin,"You know, essentially we can be confused together.",other,False,False
0,Idea_2,897.0,Crystal Hepp,Yeah.,other,False,False
0,Idea_3,897.0,Kim Pepin,"from a modeler's perspective, you know, like what surveillance data could we collect that would inform the drivers, you know? So I feel like, you know, traditionally we work a lot with just like PCR case data, you know? So that is like what most of epidemiological theory is built on is just case data and now with all the emerging technologies out there with, you know, these kind of immunity parameters, you, you know, how can we put all that stuff together to, you know, best inform spillover.",other,True,False
0,Idea_3,572.0,adela,"Yeah, for me at least of spillover is also the one that contains the like the the first source, the animal zero, you know, because that's the one that passed it on to animal one and then pass it pass it to humans, right? Uh, so I think both of them are part of the of the risk of that spillover and they both are going to uh represent different pressures, right? Because you would think that the first animal that normally gets infected, let's say like a bat, uh, they have a different immune response than a pig. So like what Justin was saying, because of that immune pressure, they are going to be different variants of the virus and that's why you see changes on the epito, right? You you you change you see changes in epito and you change see changes in receptor and that's when they then become able to infect humans. Like this is very well known like in influenza. In influenza the the influenza virus has the the per influenza has to pass through pigs in order to be able to infect humans. So we do know that there are pressures. We just don't know like to what extent these pressures uh are necessary for the for these pathogens to then spill over to humans.",other,False,True
0,Idea_13,567.0,Kim Pepin,"the different within host immune factors and what they mean in terms of traits. So, you know, we know and I mean like epidemiological or evolutionary traits of a pathogen. So if we think about the epidemiology side, we know that, you know, high host growth rates, you know, can lead to more transmission and therefore more viral replication and more genetic diversity. Um, and then we have this other side of things which is these immune factors that, you know, might cause bad physiological conditions in the host. So worse replication for the virus, not as much genetic diversity. And then we have these other situations where you get a high immune response and so there's like a strong immunity pressure, strong selection. So these kinds of I I thought about these questions like way back during my PhD with is there can we predict evolution based on environmental conditions. So if you have a situation that, you know, the pathogen can't propagate in very well, but a hard selection pressure, are there fewer ways to adapt in that context than if you're able to replicate to high rates, um, and maybe selection is weak. Um, so I just started thinking, you know, more recently I've been working in the world of epidemiology and thinking about all of the ecological processes and then folks who keep on the um evolutionary side, I still feel like these fields are a little bit siloed and our techniques, you know, the file dynamics have really been trying to bring in the demographics into um inference about evolution. But there's so much more to do, like we're still not really bringing in like the um environmental conditions and these different selection pressures that are in the environment as well as we could, you know, because like when we want when we want to go about predicting, you know, out there, where should we look for or where where is the high risk for an emerging disease, we got to be able to link these environmental conditions to this these evolutionary processes and I feel like that's kind of what we're missing. So I really I think what Hannah suggested in trying to understand, you know, what host immune factors should we be looking for. If we can be able to correlate those host immune factors to different within host conditions that affect the virus evolution, it seems like that's a good sort of avenue of questioning. Um, and I was thinking like it would be nice to sort of like list very broadly because I'm not an immunologist, but I've tried to dabble in like immunologist data and I'm like this is so confusing. Um, but like if an immunologist could tell me like, oh, when I get this reading, essentially that means the immune system is primed and there's like strong selection on the virus. Um, versus like when I get this reading, the host is super stressed out, it's not good conditions for viral replication. You know, then we could have these real basic traits that we could be putting in epidemiological models that are directly correlated to effects on viral evolution.",other,True,False
0,Idea_13,778.0,Linda Detwiler,"Thank you. You know, Salvador had his hand up.",other,False,False
0,Idea_13,782.0,Salvador Almagro,"Yeah, because I I think it's really nice that uh basically what Kim just mentioned and what Sarah mentioned, it's kind of like I I wanted to bring both of them within what the context of a understanding, you know, the the the ecological drivers, but also this kind of like um, you know, dark matter of of what it takes to be a pathogen and we understand that immune evasion is you know, the bread and butter of how to kill a human. But there's the more we know, the the clearer that this is just, you know, one of the millions hurdles that these organisms have to. So I think like looking at it from a holistic perspective on both sides, right? You know, a the the most random factor in the environment might be actually selecting for some traits that we don't really know have a major advantage in in colonizing the host. Again, we know that if you can, you know, avoid getting, you know, immune cells to detect you, that's a that's a wonderful thing if you want to kill us. But how about, you know, Sarah mentioned metabolic processes. Uh, how about the ability to use some some um, some nutrients and out compete things like the microbiota because you know, these guys if you want to colonize the gut, there's been somebody living there way longer than you. So you you have to take care of that as well. So there's like um, so this kind of juncture, right? juncture of what do you need to become a pathogen and what is giving you those traits in in the environment, you know, the training ground basically. So I I think that you know that kind of I it was useful that uh Kim mentioned that right after Sarah. So I think those two are one and the same, right? Uh two sides of the same coin.",other,False,False
0,Idea_13,890.0,Linda Detwiler,Okay. Thank you. Hannah.,other,False,False
0,Idea_13,893.0,Hannah Frank,"So I thought that was a really uh interesting point and thinking about, you know, how are we going to predict this thinking about the host factors and and the flexibility of the pathogen um and how it might compete. This is a little bit of a divergence, but I'm curious because we have people who do file dynamics and a lot of um pathogen sort of evolutionary relationships. How well does relatedness predict like spillover potential and ability to use a host.",other,False,False
0,Idea_13,927.0,Sara Zimmer,Anyone jump in to answer just the question of does genetic diversity predict spillover? That's one I've asked myself many times too.,other,False,False
0,Idea_13,937.0,Hannah Frank,Well diversity but also just like similarity.,other,False,False
0,Idea_13,938.0,Sara Zimmer,"Like I don't know if we've aggressive test like tested it using this is our hypothesis, right? Like you can incidentally find instances of this is true, this is not true. But has anybody actually gone out and said this is the hypothesis, let's find a way to test it.",other,False,False
0,Idea_13,567.0,Tavis Anderson,"is what what was special about that 2009 pandemic and that would be a slightly different question. Um but yeah, it's it's it's tough. I think the our active research program that we have here uh is trying to look at genetic similarity, phylogenetic methods and then we pass that off to my lab colleagues who can then do um laboratory assays and tests and in vitro and in vivo work, transmission pathology studies.",other,False,False
0,Idea_13,590.0,Hannah Frank,"I found it on that, but I can give to you that I don't think has gotten to a human.",other,False,False
0,Idea_13,594.0,Tavis Anderson,Yeah.,other,False,False
0,Idea_13,597.0,Kim Pepin,there's been some research recently on comparing the receptor structure similarity to make predictions about SARS COV2 replication and it seems like that's not a proportional relationship. So what does that tell us about um like is it because the predictions of the receptor are wrong or the I mean the receptor shape similarity are wrong or is it because there's some like it's just not a one to one relationship. You can't predict replication from receptor shape.,other,False,True
0,Idea_13,631.0,Hannah Frank,Sorry.,other,False,False
0,Idea_13,632.0,Linda Detwiler,"Wait, I'm gonna Cheryl and then we'll go Hannah. I'm sorry. Is that okay? I'm.",other,False,False
0,Idea_13,638.0,Cheryl Andam,I think Salvador raised his hand first.,other,False,False
0,Idea_13,641.0,Linda Detwiler,"Oh, okay. I'm sorry. Oh, whoever, Salvador, you go ahead because yeah, Cheryl pointed first, yeah.",other,False,False
0,Idea_14,648.0,Salvador Almagro,"So uh I I I'm not a virus but I know in bacteria it gets, you know, what uh Hannah was mentioning the the the tricky thing is that you have all of the above, right? You you you can find uh microorganisms that have a clonal offshoot that only a tiny little subset of a tiny little subset can cause disease in humans and then you have the crazy ones where, you know, you have pathogenic isolates, you know, popping out of every single cluster or or clay and the one that's next to it cannot really uh harm um in in our case some other vertebrate hosts. So uh I I I think that that that question could be kind of like slightly modified in why some only one and why some they are scattered all over the place because it it doesn't seem to be that you know, the only way to do it is if you have some sort of like, you know, phylogenomic uh conservation because some are insanely conserved and some are insanely divergent. So that that's uh that was my comment.",other,True,True
0,Idea_14,719.0,Linda Detwiler,"Thank you. Okay, Cheryl.",other,False,False
0,Idea_14,721.0,Cheryl Andam,"Yeah, I was going to follow up on the discussion about genetic similarity. The problem is that we have there's just too many gaps in the phylogenetic tree to make to make, you know, conclusions like that. But I totally agree that, you know, that would be an interesting direction that we can pursue um if we can find we can fill up all those gaps or as many as we can.",other,False,False
0,Idea_14,749.0,Linda Detwiler,"So and Hannah, I know you want to jump in there too. So what you had some comments, right? On.",other,False,False
0,Idea_14,755.0,Hannah Frank,"Oh, yeah, I just I I put it in the chat that sort of on the idea of uh what Kim was saying with the SARS COV2 receptor um structure. Um, I was just show saying that um I like I I did some digging into ACE2 in 200 different mammals and being really similar in those contact residues to humans seems to be pretty predictive of susceptibility but being really divergent doesn't seem to preclude susceptibility. So there's some weirdness.",other,False,False
0,Idea_14,785.0,Linda Detwiler,"Okay. So I'm gonna come back to to Cheryl here you started to say and then and I know Justin just raised his hand. So Cheryl, what would that look like as a project? Because you're kind of putting it pulling everybody's together, right? That that seems to be a direct. Do you can you kind of visualize some kind of project that would.",other,False,False
0,Idea_22,834.0,Linda Detwiler,I have another thing that happens in the preon or at least we do think it happens where plants uptake the pathogen and it's dispersed that way.,other,True,False
0,Idea_22,844.0,Tavis Anderson,Ah.,other,False,False
0,Idea_22,844.0,Linda Detwiler,"in in in grazing. There there's things that the roots uptake because of the soil, the preons are held in the soil.",other,False,False
0,Idea_22,857.0,Sara Zimmer,The preons are one step more terrifying than viruses.,other,False,False
0,Idea_22,861.0,Hannah Frank,Let's just say preons are terrifying.,other,False,False
0,Idea_22,869.0,Linda Detwiler,"Yeah, that's the BSE now you're in my territory. That's a zoonatic crossover. That's scary. It's very worrisome on that. Yeah, yeah.",other,False,False
0,Idea_22,878.0,Linda Detwiler,"Okay, well we're going to thank you so much everybody. You're terrific, great dialogue. Hannah again, terrific on capturing all this thing and we're going to be cut out in a little bit. So I appreciate everybody's input and whatnot and good luck to everybody in getting projects funded. I really would look forward to to your yeah.",other,False,False
0,Idea_22,898.0,Salvador Almagro,Thanks.,other,False,False
0,Idea_22,900.0,Tavis Anderson,Have a great day. Lovely to meet everybody and interact.,other,False,False
0,Idea_22,903.0,Tavis Anderson,Hopefully next year in person.,other,False,False
0,Idea_22,905.0,Salvador Almagro,Likewise.,other,False,False
0,Idea_22,906.0,Salvador Almagro,Bye bye.,other,False,False
0,Idea_22,907.0,Linda Detwiler,Bye.,other,False,False
0,Idea_22,567.0,Gonzalo Vazquez Prokopec,Good to see you and see others there. I guess we have to take a minute.,other,False,False
0,Idea_22,579.0,Lauren Charles,"So we don't have prompts right now, we're just thinking about animal movement and migration, is that correct?",other,False,False
0,Idea_22,590.0,Kezia Manlove,"No, they're in the slide. So if you go into the Google Drive folder, there's a Silog MZT meeting slides PowerPoint and ours I think is slide 17.",other,False,True
0,Idea_22,605.0,Kezia Manlove,This is a testament to all of my zoom teaching. I know exactly what slides are now.,other,False,False
0,Idea_22,618.0,Rebecca Garabed,"Yeah, so um I'm not really in this group. I have to leave to teach in like 12 minutes, but if I can help out at all, I have the slides here if you want me to just post them for a minute until you all get set up.",other,False,False
0,Idea_22,638.0,Rebecca Garabed,"Sorry, that's the wrong thing. Here we go.",other,False,False
0,Idea_22,650.0,Rebecca Garabed,So folks want to like take a minute and think about those.,other,False,False
0,Idea_22,736.0,Andrew Feig,"Hi everyone. Mike just sent me a ping. He's running late from his class, so I will cover briefly while Rebecca got us started.",other,False,False
0,Idea_22,743.0,Rebecca Garabed,maybe he'll get here right when I leave.,other,False,False
0,Idea_22,746.0,Andrew Feig,Exactly.,other,False,False
0,Idea_22,753.0,Rebecca Garabed,"Yeah, so I I mean I don't I don't know how much as a facilitator I should be facilitating here, but if um folks have had a minute to think about these.",other,False,False
0,Idea_22,771.0,Andrew Feig,"Have you gone around and gotten everybody introduced? Yeah, and if we stop sharing screen for a second, it will help.",other,False,False
0,Idea_22,777.0,Rebecca Garabed,That'll make it a lot easier.,other,False,False
0,Idea_22,780.0,Richard Wiener,"And I'll just make a brief comment that you'll see the people like Andrew and me will be moving in and out, not saying much just to observe and answer questions if needed. So have a good conversation.",expander,False,True
0,Idea_22,793.0,Rebecca Garabed,"All right, so so yeah, so I'm facilitator. I'm at Ohio State University.",other,False,True
0,Idea_22,798.0,Rebecca Garabed,"And we did all of these introductions before, but I can't think of which one we want to introduce with, but um I guess your your association with animal movement. So I look at animal movement and disease transmission primarily with these cattle here in Cameroon.",other,False,True
0,Idea_22,822.0,Rebecca Garabed,"Mark, you're the next one on my screen. Do you want to jump in?",other,False,False
0,Idea_22,823.0,Mark Wilber,"Sure. Um I'm Mark Wilber, I'm at the University of Tennessee. I'm a wildlife disease ecologist focusing on modeling transmission dynamics in wildlife disease systems. My association with animal movement, um I've been thinking a lot about it recently and I've done work with animal movement and how it contributes to transmission in bovine tuberculosis and um various swine pathogens.",hybrid,False,True
0,Idea_22,845.0,Rebecca Garabed,Um next one on my screen is Kezia.,other,False,False
0,Idea_22,849.0,Kezia Manlove,"Hi, I'm Kezia Manlove. I'm at Utah State University. I'm I'm like Mark a disease ecologist. Um most of my uh the kind of methodologically um the questions that I've been most interested in surrounding movement are um related to the spatial social interface and how that um facilitates or impedes transportability of models of movement. Um I think was I supposed to say something else? Okay, good. I'm done.",other,False,True
0,Idea_22,884.0,Rebecca Garabed,Guillaume?,other,False,False
0,Idea_22,887.0,Guillaume Bastille-Rousseau,"Okay, hi everyone. I'm I'm an assistant prof at Southern Illinois University. I'm actually more of a spatial wildlife ecologist or I kind of started doing more a lot more animal movement and like migration work, started dabbling more and more in disease ecology. So some of the work we're doing right now here at Southern Illinois include like whitetail deer and chronic wasting disease.",other,False,True
0,Idea_22,918.0,Avery Strait,Hi. Hello.,expander,False,False
0,Idea_24,567.0,Gonzalo Vazquez Prokopec,"is just a trait, but when you couple that with other traits like infectiousness, behavior, that's where the real sweet deal of exposure and emergence is and we uh we develop a couple conceptual and mathematical frameworks to incorporate mobility at a second order level, which is coupled with other heterogeneities. And great great talk. I I have to jump out because I I have class but I have TAs. I have to go in and out to check in but um I'm in.",other,True,False
0,Idea_24,596.0,Rebecca Garabed,"All right. And Liliana, I'm sorry, you're the last one here.",other,False,False
0,Idea_24,602.0,Liliana Salvador,"I know, no worries. Uh hi everyone. I'm Liliana Salvador. I'm an assistant professor at University of Georgia at the Institute of Bioinformatics and Department of Infectious Diseases. Uh, I think I am a computational biologist. I don't know. I I I it's it's it's mixed. And uh, uh, but uh, my contact with um animal movement has been during uh my PhD, I studied the statistical properties of movement of C Elegans, um, and it was a really good opportunity to link movement with behavior. Um, something that it's really hard unless you have an amazing data set, um, which um they are very hard to get, but in model systems that make becomes a little bit more feasible. And during my postdoc, then I I switched to another level. I worked quite a bit with cattle movements um to study bovine TB transmission. So cattle movements uh between farms. So it is more like from a network perspective rather than a statistical um or or let's say a trajectory um perspective.",other,False,True
0,Idea_25,674.0,Rebecca Garabed,"So, um, yeah, we've got a fair amount of diversity, um, at least definitely species wise, um, everything from like model systems to global movement to um local systems. So, um, if I can start you off on a question, um, is animal movement very species specific or is there something that we can translate across species. Um, and I'm not going to be able to take notes because I'm not going to be here when there's a readout, so is there anybody who just loves taking notes?",other,True,False
0,Idea_25,724.0,Lauren Charles,"I'll do it. It's fine. You don't want to, but I will.",other,False,False
0,Idea_25,729.0,Andrew Feig,"Thank you, Lauren.",other,False,False
0,Idea_25,737.0,Rebecca Garabed,"No problem. All right. So thank you, Lauren. Um, in the slides, it's I think, I forget which slide or slide number, I don't know. Uh, 23 is is specifically made for taking notes, but however it works, it works.",other,False,False
0,Idea_25,764.0,Rebecca Garabed,"All right. So yeah, so so is there anything we can talk about across species?",other,False,False
0,Idea_25,767.0,Liliana Salvador,"Maybe I can just start um I I think it is um actually quite generalizable um and but it is just a matter of scale. So, um, of course that this is a very general and simplistic way of looking at it, um, but if we do find the and thinking about even just like from a statistical point of view, if we can characterize the different um movement modes or um patterns that exist across species, if we can put it into a statistical framework, um, then I think we can generalize um properties from it that will change from scale to scale.",other,False,True
0,Idea_25,813.0,Rebecca Garabed,"So just um for clarification, when you say scale, like what are you picturing as differences in scale?",other,False,False
0,Idea_25,820.0,Liliana Salvador,"Um, a movement of um C Elegans or uh its space, basically is just space that occupied.",other,False,True
0,Idea_25,829.0,Rebecca Garabed,So like how how big the space is?,other,False,False
0,Idea_25,832.0,Liliana Salvador,dish or will the beast migration.,other,False,True
0,Idea_25,839.0,Rebecca Garabed,Okay.,other,False,False
0,Idea_25,845.0,Daniel Becker,"Yeah, I think about um probably migration as kind of like the main movement thing that I I work on but you know, thinking of that as a very specialized form of a general movement process that's just seasonal regular movement and uh",expander,False,False
0,Idea_25,858.0,Guillaume Bastille-Rousseau,"I I agree with uh what what you just said Daniel about that. I think from a modeling uh perspective, there's a lot of generalization I think we can do.",other,False,False
0,Idea_25,867.0,Guillaume Bastille-Rousseau,"But even with migration, I would say that uh I mean it's very what's driving the actual migration or the factor that are determining the timing of that migration is could be very system and even like within species will be can be fairly different. So uh yes, I think this I I still struggle to see like if we want to move toward generalize",other,False,False
0,Idea_25,898.0,Mark Wilber,"I also wonder I'm thinking about sort of the dimensions of movement that we care about for disease. It seems like we can generalize movement to some degree potentially. Um but then there's particular aspects of movement patterns that are more relevant to disease than others. So you know, thinking about contact being the most the most obvious, but it also could be like time spent in a foraging patch that gains some sort of uh nutrient level that changes susceptibility. So there's these different",hybrid,False,False
0,Idea_26,567.0,Mark Wilber,dimensions of movement too um that might be more important when we think about how do they influence disease and kind of wondering if those aspects are also generalizable rather than maybe other movement motifs that may might not be as important for um transmission or something along those lines.,hybrid,True,False
0,Idea_26,582.0,Lauren Charles,Can you just I that was a great thought and I was trying to get it down and I kind of missed. So what what are the dimensions? Can you give me some examples?,other,False,False
0,Idea_26,591.0,Mark Wilber,"Yeah, I guess I was thinking of like so when you think about movement, I guess one of the reasons I'm really interested in movement is because of contact and what does that mean for contact patterns between individuals when we think about movement. Um and so if you think about your like your your simplest situation where you have individuals just sort of moving randomly in some area, we have a very predictable contact pattern that emerges from that. Um but we sort of we sort of realize that in some cases that's not how animals are actually moving. And so what what do those what do those contact patterns actually look like and how do they link back to movement? I guess it's kind of what I was saying.",hybrid,False,True
0,Idea_27,624.0,Kezia Manlove,"Yeah, and I think that's a place where you know, like contact in particular, I think fundamentally diverges in some sense from what Guillaume was saying about, you know, depending on how resources defined, I suppose, but as as movement is being fundamentally responsive to resources, which is true if you're thinking maybe about densities, but maybe not true if you're thinking about direct interaction, which is perhaps more um more dependent upon social forces or you know, yeah, interspecific interactions. So I wonder if it's possible that um that you know, just just the the mechanisms that underpin specific kinds of interactions that are say or specific times of kinds of movement that are salient to disease should be it might be useful to focus more on those as opposed to like movement writ large, you know, because I'm not sure if we need all of movement to understand the salient portions for disease. We might but I but I don't know.",other,True,False
0,Idea_27,689.0,Liliana Salvador,"I would Sorry, Avery, go go ahead. Go ahead.",other,False,False
0,Idea_27,693.0,Avery Strait,"I was just going to say as far I mean interaction though, I think when you're modeling like for well just my example, uh brucelosis like aborted cast. So that's not necessarily direct transmission, but it's directly related to where they are geospatially and the opportunity for contact between domestic animals and other wildlife animals in the spread across the area.",expander,False,True
0,Idea_27,722.0,Liliana Salvador,"I was just going to say that uh while I think that um we can generalize um movement properties across systems, I think it is um and this is like trying to understand how they move, not thinking about why they move. Um but thinking about how movement will implicate disease transmission, I think that that is much more complicated because it will depend so much on the pathogen in cause. And not all movement types will will have the same effect for disease transmission for all pathogens. So I think it's really complicated.",other,False,False
0,Idea_27,769.0,Andrew Feig,"So if you were thinking about how you would change the way movement is measured, obviously radio frequency tagging has been done for decades, right? Um um how do we take this to the next level in terms of being able to understand which movements are relevant for disease transmission?",other,False,False
0,Idea_27,794.0,Andrew Feig,Or risk of disease transmission.,other,False,False
0,Idea_27,795.0,Avery Strait,"I'd say anytime there's interaction or higher risk of interaction, which, you know, could lead to disease transmission. So those points of interaction are going to be most important.",expander,False,False
0,Idea_27,808.0,Lauren Charles,"Yeah, the human animal interface. So what brings that closer together? What are the the reasons for that? That's really where you're going to get the zoonatic crossover.",other,False,False
0,Idea_27,824.0,Bethany McGregor,"Right. And just thinking about things that bring the animals together. I know one thing that has come up quite a bit in talking about climate change is the increased um incidence of drought. And when you have drought conditions and you have isolated water um sources, you tend to have more animals congregating around the same water source and you tend to have the possibility of for increased transmission in those situations. So doing surveillance in a drought scenario around limited water sources could probably be very helpful.",expander,False,False
0,Idea_27,877.0,Andrew Feig,So how do we merge the data streams?,other,False,False
0,Idea_27,878.0,Kezia Manlove,I'm going to posit that that's the wrong data set.,other,False,False
0,Idea_27,880.0,Andrew Feig,That's I'm I'm not not my space. That's I'm,other,False,False
0,Idea_28,883.0,Kezia Manlove,"Well, I guess I think that our information gap is not the biggest information gap, the most critical information gap with respect to movement is not our ability to sense environmental covariance. It is our ability to wall to wall collar everybody or alternatively to be able to predict contact in some other way. And then also we need a better handle on what's going on within the host, right? We take these hosts, we don't, you know, like when I work on megafauna, right? So we catch an animal, we get one cross-sectional sample, we can we're not calibrated to forecast disease dynamics well or or internal state well within the animal. And so we don't know how susceptibility is varying. So I think that in my mind at least the information gaps surrounding where everyone else is and what's actually happening in the animal seem like way bigger um obstacles than improved remote sensing. However, maybe there's a way to remotely sense moving animals without instrumenting them. That would be awesome.",other,True,False
0,Idea_28,567.0,Lauren Charles,"the facilitator take notes, but I will continue to do it just thinking about the next ones um because I do I am a idea generator, but I it's hard for me to do everything. So just I'm working on it.",other,False,False
0,Idea_28,586.0,Mike Wimberly,"I I was just going to since I just popped up, uh, I'm Mike Wimberly. I am the facilitator for this group, but I had uh as with a number of other people I had a conflict. So I have just uh gotten back to my office and emerged in the midst of your uh conversation. So I'm sort of going to listen a little bit to to start out before I try to do much in the way of active facilitating and kind of get a feel for where you where you all are.",other,False,True
0,Idea_28,618.0,Kezia Manlove,"Lauren, do you want me to take notes for a second so that you can like talk for a little bit? I don't mind doing that.",other,False,False
0,Idea_28,624.0,Lauren Charles,Sweet. Thank you.,other,False,False
0,Idea_28,628.0,Lauren Charles,Although I think I've filled the page already.,other,False,False
0,Idea_28,631.0,Kezia Manlove,"Yeah, I'll take them somewhere else and fill them in in a minute.",other,False,False
0,Idea_28,637.0,Mark Wilber,"I think I I wonder about. I guess I sort of have my own maybe answer to this, but I was curious what other people thought and we could just also not discuss this if it's not interesting. But I was just curious, you know, if we had even if we had the perfect data set where we had, you know, maybe some human movement over here and then we had some animal movement over here and we're able to track all the humans, track all the animals, like ideal world, what would we do with that? Like what what does that give us? we just did it in one population, is that useful? And I was just curious what people think about like what would that give us even if we had like like the perfect data in terms of movement.",hybrid,False,False
0,Idea_28,669.0,Lauren Charles,"I mean, I think yeah, I think you know, just thinking about say a mechanistic model, right? If we had the ideal movement data, then you add in the disease on top of it, we could potentially more accurately understand what is going to happen actually happen when a disease gets introduced. Um, it will also help us understand control measures that could be used and put in place if we, you know, see hot areas of where um, you know, there's a lot of interface between humans and animals or the high risk animals, um, I think that would be important as well as um say understanding I think we would also need to know um have some sort of surveillance and understanding of what the disease is the the relative amount in those populations um in addition to, you know, the normal disease parameters.",other,False,False
0,Idea_31,567.0,Mike Wimberly,"uh the complexities of a local disease transmission cycle. Um often, you know, the specific characteristics of that will not extrapolate to other areas, but I think there's a big potential for gaining a better understanding of important mechanisms that are, you know, that are often broadly more important beyond an individual system. The other thing I I kind of hear everyone kind of also sort of maybe almost using that as a reference point but stretching toward this idea, you know, toward the the fuzzier picture of you know, what types of data, what framework do we need for a you know, maybe something in the context of much larger scale, continental to global surveillance. And you know, I I kind of feel like what you're reaching for there is some level of abstraction. Because when you when you get up there, you're not going to be dealing with individual animals. You know, it's not going to be I think as we all recognize, it's not going to be feasible to track every single animal on the continent. But you know, what what is it that would be the most useful? You know, would it be, you know, just throwing out one example off the top of my head, is it, you know, much better uh, you know, detailed maps of key migration routes, being able to understand, you know, the timing of migration, how they might light up earlier or later in different years. Um, you know, when particular species might be moving, how those might be shifting from year to year. So, uh anyway, I I just wanted to try to um, you know, try to frame some of those ideas in terms of where I hear you all going. But uh, I'll kind of put it back to the the group now.",other,True,True
0,Idea_31,696.0,Lauren Charles,"I think in the point okay, sorry.",other,False,False
0,Idea_31,697.0,Avery Strait,You can go. Go ahead.,expander,False,False
0,Idea_35,650.0,Andrew Feig,"So let me let me chime in for just a second. So as I listen to the conversation, um, the highest density of animals are obviously anthropomorphic through husbandry and feed stock. And the high many of the largest animal movements are also part of the food chain of the the human livestock chains. Yet the conversation has been entirely or almost entirely driven on wildlife, non domesticated. Where is the balance of uh, you know, if if we of effort that should be put in terms of that spill potential for spillover through the the food stock chains of wildlife versus um uh wild animals.",other,True,False
