person_name,conference,year,session_id,segment,session_duration_sec,p_speaking_duration_sec,p_turns,ann_knowledge_sharing_score,ann_evaluation_practices_score,ann_idea_management_score,ann_coordination_and_decision_practices_score,ann_information_seeking_score,ann_relational_climate_score,ann_none_score,ann_participation_dynamics_score,ann_integration_practices_score
Chris Jones,2020NES,2020.0,S2,last,1835.0,100.0,4,3.0,1.0,4.0,,4.0,1.0,,,
Burcu Gurkan,2020NES,2020.0,S3,first,1619.0,75.0,1,2.0,2.0,2.0,,,,,,
Jeffrey Long,2020NES,2020.0,S3,first,1619.0,55.0,4,,,1.0,1.0,2.0,1.0,,4.0,1.0
Jeffrey Long,2020NES,2020.0,S3,last,1619.0,212.0,9,6.0,4.0,,10.0,2.0,3.0,,6.0,2.0
Burcu Gurkan,2020NES,2020.0,S3,last,1619.0,85.0,1,2.0,1.0,,,1.0,,,,
Phil Milner,2020NES,2020.0,S3,first,1619.0,102.0,1,2.0,2.0,2.0,,,,,,
Andrew Teixeira,2020NES,2020.0,S3,last,1619.0,37.0,2,2.0,1.0,3.0,1.0,,,,,
Xiao Su,2020NES,2020.0,S3,first,1619.0,57.0,1,1.0,,,,2.0,,,,
Phil Milner,2020NES,2020.0,S3,last,1619.0,33.0,2,,2.0,,,2.0,1.0,,,
Xiao Su,2020NES,2020.0,S3,last,1619.0,155.0,4,2.0,,2.0,3.0,3.0,3.0,,,2.0
Jimmy Jiang,2020NES,2020.0,S3,last,1619.0,55.0,2,2.0,2.0,1.0,,,,,,
David Kwabi,2020NES,2020.0,S3,first,1619.0,158.0,2,2.0,,2.0,,,,,2.0,
Jenny Yang,2020NES,2020.0,S3,first,1619.0,65.0,2,3.0,,1.0,,,1.0,,,
David Kwabi,2020NES,2020.0,S3,last,1619.0,174.0,5,5.0,2.0,6.0,1.0,1.0,,,,
Fik Brushett,2020NES,2020.0,S3,last,1619.0,237.0,4,6.0,4.0,6.0,,4.0,,,2.0,
Jenny Yang,2020NES,2020.0,S3,last,1619.0,92.0,3,2.0,2.0,2.0,,4.0,1.0,,,
Jesus Velazquez,2020NES,2020.0,S3,last,1619.0,27.0,2,1.0,,1.0,,,1.0,0.0,,
Katie Knowles,2020NES,2020.0,S4,first,1084.0,42.0,1,2.0,,,,,,,,
Chong Liu,2020NES,2020.0,S4,last,1084.0,41.0,2,2.0,,2.0,,2.0,,0.0,,
Marta Hatzell,2020NES,2020.0,S4,last,1084.0,25.0,4,4.0,2.0,,,3.0,,,,
Michael Nippe,2020NES,2020.0,S4,first,1084.0,100.0,1,2.0,,2.0,,2.0,,,,
Daniel Yawitz,2020NES,2020.0,S4,first,1084.0,19.0,1,2.0,,,,,1.0,,,
Adam Holewinski,2020NES,2020.0,S4,middle,1084.0,109.0,1,,,2.0,1.0,,1.0,,,
Jordi Cabana,2020NES,2020.0,S4,last,1084.0,79.0,8,1.0,,2.0,3.0,10.0,2.0,,2.0,2.0
Adam Holewinski,2020NES,2020.0,S4,first,1084.0,18.0,1,2.0,,,,,1.0,,,
Jordi Cabana,2020NES,2020.0,S4,first,1084.0,106.0,7,,,,7.0,2.0,5.0,,8.0,
Charles McCrory,2020NES,2020.0,S4,last,1084.0,30.0,2,2.0,1.0,3.0,,,,,,
Chong Liu,2020NES,2020.0,S4,first,1084.0,26.0,1,2.0,,,,,,,,
Carlos Morales-Guio,2020NES,2020.0,S4,last,1084.0,2.0,1,,,,,,,0.0,,
Marta Hatzell,2020NES,2020.0,S4,first,1084.0,19.0,1,2.0,,,,,,,,
Daniel Yawitz,2020NES,2020.0,S4,last,1084.0,238.0,3,4.0,2.0,,1.0,2.0,1.0,,,
Michael Nippe,2020NES,2020.0,S4,last,1084.0,35.0,2,2.0,,,1.0,,-1.0,,-1.0,
Katie Knowles,2020NES,2020.0,S4,middle,1084.0,57.0,1,,,2.0,,2.0,,,,
Charles McCrory,2020NES,2020.0,S4,first,1084.0,20.0,1,2.0,,,,,,,,
Carlos Morales-Guio,2020NES,2020.0,S4,first,1084.0,21.0,1,2.0,,,,,,,,
Adam Holewinski,2020NES,2020.0,S4,last,1084.0,97.0,2,1.0,2.0,1.0,,2.0,,,,
Roger Aines,2020NES,2020.0,S5,first,606.0,44.0,3,1.0,,,2.0,,,,3.0,
David Koweek,2020NES,2020.0,S5,first,606.0,37.0,1,2.0,2.0,2.0,,,,,,
Andrea Hicks,2020NES,2020.0,S5,first,606.0,39.0,1,,,2.0,,,,,,
Unidentified Speaker,2020NES,2020.0,S5,first,606.0,24.0,2,1.0,,2.0,,,,,,
Rafael Santos,2020NES,2020.0,S5,last,606.0,26.0,1,2.0,,2.0,,,,,,
Andrea Hicks,2020NES,2020.0,S5,last,606.0,118.0,5,7.0,,2.0,,,3.0,,,
David Koweek,2020NES,2020.0,S5,last,606.0,11.0,1,,,,,2.0,,,,
Marcel Schreier,2020NES,2020.0,S5,last,606.0,36.0,1,1.0,,,,2.0,,,2.0,
Julia Brown,2020NES,2020.0,S5,last,606.0,25.0,2,1.0,1.0,,1.0,,,,,
Roger Aines,2020NES,2020.0,S5,last,606.0,9.0,3,,1.0,1.0,1.0,1.0,1.0,,,
Andrew Feig,2020NES,2020.0,S5,last,606.0,21.0,2,,,,2.0,,1.0,,,
Peter Reiners,2020NES,2020.0,S5,first,606.0,51.0,1,2.0,,2.0,1.0,,,,,
Jane Zelikova,2020NES,2020.0,S5,middle,606.0,78.0,1,2.0,,2.0,,,,,,1.0
Venkat Viswanathan,2020NES,2020.0,S5,last,606.0,20.0,3,,,,1.0,4.0,,,,
Julia Brown,2020NES,2020.0,S5,middle,606.0,67.0,1,2.0,,,,,,,,
Jose Mendoza,2020NES,2020.0,S6,last,770.0,14.0,1,,,,,1.0,1.0,,,
Feng Lin,2020NES,2020.0,S6,last,770.0,126.0,2,2.0,2.0,3.0,-1.0,2.0,,,,
Linsey Seitz,2020NES,2020.0,S6,last,770.0,47.0,2,3.0,2.0,,,1.0,1.0,,,
Sarbajit Banerjee,2020NES,2020.0,S6,first,770.0,54.0,3,,,1.0,2.0,4.0,1.0,,2.0,
Shaama Sharada,2020NES,2020.0,S6,first,770.0,77.0,2,3.0,,2.0,2.0,,,,,
Tianbiao Leo Liu,2020NES,2020.0,S6,last,770.0,0.0,1,,,,,,,0.0,,
Rebecca Gieseking,2020NES,2020.0,S6,middle,770.0,46.0,1,2.0,2.0,2.0,,,,,,
Sarbajit Banerjee,2020NES,2020.0,S6,last,770.0,57.0,5,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,
Jose Mendoza,2020NES,2020.0,S6,first,770.0,155.0,1,2.0,2.0,2.0,,,,,,
Yuanyue Liu,2020NES,2020.0,S6,middle,770.0,147.0,2,4.0,4.0,2.0,,,1.0,,,
Eva Nichols,2020NES,2020.0,S6,last,770.0,20.0,1,2.0,1.0,1.0,,,,,,
Sarbajit Banerjee,2020NES,2020.0,S6,middle,770.0,27.0,2,,,2.0,,2.0,,,3.0,
Pratik Dholabhai,2020NES,2020.0,S1,last,1819.0,165.0,5,8.0,4.0,4.0,,,2.0,,,
Greeshma Gadikota,2020NES,2020.0,S1,last,1819.0,228.0,6,4.0,3.0,3.0,,7.0,1.0,,,
Burcu Gurkan,2020NES,2020.0,S1,last,1819.0,4.0,1,,,,,,,,0.0,
Andrew Teixeira,2020NES,2020.0,S1,last,1819.0,163.0,4,3.0,4.0,8.0,,2.0,,,,1.0
Xiao Su,2020NES,2020.0,S1,last,1819.0,181.0,5,8.0,5.0,6.0,,2.0,,0.0,2.0,
Jared Mason,2020NES,2020.0,S1,middle,1819.0,135.0,3,4.0,2.0,4.0,,1.0,,,,
Betar Gallant,2020NES,2020.0,S1,middle,1819.0,26.0,1,,,2.0,,2.0,2.0,,,
Chris Jones,2020NES,2020.0,S1,middle,1819.0,68.0,2,2.0,,2.0,,,,,,2.0
David Kwabi,2020NES,2020.0,S1,last,1819.0,69.0,2,2.0,,4.0,1.0,2.0,1.0,,,
Andrew Teixeira,2020NES,2020.0,S1,middle,1819.0,54.0,2,2.0,,2.0,,2.0,1.0,,,2.0
Greeshma Gadikota,2020NES,2020.0,S1,middle,1819.0,62.0,1,2.0,,2.0,,,2.0,,,
Burcu Gurkan,2020NES,2020.0,S1,middle,1819.0,65.0,2,2.0,2.0,3.0,,,,,,1.0
Katherine Hornbostel,2020NES,2020.0,S1,last,1819.0,50.0,1,2.0,,,,,1.0,,,
Jared Mason,2020NES,2020.0,S1,last,1819.0,197.0,6,9.0,,8.0,,2.0,1.0,,,
Chris Jones,2020NES,2020.0,S1,last,1819.0,300.0,12,11.0,9.0,8.0,4.0,8.0,1.0,,3.0,
Xiao Su,2020NES,2020.0,S1,middle,1819.0,52.0,3,3.0,5.0,2.0,,2.0,,,,
Pratik Dholabhai,2020NES,2020.0,S10,last,2236.0,111.0,2,4.0,2.0,4.0,,,1.0,,,
Kelsey Hazell,2020NES,2020.0,S10,middle,2236.0,5.0,1,,,,,2.0,,,,
Shu Hu,2020NES,2020.0,S10,middle,2236.0,18.0,2,,,,,4.0,2.0,,,
Wilson Smith,2020NES,2020.0,S10,last,2236.0,57.0,1,2.0,2.0,,,,,,,
Unknown Speaker,2020NES,2020.0,S10,middle,2236.0,35.0,1,,,,,,,0.0,,
Kelsey Hazell,2020NES,2020.0,S10,first,2236.0,38.0,3,2.0,2.0,2.0,,4.0,1.0,,4.0,1.0
Jordi Cabana,2020NES,2020.0,S10,middle,2236.0,87.0,7,,,2.0,4.0,6.0,,,5.0,
Adam Holewinski,2020NES,2020.0,S10,middle,2236.0,40.0,1,,,2.0,,2.0,,,,
Jordi Cabana,2020NES,2020.0,S10,last,2236.0,89.0,6,,,2.0,2.0,5.0,,0.0,0.0,1.0
Adam Holewinski,2020NES,2020.0,S10,first,2236.0,43.0,2,1.0,,,,4.0,,,,
Jenny Yang,2020NES,2020.0,S10,last,2236.0,38.0,1,2.0,,2.0,,,,,,
Venkat Viswanathan,2020NES,2020.0,S10,last,2236.0,211.0,3,6.0,2.0,2.0,,,,,,
Jordi Cabana,2020NES,2020.0,S10,first,2236.0,124.0,2,2.0,2.0,4.0,,4.0,,,,
Wilson Smith,2020NES,2020.0,S10,middle,2236.0,276.0,9,13.0,6.0,2.0,,3.0,5.0,,,1.0
Wilson Smith,2020NES,2020.0,S10,first,2236.0,357.0,7,14.0,6.0,6.0,,,,,,
Sen Zhang,2020NES,2020.0,S10,last,2236.0,33.0,1,2.0,,2.0,,,,,,
Jenny Yang,2020NES,2020.0,S10,middle,2236.0,137.0,5,6.0,0.0,4.0,,2.0,5.0,,,
Venkat Viswanathan,2020NES,2020.0,S10,middle,2236.0,156.0,4,4.0,,2.0,,2.0,1.0,,,
Caleb Hill,2020NES,2020.0,S10,last,2236.0,47.0,1,,2.0,2.0,,,,,,
Kelsey Hazell,2020NES,2020.0,S10,last,2236.0,56.0,1,2.0,2.0,,,,,,,
Jenny Yang,2020NES,2020.0,S10,first,2236.0,13.0,1,,,,,2.0,,,,
Shu Hu,2020NES,2020.0,S10,last,2236.0,23.0,2,2.0,,2.0,,1.0,0.0,,,1.0
Venkat Viswanathan,2020NES,2020.0,S10,first,2236.0,155.0,5,8.0,,4.0,,4.0,,,,1.0
Adam Holewinski,2020NES,2020.0,S10,last,2236.0,87.0,3,4.0,1.0,2.0,,2.0,,,,
Tianbiao Leo Liu,2020NES,2020.0,S11,first,2313.0,12.0,2,,,,,2.0,2.0,,1.0,
Jen Wilcox,2020NES,2020.0,S11,first,2313.0,173.0,6,,,2.0,3.0,4.0,2.0,,4.0,
Marta Hatzell,2020NES,2020.0,S11,last,2313.0,54.0,2,2.0,2.0,3.0,,2.0,,,,
Rafael Santos,2020NES,2020.0,S11,last,2313.0,103.0,2,2.0,,4.0,,,,,,
Michael Nippe,2020NES,2020.0,S11,first,2313.0,72.0,2,2.0,,2.0,1.0,,,,,3.0
Julia Brown,2020NES,2020.0,S11,first,2313.0,15.0,2,2.0,2.0,1.0,,,1.0,,,
Andrea Hicks,2020NES,2020.0,S11,last,2313.0,141.0,4,2.0,4.0,4.0,,,2.0,,,
Feng Jiao,2020NES,2020.0,S11,last,2313.0,101.0,5,5.0,1.0,5.0,,,1.0,0.0,,
Ashleigh Baber,2020NES,2020.0,S11,last,2313.0,17.0,2,,,2.0,,2.0,,,,
Shaama Sharada,2020NES,2020.0,S11,last,2313.0,197.0,2,4.0,2.0,4.0,,,,,,
Feng Jiao,2020NES,2020.0,S11,middle,2313.0,122.0,4,4.0,6.0,4.0,,,1.0,,,
Feng Jiao,2020NES,2020.0,S11,first,2313.0,44.0,1,2.0,,,,,1.0,,,
Rafael Santos,2020NES,2020.0,S11,first,2313.0,53.0,1,2.0,,2.0,,,,,,
Shaama Sharada,2020NES,2020.0,S11,middle,2313.0,81.0,2,4.0,2.0,2.0,,2.0,,,,
Marta Hatzell,2020NES,2020.0,S11,first,2313.0,101.0,3,4.0,,2.0,,2.0,,,2.0,
Ashleigh Baber,2020NES,2020.0,S11,first,2313.0,82.0,3,4.0,,4.0,1.0,2.0,2.0,,,
Tianbiao Leo Liu,2020NES,2020.0,S11,last,2313.0,205.0,7,4.0,6.0,5.0,,4.0,3.0,,2.0,
Jen Wilcox,2020NES,2020.0,S11,last,2313.0,351.0,9,11.0,1.0,4.0,3.0,6.0,3.0,,,2.0
Julia Brown,2020NES,2020.0,S11,last,2313.0,76.0,7,,2.0,5.0,,4.0,1.0,,4.0,
Michael Nippe,2020NES,2020.0,S11,last,2313.0,184.0,13,10.0,1.0,6.0,2.0,13.0,2.0,0.0,,1.0
Tianbiao Leo Liu,2020NES,2020.0,S11,middle,2313.0,41.0,2,2.0,3.0,2.0,,,,,,
Julia Brown,2020NES,2020.0,S11,middle,2313.0,33.0,2,,1.0,3.0,,1.0,2.0,,,
Michael Nippe,2020NES,2020.0,S11,middle,2313.0,55.0,3,4.0,2.0,4.0,,3.0,,,,
Chong Liu,2020NES,2020.0,S12,last,2890.0,607.0,13,15.0,5.0,7.0,1.0,2.0,4.0,,-1.0,2.0
Alissa Park,2020NES,2020.0,S12,first,2890.0,321.0,7,6.0,2.0,4.0,1.0,,2.0,0.0,3.0,
Praveen Bollini,2020NES,2020.0,S12,middle,2890.0,112.0,4,,,2.0,2.0,4.0,2.0,,2.0,
Burcu Gurkan,2020NES,2020.0,S12,last,2890.0,24.0,2,,,,,3.0,4.0,,,
David Kwabi,2020NES,2020.0,S12,middle,2890.0,146.0,3,5.0,,4.0,,3.0,1.0,,,
Praveen Bollini,2020NES,2020.0,S12,first,2890.0,277.0,5,1.0,,4.0,,8.0,1.0,,,
Fateme Rezaei,2020NES,2020.0,S12,last,2890.0,51.0,1,1.0,1.0,2.0,,,,,,
Chong Liu,2020NES,2020.0,S12,middle,2890.0,328.0,13,9.0,2.0,2.0,2.0,3.0,1.0,0.0,,1.0
Robert Gilliard,2020NES,2020.0,S12,first,2890.0,64.0,4,2.0,,,,2.0,0.0,0.0,,
Betar Gallant,2020NES,2020.0,S12,first,2890.0,77.0,2,4.0,2.0,4.0,,,,,,
Roger Aines,2020NES,2020.0,S12,middle,2890.0,5.0,2,,2.0,,,,1.0,,,
Chong Liu,2020NES,2020.0,S12,first,2890.0,105.0,3,4.0,,4.0,,,,0.0,,
Fateme Rezaei,2020NES,2020.0,S12,middle,2890.0,55.0,2,,2.0,2.0,,,1.0,,,
Feng Lin,2020NES,2020.0,S12,last,2890.0,44.0,2,1.0,,2.0,1.0,,2.0,,,
Roger Aines,2020NES,2020.0,S12,first,2890.0,106.0,4,4.0,4.0,2.0,,2.0,,0.0,,
Alissa Park,2020NES,2020.0,S12,last,2890.0,164.0,5,4.0,2.0,,,3.0,0.0,,4.0,2.0
Fateme Rezaei,2020NES,2020.0,S12,first,2890.0,27.0,1,,,,,2.0,,,,
Roger Aines Lawrence,2020NES,2020.0,S12,last,2890.0,54.0,2,4.0,2.0,,,,,,,
David Kwabi,2020NES,2020.0,S12,last,2890.0,29.0,1,,,,,2.0,,,,
Alissa Park,2020NES,2020.0,S12,middle,2890.0,294.0,13,4.0,,6.0,4.0,7.0,12.0,,3.0,4.0
Katie Knowles,2020NES,2020.0,S2,first,1873.0,3.0,1,,,,,1.0,,,,
Richard Wiener,2020NES,2020.0,S2,first,1873.0,244.0,5,,,2.0,8.0,,1.0,,2.0,
Luisa Whittaker-Brooks,2020NES,2020.0,S2,last,1873.0,11.0,1,,,2.0,,2.0,,,,
Silvia Ronco,2020NES,2020.0,S2,first,1873.0,7.0,1,,,,,,,,1.0,
Andrea Hicks,2020NES,2020.0,S2,last,1873.0,84.0,3,5.0,,2.0,,,1.0,,,
Li-Chiang Lin,2020NES,2020.0,S2,last,1873.0,38.0,1,2.0,,2.0,,,2.0,,,
Andrew Feig,2020NES,2020.0,S2,last,1873.0,69.0,3,6.0,,1.0,4.0,1.0,,,,
Dan Linzer,2020NES,2020.0,S2,first,1873.0,0.0,1,,1.0,,,,1.0,,,
George Shields,2020NES,2020.0,S2,last,1873.0,315.0,16,18.0,3.0,10.0,3.0,4.0,7.0,,2.0,
Emily Ryan,2020NES,2020.0,S2,last,1873.0,262.0,10,12.0,5.0,10.0,5.0,8.0,1.0,,,2.0
Jose Mendoza,2020NES,2020.0,S2,first,1873.0,11.0,2,,,,,2.0,1.0,,,
Kristen Schell,2020NES,2020.0,S2,last,1873.0,19.0,1,2.0,,,,,,,,
Katie Knowles,2020NES,2020.0,S2,last,1873.0,352.0,14,4.0,2.0,3.0,6.0,6.0,1.0,0.0,,5.0
George Shields,2020NES,2020.0,S2,middle,1873.0,69.0,3,4.0,,,2.0,,1.0,,3.0,
Matt Green,2020NES,2020.0,S2,last,1873.0,131.0,3,4.0,6.0,4.0,,,,,,
Emily Ryan,2020NES,2020.0,S2,middle,1873.0,18.0,1,2.0,,,,,0.0,,,
George Shields,2020NES,2020.0,S2,first,1873.0,15.0,2,1.0,,,3.0,,,,,
Charles McCrory,2020NES,2020.0,S2,first,1873.0,4.0,1,,,,,,0.0,,,
Adam Holewinski,2020NES,2020.0,S2,last,1873.0,221.0,8,8.0,,9.0,,3.0,1.0,,2.0,
Chong Liu,2020NES,2020.0,S3,last,790.0,18.0,1,2.0,,,,,,,,
Remi Bouteille,2020NES,2020.0,S3,last,790.0,15.0,3,3.0,,,3.0,,,,,
Jeffrey Long,2020NES,2020.0,S3,last,790.0,44.0,5,4.0,1.0,1.0,,4.0,2.0,,1.0,
Julia Brown,2020NES,2020.0,S3,first,790.0,4.0,1,,,,,2.0,,,,
Simona Liguori,2020NES,2020.0,S3,last,790.0,6.0,2,4.0,,,,,,,,
Shaama Sharada,2020NES,2020.0,S3,last,790.0,6.0,2,3.0,,,,,,,,
Shu Hu,2020NES,2020.0,S3,first,790.0,226.0,3,6.0,2.0,6.0,,,,,,
Rafael Santos,2020NES,2020.0,S3,middle,790.0,13.0,1,,,1.0,,,,,,
Jeffrey Long,2020NES,2020.0,S3,middle,790.0,101.0,4,2.0,2.0,2.0,,,3.0,,4.0,1.0
Jesus Velazquez,2020NES,2020.0,S3,last,790.0,34.0,2,1.0,,3.0,,2.0,,,2.0,
Rafael Santos,2020NES,2020.0,S3,first,790.0,1.0,1,,,,,,0.0,,,
Shaama Sharada,2020NES,2020.0,S3,middle,790.0,37.0,1,2.0,,2.0,,,,,,
Jeffrey Long,2020NES,2020.0,S3,first,790.0,31.0,1,2.0,,2.0,,,2.0,,,
Nanette Boyle,2020NES,2020.0,S3,middle,790.0,33.0,1,2.0,,2.0,,,,,,
Julia Brown,2020NES,2020.0,S3,last,790.0,5.0,2,1.0,,,,,0.0,,,
Daniel Yawitz,2020NES,2020.0,S3,last,790.0,62.0,3,4.0,,2.0,,,-1.0,,,
Phil Milner,2020NES,2020.0,S3,last,790.0,12.0,1,,,2.0,,,,,,
Fateme Rezaei,2020NES,2020.0,S3,first,790.0,71.0,1,,2.0,2.0,,,,,,
Shu Hu,2020NES,2020.0,S3,last,790.0,71.0,3,5.0,2.0,2.0,,,1.0,,,
Jane Zelikova,2020NES,2020.0,S4,last,2321.0,2.0,2,2.0,,,,,0.0,,,
Marcel Schreier,2020NES,2020.0,S4,first,2321.0,160.0,4,5.0,4.0,1.0,,2.0,2.0,,,
Oana Luca,2020NES,2020.0,S4,first,2321.0,82.0,3,4.0,,4.0,0.0,,,,,
Yuanyue Liu,2020NES,2020.0,S4,last,2321.0,42.0,1,2.0,2.0,2.0,,,,,,
Roger Aines,2020NES,2020.0,S4,last,2321.0,294.0,17,8.0,2.0,1.0,10.0,7.0,5.0,,16.0,
Gary Moore,2020NES,2020.0,S4,last,2321.0,18.0,2,2.0,1.0,,,,2.0,,,
Feng Jiao,2020NES,2020.0,S4,middle,2321.0,101.0,2,4.0,2.0,,,,,,,
Will Bowman,2020NES,2020.0,S4,first,2321.0,27.0,2,,,0.0,,2.0,0.0,,,
Feng Jiao,2020NES,2020.0,S4,first,2321.0,32.0,2,2.0,1.0,2.0,,2.0,,,,
Jenny Yang,2020NES,2020.0,S4,last,2321.0,132.0,6,3.0,,4.0,2.0,10.0,,,,
Gary Moore,2020NES,2020.0,S4,middle,2321.0,52.0,2,2.0,-1.0,,,,,,,
Carlos Morales-Guio,2020NES,2020.0,S4,last,2321.0,184.0,6,12.0,,4.0,,2.0,,,,
Feng Lin,2020NES,2020.0,S4,last,2321.0,82.0,2,4.0,2.0,,,,1.0,,,
Roger Aines,2020NES,2020.0,S4,first,2321.0,192.0,7,12.0,6.0,6.0,,2.0,4.0,,2.0,
Gary Moore,2020NES,2020.0,S4,first,2321.0,21.0,1,,2.0,2.0,,2.0,,,,
Tianbiao Leo Liu,2020NES,2020.0,S4,last,2321.0,118.0,4,2.0,,2.0,,6.0,1.0,,2.0,2.0
Marcel Schreier,2020NES,2020.0,S4,last,2321.0,91.0,2,2.0,2.0,2.0,,,3.0,,,
Oana Luca,2020NES,2020.0,S4,last,2321.0,144.0,3,6.0,2.0,2.0,,,1.0,,,
Jenny Yang,2020NES,2020.0,S4,middle,2321.0,3.0,1,,,,,,,,1.0,
Carlos Morales-Guio,2020NES,2020.0,S4,middle,2321.0,12.0,1,2.0,,,,2.0,,,,
Jenny Yang,2020NES,2020.0,S4,first,2321.0,97.0,5,6.0,2.0,4.0,,6.0,1.0,,,
Feng Lin,2020NES,2020.0,S4,middle,2321.0,8.0,1,,,,,2.0,,,,
Will Bowman,2020NES,2020.0,S4,last,2321.0,47.0,2,3.0,,,,,1.0,,,
Rebecca Gieseking,2020NES,2020.0,S4,last,2321.0,62.0,2,4.0,2.0,,,,,,,
Marcel Schreier,2020NES,2020.0,S4,middle,2321.0,16.0,1,2.0,1.0,2.0,,,,,,
