speaker,transcript,global_timestamp_sec,time_s,burst_id,in_valid_burst,timestamp,idea_id,is_expansion,is_proposer
Smadar Naoz,"Well, if the semi major axis changes, then yes, right? Semi major axis change, so the period ratio does change because the semi semi major axis ratio changes.",637.0,637.0,3,True,637.0,3,True,False
Tori Hoehler,Okay.,645.0,645.0,4,True,645.0,4,False,False
Solange Duhamel,"I think if we think about the redfield ratio in early earth, we it may be difficult to to predict in the sense that what we know today is oxygenated world and for example in the case of phosphorus, most organisms will assimilate phosphate and it was pretty rare on early earth when there was no oxygen, so we need to start looking into organisms that uh survive or make their living in um reduced environments. So we need to also think about environments that will be similar to early earth to go pick up those redfield ratios to make prediction and not necessarily in the open ocean today for example or uh other type of uh environment that are not representative of this early earth. So I think thinking of both the microbes, their processes but also their environments, everything is tied together which is also a difficulty because uh part of it is can you mimic that in the lab and uh how can how much can you simplify without losing important components that would uh artificially drive your results towards uh the wrong answer.",647.0,647.0,4,True,647.0,4,True,False
Robin Voigt,I think it is to record.,647.0,647.2,4,True,647.2,4,False,False
Unknown speaker,I don't see anything new.,647.0,647.4,4,True,647.4,4,False,False
Eliza Kempton,"your instruments are probably at very I mean you're you're looking at incredibly high spectral resolution um which we which we can now do for exoplanet atmosphere uh the technique so far is really limited to hot giant planets. Um but it was what Natasha was saying that you're still the the signal like you don't you don't get this like exquisite beautiful spectrum where you can just see all the lines, you get something that's like stuck in the noise underneath the fact that what you're primarily seeing is the star. Um and so you make a template spectrum that has you know that that has like the various isotopologues that you think might be present and you cross correlate against the noise and by leveraging the the the power of the entire broad spectrum, you get out a signal, you get out you know there's there's there's a match and there's a better match with one with one template than another. So it it is it is possible. I'm I'm on a paper right now that has that that potentially has a um a isotope measurement in a but in like a hot Jupiter atmosphere um and it's the easy it's it's like it's CO, it's like the easiest molecule to go after.",647.0,647.6,4,True,647.6,4,False,False
Mark Wilber,"Was that crosswalks you said? Yeah. Yeah, okay. I like that.",650.0,650.0,5,True,650.0,5,False,False
Bethany McGregor,"Yep, I will be doing this. So uh Brenda took the notes and I'll be doing the report out and this is kind of a great segue from the previous conversation on spillover.",650.0,650.1666666666666,5,True,650.1666666666666,5,False,False
Lingyan Shi,"Yes. Yes, so what about have a certain percentage of of heavy water inside the drinking water? So we provided 25% in the drinking water and let the mouse drink for days.",650.0,650.3333333333334,5,True,650.3333333333334,5,False,False
Andrew Vanderburg,"Yeah, Titan, Titan is the one solar system moon with a denser atmosphere than Earth.",650.0,650.5,5,True,650.5,5,False,False
Ulugbek Kamilov,I did it right before.,663.0,663.8,6,True,663.8,6,False,False
Joyoni Dey,"And also if we are I know you you are looking to answer better biological questions but they asked us to think beyond you know whatever is so what about neutron interferometry for these kinds of things. It's I can send you a potential paper, you know if people are interested in looking at it. It's alternative method and it has lots of complementary things to x-rays. So just one of like one of the papers I'm sure there are other many others. So for biological just just wanted to throw it out there that some of the methods have automatic you know like the one of the advantages of interferometry is that you're getting coherent scatter and it's undiluted with the long angle you know the blurring mechanism.",664.0,664.0,6,True,664.0,6,False,False
Michael Burton,"I can go next. Um, so um my name is uh Michael Burton. I am a uh early fourth year assistant professor at the University of Texas at Dallas. And um my lab is um I guess I'm I'm trained in uh I guess immunophysiology and behavior. So how the immune system um affects the the brain and and various behaviors and my lab is uh neuroimmunology and behavior where we are interested in how the peripheral uh nervous system and peripheral immune system um interact with one another to um change whole body behaviors, metabolism, metabolic function, um whole body and also cell metabolism. Um, and our context are um aging um um different pain states uh and and diet. So not quite microbiome either, but I can I have some small inlets of interest in in there. So um super excited about similar things um why how I can contribute to, you know, the greater microbiome cause, etc. So.",665.0,665.0,6,True,665.0,6,False,False
Mei Shen,"Let me see. Google Drive. Yeah, it should be 55.",665.0,665.25,6,True,665.25,6,False,False
Nicolas Cowan,"Yeah, Chris beat me to it.",665.0,665.5,6,True,665.5,6,False,False
Mimi Sammarco,"I I don't want to interrupt uh uh you know, the other discussions was very exciting and interesting. So if I didn't want to interrupt but we can write a line in that and we can talk offline. Okay. I'll message you offline then. Okay, thank you.",665.0,665.75,6,True,665.75,6,False,False
Shawn Domagal,"Thank you, Greg.",667.0,667.0,6,True,667.0,6,False,False
Eliza Kempton,"It's not uh not going to be detectable today, but how far off are we from it? Is is there a measurement that one could make with a 30 meter class telescope or is this going to require uh you know, 100 meter telescope, something something, you know, far off in the future. It would be interesting to look into. We just I basically need the predictions on our end.",668.0,668.0,6,True,668.0,6,False,False
Lisa Kaltenegger,"I think just like a very short comment on that, like talking to the biologists that do evolution, they don't really care about the moon. They uh, I think this is sometimes a notion that we have because we have one, but they are saying if life actually evolved on a planet without a moon where the the climate is maybe not as stable or seasonal, shouldn't matter, especially not if it's in the ocean or subsurface or if it evolved for it. So so it's not I I completely had the same idea that you had before that uh that a moon was essential, but every biologist I've spoken so far actually uh does not agree with that notion. So I think it's something that um is very interesting to see, you know, how often do these crashes happen and I think uh an even more interesting thing is like are these crashes a requirement or very useful for plate tectonics? I think this is where it becomes actually very interesting because that is different, right? So the moon is now stabilizing or doing the rotation thing or stabilizing the seasons, but maybe it's helping get plate tectonics started. That's uh kind of line of thought that a couple of people were thinking about making a moon potentially important. Sorry, but um is there anything that that you guys want to want to discuss of those ideas or do we just have a potpourri of ideas and then whenever you have like the the get together with all the the fellows only, uh you're going to flesh out something more? I don't know.",668.0,668.5,6,True,668.5,6,True,False
Jeff Thompson,"But I do think there's some experimental data at least from the oral or nasal microbiome showing that bacteria that are present at those epithelial surfaces uh can traffic across the the barrier and into the the brain and can actually be viable and live there. So it's not coming from the gut, um but it's another microbiome surface uh that that can directly at least shows as an example that that that bacteria can can do this.",688.0,688.3333333333334,7,True,688.3333333333334,7,False,False
Andro Rios,"That sounds really interesting and particularly from an, you know, I mean the organic if we're talking about organic molecules, I mean then they need to bring in an organic chemist or people that are interested in structures and and figuring out, you know, what I was actually going to talk about about, you know, uh a continuity of precursor molecules which you see that same isotopic signature in the same kind of precursor compound related to a a daughter compound in a in a pathway that's more representative of a of a biological system versus just general abiotic chemistry.",688.0,688.6666666666666,7,True,688.6666666666666,7,False,False
Dimitar Sasselov,"Oh, great. Thank you, Kimberly. So Kimberly is going to be our recorder and reporter.",689.0,689.0,7,True,689.0,7,False,False
Edwin Kite,"Um, so this mission proposal, this mission is already being proposed. Uh, so for our purposes just trying to come up with new ideas, I guess we need to broaden beyond series and like think about uh how asteroid belt exploration might test these ideas. And if asteroid belt exploration will generally there ain't no liquid water today except maybe immediately after impacts. Does that answer your question, Joe? So I guess it would be prebiotic.",689.0,689.5,7,True,689.5,7,False,False
Ziming Yang,"Yeah, so yeah, radicals already they they are very quick reactions, right? So uh, you have some like, you know, uh, like you know, a very very short short scale and for the modeling I think maybe uh, uh, you know, you guys learned about that is is not easy to do that. But well I think we can definitely try if it's worth is very important and very interesting. Um, and we we can design some model system to study that. You know, we we have done some like a model organic compound that we know exactly what kinds of radicals can be formed and then we can use some you know different uh parameters, right? And to examine how the radicals, you know, form maybe some chain reactions over time and uh yeah, to make things a little bit simpler at the beginning. So.",741.0,741.0,8,True,741.0,8,False,False
Brian Pogue,Well there's a comment from Mark here too about bottlenecks and rapid analysis.,741.0,741.3333333333334,8,True,741.3333333333334,8,False,False
Andro Rios,"Yeah, you know, that's that's a good point. Yeah, and I was thinking more of instead of these dead end products that are being formed, which are typically really just, you know, the bad stuff. You want things to to feed back to itself so you can actually have a system go. Um, and so yeah, related to that and optimal, maybe not positive. Yeah, thank you for that.",741.0,741.6666666666666,8,True,741.6666666666666,8,False,False
Maryellen Giger,"Thank you, Alex.",760.0,760.5,9,True,760.5,9,False,False
Wei Min,You you buy like 15 nanometer bead and then you calibrate your your resolution of a microscope. That's something that people always been always do that.,760.0,760.75,9,True,760.75,9,False,False
Lingyan Shi,"So if the the image stack, the hyperspectral image stack have for example uh 512 multiplied by 512 pixels and each pixel have its own spectrum information covered. And that allow us to do computational algorithm to do clustering, clustering out the same similar spectrum groups of the pixels. So if group one have this same Raman spectrum, then these pixels will be assigned to uh for example red color, one color. And group two, we we cluster out again and we assign different second color. Uh then there's no limitation as long as we can group out uh a group of of spectrum profile, we can assign a color for that specific group of molecule. So the the in the end, each pixel, there is a dominating molecule signal. Dominating molecule signal is um the the the final assigned color.",761.0,761.0,9,True,761.0,9,True,False
Chris Whtibey,"Yeah, I've been thinking a fair bit about um pH stress, obviously that being related to the to the vaginal microbiome but also the gut, you know, you're talking about the gastric microbiome, H pylori can thrive where lactobacilli would not, like they would die. So trying to think about what what ways we can use to study, I guess in a more high throughput way what the impact of different conditions on these different taxa are. Um might be one way to start to get a handle on this because I guess from what I'm what I'm gathering from the conversation is there are just so many different types of stress, so many different types of stress response that we're thinking about that we need to kind of start to define, okay, which ones do we want to look at, how do we look at them? Um which is all its own kind of question, like how do you define which which stress is the most important on a microbe? Oxidative stress seems like a reasonable place to start just based on leaky gut and what we know about oxidative stress and um metabolism, but I guess that's what I'm trying to run through that.",767.0,767.0,10,True,767.0,10,True,False
Sen Pei,"It's all right. I mean I I think you know from a perspective modeling work, I think it's very important to have data on the exposure history which related to how how the animal move around and how people interact with those animals. And and oftentimes we don't have those data in the same place. Maybe we have human movement data uh to study human diseases. We may have some um animal movement data uh to study like uh animal diseases, but I I think sometimes we don't have the combined exposure history or likelihood of that. And uh, you know, I we have done some works uh on uh antimicrobial resistant pathogens in hospital settings.",770.0,770.0,10,True,770.0,10,False,False
Victoria S Meadows,"Yeah, I I might recommend to Silog that they create create the documents for us because I've seen that and I just it's break out group one, two, three.",771.0,771.0,10,True,771.0,10,True,False
Shwetadwip Chowdhury,"Oh, they have a 3D library. a 3D collection. Like like they that includes a 3D phase library? Like 3D refractive index library?",771.0,771.25,10,True,771.25,10,False,False
Aniruddha Ray,"And so we do ratiometric imaging to figure out the pH. So what you can do is you can create a calibration curve externally. And one of the good things about nanoparticles is that these fluorescent dyes or any kind of dyes, they are protected inside the matrix.",771.0,771.5,10,True,771.5,10,False,False
Alexandra Dickinson,"Yeah, and plants, I mean, one way people use plants is is like for phytoremediation. So plants suck up the toxins and then degrade them is the idea and then release, you know, the the graded bits into the atmosphere so it's safe.",771.0,771.75,10,True,771.75,10,False,False
Marie,Yeah.,773.0,773.0,10,True,773.0,10,False,False
Christopher Hamilton,"So, um there are some fundamental differences. Ocean worlds might get a head start, but they might actually be capped in terms of the complexity just because they're they're missing some of these other environmental niches that that are needed uh both from a uh evolutionary standpoint but also just for the uh biogeochemical uh complexity that would be present on that world and therefore biomarkers.",773.0,773.5,10,True,773.5,10,True,False
Keith Hawkins,"Hi everyone. Um, I'm Keith Hawkins. Um, I'm an assistant professor at UT Austin in my I guess going into my fourth year, which is kind of crazy. Um, I actually have to I'll drop off the call in about 20 minutes and come back because I have my third year mid 10 year review. Um, and what was I going to say? Oh yes, I do I'm probably the only person here that doesn't really focus that much on exoplanets. I do galactic archaeology and galactic science. Um, with an emphasis on stellar um stellar chemistry.",775.0,775.0,10,True,775.0,10,True,False
Shawn Domagal,And then that might help people frame or put into context their introduction because I think what would be great is if people could talk about how they approach the question that I'm just about to mention.,775.0,775.5,10,True,775.5,10,True,False
Marie,"To to understand the emergent properties of the microbiomes. These may be more easily detected in simpler systems that once we initially propose will be important. But then how do they truly impact what we would be studying here, the gut brain axis and do they really remain important when the ecosystem becomes more saturated? And then how to measure that along the way.",776.0,776.0,10,True,776.0,10,False,False
Gillian Zuberberg,"Yeah, you know, in principle, right, it sounds from that like you'd be you could imagine like a workshop where people just like present all the tools that they that are available and and other scientists could go and and sort of find the things that are most relevant. That turns out not to work that well and for whatever reason in my experience at least you you get more benefit from um explaining from the science and like what specific thing is needed and then people suggesting things like, oh, you know, if you use this thing and maybe stick together this other tool with it then, you know, that'll solve the problem. Um, I don't know.",777.0,777.0,10,True,777.0,10,False,False
Maryellen Giger UChicago,I,778.0,778.0,10,True,778.0,10,False,False
Allison Dennis,I don't think,778.0,778.3333333333334,10,True,778.3333333333334,10,False,False
Shannon Quinn,I'm I'm unfortunately on Zoom on an iPad and taking notes on a desktop with the monitors right behind it.,778.0,778.6666666666666,10,True,778.6666666666666,10,False,False
Andro Rios,"Maybe it's something that's that's that's something that is possible. But yeah, the the history of the aqueous alteration and map it out according to uh the isotopic enrichment, that sounds like something that's quite feasible. It looks like you froze, I don't know or maybe I froze.",780.0,780.0,10,True,780.0,10,False,False
Kezia Manlove,"But real world I mean at least the systems that I work on they they they're behaviorally mediated frequency dependent, right? So like it's not as it would be nice, right? But I and I think there might be systems where you could do it, but I think it's hard like I I think there's a strong assumption associated with partitioning.",782.0,782.0,10,True,782.0,10,False,False
Joyce Jose,"intervention in a household or in a I I guess it depends on on the context. Like we cannot think about just one intervention that it's going to work across even if we're talking about the same rural settings, like it's also going to depend on the cultural aspects of the population at risk.",783.0,783.0,10,True,783.0,10,False,False
Xiao,"So, uh, we, we have been doing this, uh, I can't even similar to the question you're asking. Uh, basically, uh, we are looking at the alpha synuclein related induced Parkinson disease or alpha synuclein mutation related to Parkinson disease. Uh, our idea is that, you know, the, the, the patient actually carry the alpha synuclein, they show higher level or they have the alpha synuclein mutation. Uh, so this is the thing, so we kind of really prevent. However, uh, the gut microbiome or this is the stress from gut actually may form the inflammatory stress that actually track back to the brain which actually is further stimulate alpha synuclein aggregation or toxicity. That is what we thought.",785.0,785.0,10,True,785.0,10,False,False
Elizabeth Bess,Yes.,785.0,785.25,10,True,785.25,10,False,False
Lisa Kaltenegger,"I I think one of the things we haven't gotten to discussing but one of the things that I I'd be really interested in this is like maybe one of the biosphere could actually be helpful for the other biosphere or reverse. One of the biosphere will eventually kill off the other biosphere, you know, so that's kind of an interesting question. Uh is it going to be, you know, competition or or are they going to be so different that it doesn't matter, right? Like in a Titan idea, one is water based, one is methane based and so they would not interact.",785.0,785.5,10,True,785.5,10,True,False
Bradford Foley,"I can go next. Um,",785.0,785.75,10,True,785.75,10,False,False
Edwin Kite,"Uh yeah, so Stephanie and I have talked about one possibility. So uh, with mass and radius data alone, uh, we can't tell the difference between a world with a really deep ocean uh, and a world with no ocean at all. Um, so uh, an example would be uh a world with a uh buried clathrate layer that uh around a main sequence star that as the uh star warms up, the clathrate is destabilized gradually and so you have a a leak of methane into the atmosphere and that would could be totally consistent with an oxygenated atmosphere that forms early through hydrogen escape.",786.0,786.0,10,True,786.0,10,False,False
Noah Palm,"I would almost argue though the opposite, which is that really what you want to get the strongest signal are the people who have no genetic predisposition. But uh regardless of that, end up actually getting Alzheimer's, which would suggest that they have a stronger actually environmental or microbial component. And the people who are have genetically predisposed would actually have a weaker signal for non-genetic biomarkers.",786.0,786.5,10,True,786.5,10,False,False
Matthew Hopken,"Right, and those farmers you could probably sample if if that's say your focal point, you could also sample the livestock as well. They're somewhat sentinel.",786.0,786.75,10,True,786.75,10,False,False
Elizabeth Bess,Yes.,797.0,797.0,11,True,797.0,11,False,False
Brian Pogue,"Um, I don't know, why don't we just start at the top of my screen like Fanny, any have you any experience with single cell imaging?",797.0,797.3333333333334,11,True,797.3333333333334,11,False,False
Rosa Krajmalnik,The the nutrients come in different packages and in different shapes and that will also change the microbiota.,797.0,797.6666666666666,11,True,797.6666666666666,11,False,False
Mark Mimee,And my group is essentially uh a synthetic biology microbiome group. So we're really interested.,798.0,798.0,11,True,798.0,11,False,False
Shwetadwip Chowdhury,and,799.0,799.0,11,True,799.0,11,False,False
Brad Smith,"What integrative techniques allow wide field screening of tissue to identify a region of interest which can be subsequently imaged at very high magnifications, perhaps super resolution. So in some sense that's been talked about maybe in other sessions, but um.",800.0,800.0,11,True,800.0,11,False,False
Timothy W Lyons,ramped up a bit when we start to bring samples back from Mars but we'll be relatively simple observations and and and have the confidence that we need given how hard it is to do even on early earth. So what would be the what would be the perfect thing if you could find it within the limits of technical abilities now and as we foresee in coming decades.,801.0,801.0,11,True,801.0,11,False,False
Brad Smith,"So yeah, especially light sheet microscopy.",802.0,802.0,11,True,802.0,11,False,False
Anat Shahar,"Not ranting, it's very interesting. It's great.",802.0,802.3333333333334,11,True,802.3333333333334,11,False,False
Lisa Satterthwaite,"Yeah, yeah.",810.0,810.0,12,True,810.0,12,False,False
Alexandra Walsh,"Right. So it's it's just like normal fluorescence. So whatever techniques you use, it's it we can do it too. Um, so so we can do single photon and it's really great at looking at cells on a dish, but we can also adapt it for multiphoton and optical technologies that can do three-dimensional things like organoids or even in vivo up to a couple millimeters.",811.0,811.0,12,True,811.0,12,False,False
Smadar Naoz,"and a specific inclination. But if you think about the ort cloud of or if you think about um our our own Quiper belt that has some thickness to it, um the Opic method starts to fail. So then all the predictions are not so good. So this is something that I've been thinking about a lot recently and I think that um trying from analytical point of view to try to really understand how this behavior will like exactly what you asked, where will I put the Jupiter in order to know how many impacts I'll get from different positions. I I think this requires something that well I'm plugging it in. But so something that we're working on now really to try to uh to find a a new way um it's it's pretty straightforward actually, but any way to try to uh to generalize the Opic method to different um to different configurations and to generalize to general rocks that they can come from wherever and not necessarily from uh you know, the same plane that Jupiter lies. So it's really exciting for me from this point of view apart from all the other point of views that you guys have talked about.",811.0,811.5,12,True,811.5,12,False,False
Linda Detwiler,I have another thing that happens in the preon or at least we do think it happens where plants uptake the pathogen and it's dispersed that way.,834.0,834.0,13,True,834.0,13,False,False
Joyoni Dey,So.,834.0,834.1666666666666,13,True,834.1666666666666,13,False,False
Barbara Smith,Now well expansion is not,834.0,834.3333333333334,13,True,834.3333333333334,13,False,False
Matt Scruggs,"I think one of the most promising applications is in the area of environmental monitoring. We have a lot of data from satellites and sensors, but it's often unlabeled. Self-supervised learning could help us to learn from this data and improve our ability to monitor the environment.",834.0,834.6666666666666,13,True,834.6666666666666,13,False,False
Victoria S Meadows,"But but I mean but the time scales of that those impacts are going to be fairly long. So I mean we, you know, we as a species, you know, we can't really propose that we're going to observe for millions of years to see something happen. So is is there any is there any other mechanism you can think of that might produce an observable like it are there are there are there things that would move in concert in a certain way because of regulation that that we",835.0,835.0,13,True,835.0,13,True,False
Morgan Raven,"Well, I feel like this is probably relatively far off, but this is my sulfur bias coming through basically is I'm thinking about how might you actually get multiple sulfur bearing phases lofted up into the atmosphere that would be at high enough detection to ever see and some of them might be like cloud condensation nuclei or something like that. Um, sulfate aerosols, things like that.",835.0,835.5,13,True,835.5,13,False,False
Sixian You,I can get started on one of the topics.,836.0,836.0,13,True,836.0,13,False,False
Kristin Koutmou,Yeah. I am Kristen Koutmou. I'm at the University of Michigan. I am a biochemist and my lab is interested in,836.0,836.3333333333334,13,True,836.3333333333334,13,False,False
Victoria S Meadows,Rocky things have atmospheres too. Just tiny ones.,840.0,840.75,14,True,840.75,14,False,False
Nicolas Cowan,"And then the other thing we talked about was um the we talked for a while about the naked cores of like sub Neptunes and whether those are really any different or less habitable than um than uh like a bonafide rocky planet and the consensus seemed to be they're probably not that different. They might actually have more volatiles if I understood correctly because they've lost, you know, they started with a whole bunch of volatiles and then they just lost the hydrogen and the helium and so they might end up with like more carbon and nitrogen and oxygen than we would expect on a terrestrial planet. But I maybe I got that backwards. So Laura, if I got it backwards, correct me, please.",841.0,841.0,14,True,841.0,14,True,False
Carolyn Bayer,"And um method of moving between those time and space skills and then integrating orthogonal or multimodal where you would then you know, so demonstrate it sort of on on the small scale on a single imaging system.",842.0,842.0,14,True,842.0,14,False,False
Sen Pei,Um,854.0,854.5,15,True,854.5,15,False,False
Unknown speaker,Thank you.,855.0,855.0,15,True,855.0,15,False,False
Chris Whtibey,Yeah.,855.0,855.5,15,True,855.5,15,False,False
Dimitar Sasselov,Yeah.,856.0,856.0,15,True,856.0,15,False,False
Dylan McCreedy | Texas A&M,there has been a lot of nanoparticle uh optimization that that has sort of cell type specificity as well too.,863.0,863.5,16,True,863.5,16,False,False
Morgan Raven,"Well, I feel like this is probably relatively far off, but this is my sulfur bias coming through basically is I'm thinking about how might you actually get multiple sulfur bearing phases lofted up into the atmosphere that would be at high enough detection to ever see and some of them might be like cloud condensation nuclei or something like that. Um, sulfate aerosols, things like that.",864.0,864.0,16,True,864.0,16,False,False
Andrew Vanderburg,[garbled],864.0,864.5,16,True,864.5,16,False,False
Nicolas Cowan,"I have a question about the icy moons. How long do we have to wait for them to be habitable in the exoplanet sense that that the ice will melt? Like as the sun gets brighter eventually the icy moons are going to have surface liquid water. How long is that going to last for? And like is it is it conceivable if you look at evolved stars that you could be seeing a planet that is now a water world that used to be an icy world or something? I mean we find planets around evolved stars. It'd be it'd be a funny day, right? For the dolphins that have a whole civilization under the ice and then one day the ice melts and they're like, woo! The whole world out there.",865.0,865.0,16,True,865.0,16,False,False
Lisa Kaltenegger,"I think you would say that that sorry, that at the exoplanet modeling thing we just assume or mostly most people assume an isothermal atmosphere with like a certain composition and then you can say something.",867.0,867.3333333333334,17,True,867.3333333333334,17,False,False
Melanie Gareau UC Davis,Okay.,867.0,867.6666666666666,17,True,867.6666666666666,17,False,False
Jeff Brian Harman,"But that that that's the that that mediates the effect versus the fact that again, in this one isolated case that that we know a little bit about, you know, the percentage of the molecule that gets in the brain is a fraction of what's circulating in the body, right? And so there's much more of these metabolites that are still in the gut and in the rest of the body than the brain. So you know, to your point is that it could be doing the same molecule can do one thing in in one tissue and a different thing when it arrives in a different tissue, right?",868.0,868.0,17,True,868.0,17,False,False
Lisa Kaltenegger,Yeah.,869.0,869.0,17,True,869.0,17,False,False
Jin Zhang,"Yeah, that actually sort of a um is related to uh one of the uh things that mentioned by different people. I think in terms of looking at metabolites uh or metabolic processes uh what I guess what are the targets, the variety of different targets that we're we're thinking about. I I guess uh summarizing different, you know, different people's uh intro, uh you know, we looked at uh newly synthesized metabolites as a sort of a whole class. Uh specific species um NADH NADH uh or oxygen uh as a proxy or or uh developing specific probes for a very specific metabolite. So uh there these are all possibilities. What are some of the advantages uh and challenges uh of targeting these different things for looking at metabolites and metabolic processes. And as Kevin mentioned uh perhaps, you know, patterns uh features of any of those, right? as a you know, class uh or as a individual species could be used for diagnostic purpose. Just to uh throw the question out there.",869.0,869.25,17,True,869.25,17,False,False
Matt Bogyo,Cool.,869.0,869.5,17,True,869.5,17,False,False
Maryellen Giger,"The other type of AI is in general you can think of it as statistical, you know, it's the deep learning, it's um uh having the machine actually learn and I personally believe that in the future we need a mixture of these. I think it would be extremely interesting to have like um both types applied to your situation Girgis because you have you know, a lot of times it's hard to find the person with the model. You know, it's um but how do you want to bring that point up in this this Google Doc?",869.0,869.75,17,True,869.75,17,True,False
Kai Zhang,Yeah.,870.0,870.0,17,True,870.0,17,False,False
Carolyn Bayer,"So we're obviously not in the same domain as far as spatial resolution. So um and then when you start thinking about how to improve spatial resolution, then sensitivity becomes a problem, you know, as you're imaging smaller and smaller objects.",870.0,870.5,17,True,870.5,17,False,False
Courtney Dressing,Thank you.,871.0,871.0,17,True,871.0,17,False,False
Bill Mccleskey,We have a reporter but we just in the middle of uh a very interesting discussion.,872.0,872.0,17,True,872.0,17,False,False
Jeff Brian Norman,is it is it dampening inflammation?,872.0,872.5,17,True,872.5,17,False,False
Sapun Parekh,Thank you.,873.0,873.0,17,True,873.0,17,False,False
Ellen Sletten,"Well, I think we've sort of touched upon it is the molecular information, right? That is the early signals that we're going to be able to read out on. So how can we think about doing that in a cheap, non-invasive way that would allow more screening.",873.0,873.5,17,True,873.5,17,False,False
Jeff Brian Marcum,"So in in the chronic stress paradigms, was it corticosterone that led to these changes in it was like the molecule corticosterone that led to the changes in transport or you or is it some other system and you're in parallel measuring the stress response? Um, I'm just wondering, you know, is is is corticosterone that that molecular handle if you will connecting the you know, you know, GI effects.",895.0,895.0,18,True,895.0,18,False,False
Ali Keshavarzian,And there was the area in the ocean that there was no uh the old plume. Uh and those uh uh goblet and they microbiologists they studied of that part and the reason there was no uh the oil plume was that the bacteria in that area adopted to utilize oil as a as a resource. And therefore they got rid of the the bacteria in just a one example.,895.0,895.5,18,True,895.5,18,False,False
Aaron Engelhart,"Um the third and there's five here just you know where I am on this. And um is uh you know, thinking about prebiotic chemistry. I think we think of it as something that happened and then there was life. But I think that it's worth considering it as we think of these questions as kind of a progress bar for the emergence of life, you know, we go from low complexity to kind of what Dimitar is talking about higher complexity. Um and I think that that might kind of inform some of our thinking about, you know, we're talking about with exoplanets. Uh and then finally the last two are kind of related. Um there's going to obviously be some geochemical constraints on what kind of protobiomolecules emerge and that's going to vary from body to body. Um and this is going to have uh you know, impacts from a chemical perspective in terms of, you know, what surfaces are presented and what kind of chemistry you can do on the surfaces.",896.0,896.0,18,True,896.0,18,False,False
Seu Sim,"So you just install that for marker to allow you know, super resolution imaging but not having to sacrifice, you know, endogenous dynamics of biomolecules and I'm not really sure if it's possible but I want to know if you have thought about it.",909.0,909.0,19,True,909.0,19,False,False
Matt Bogyo,Yeah.,909.0,909.25,19,True,909.25,19,False,False
Tyler Robinson,"biological fluxes of things, what are plausible abiotic fluxes of things, um is a is a great way of um trying to get around um the the back and forth debate of what can make go to, what can't make go to, what can make methane, what can't make methane.",910.0,910.0,19,True,910.0,19,False,False
Kristin Koutmou,"Sure, so innate immune response.",929.0,929.0,20,True,929.0,20,False,False
Matt Scruggs,"Yeah, I think that's right.",929.0,929.5,20,True,929.5,20,False,False
