conference,session,speaker,timestamp,speaking_duration,nods_others,smile_self,smile_other,distracted_others,hand_gesture,interruption,overlap,screenshare,annotations,transcript,has_new_idea,has_explanation,has_decision,global_session,clip_number,min_clip_number,clip_offset,start_minute_raw,start_minute_adjusted,start_sec,end_sec,clip_offset_sec,start_sec_adjusted,end_sec_adjusted,is_deep_overlap
2021MZT,2021_10_01_MZT_S4,Maria Fernandez,05:36-06:11,35.0,0,0.0,0.0,0,,No,False,Yes,"{'expand on existing idea': 'Pilar expands on the idea of host susceptibility, which was brought up by Sarah, by mentioning that she has been working on integrating the social determinants of health and what it means for susceptibility, suggesting that social determinants of health will impact exposure and susceptibility.'}",I can't answer that a little bit because that's what I've been working on and trying to trying to integrate the social determinants of health and what it means for uh susceptibility. I mean the social determinants of health will impact exposure and susceptibility.,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,5.6,35.6,336.0,371.0,1800.0,2136.0,2171.0,False
2021MZT,2021_10_01_MZT_S4,Maria Fernandez,06:11-07:18,67.0,0,0.0,0.0,0,,No,False,Yes,"[{'expand on existing idea': 'Pilar expands on the discussion of host susceptibility by adding the aspect of what happens after the host is infected, such as the probability of recovery and access to healthcare, building on the previous discussion about spillover events and host factors.'}]","And and think that it's not often discussed is like once the host is infected, let's say human, uh what do they do with that? So the probability of recovering from that infection. Uh let's say uh seek health care and getting even diagnosed. Um so it plays into actually different routes. It's not just susceptibility. And and there's also uh one of the things that I I in the systems that I work at least, there are feedbacks and tradeoffs that are not that linear.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,6.183333333333334,36.18333333333334,371.0,438.0,1800.0,2171.0,2238.0,False
2021MZT,2021_10_01_MZT_S4,Maria Fernandez,07:18-07:20,2.0,0,0.0,0.0,0,,No,False,Yes,"{'acknowledge contribution': {'Explanation': ""The speaker is acknowledging the previous speaker's contribution to the discussion.""}}","Yeah, thanks.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,7.3,37.3,438.0,440.0,1800.0,2238.0,2240.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,07:20-07:22,2.0,0,0.0,0.0,0,,No,False,Yes,{'ask clarifying question': 'Andrew Feig is prompting the group to ask any further questions related to the topic of spillover that was just presented by the previous speakers.'},Any other questions for spillover?,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,7.333333333333333,37.333333333333336,440.0,442.0,1800.0,2240.0,2242.0,False
2021MZT,2021_10_01_MZT_S4,Mark Wilber,07:25-07:35,10.0,0,0.0,0.0,0,,No,False,Yes,"{'ask clarifying question': {'Explanation': 'Mark is asking a question to clarify what the metrics of success are when preventing spillover, indicating he is seeking further explanation on the topic.'}}","I had a quick question. Um it seems like potentially a somewhat naive question, but I struggle to find a good answer to it. What are our metrics of success when we like talk about preventing spillover?",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,7.416666666666667,37.416666666666664,445.0,455.0,1800.0,2245.0,2255.0,False
2021MZT,2021_10_01_MZT_S4,Mark Wilber,07:35-07:42,7.0,0,0.0,0.0,0,,No,False,Yes,"[{'present new idea': 'The speaker introduces the idea of defining metrics of success for preventing spillover, acknowledging that completely preventing spillover might be unrealistic, which is a novel concept in the discussion.'}]","Um and I think maybe you know obviously it's just like, oh, no spillover. That seems somewhat unrealistic. So how and it's a kind of a rare event for something like coronavirus.",True,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,7.583333333333333,37.583333333333336,455.0,462.0,1800.0,2255.0,2262.0,False
2021MZT,2021_10_01_MZT_S4,Mark Wilber,07:42-07:47,5.0,0,0.0,0.0,0,,No,False,Yes,"{'ask clarifying question': 'Mark Wilber is asking a clarifying question about how to measure success in preventing spillover events, given that complete prevention is unrealistic and spillover events are rare.'}",Like how do we determine that we have done something successfully?,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,7.7,37.7,462.0,467.0,1800.0,2262.0,2267.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,07:51-07:52,1.0,0,0.0,0.0,0,,No,False,Yes,"{'encourage participation': ""Andrew Feig is encouraging someone else to contribute to answering Mark Wilber's question about metrics of success in preventing spillover.""}",Anyone want to bite on that one?,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,7.85,37.85,471.0,472.0,1800.0,2271.0,2272.0,False
2021MZT,2021_10_01_MZT_S4,Sara Zimmer,07:53-08:00,7.0,0,0.0,0.0,0,,No,False,Yes,"{'explain or define term or concept': 'The speaker is explaining the general concept that prevention is difficult to measure, which is relevant to the discussion about spillover events and metrics of success.'}","I just want to say in general, prevention is the hardest thing to measure.",False,True,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,7.883333333333333,37.88333333333333,473.0,480.0,1800.0,2273.0,2280.0,False
2021MZT,2021_10_01_MZT_S4,Sara Zimmer,08:00-08:11,11.0,0,0.0,0.0,0,,No,False,Yes,"{'express frustration': 'The speaker expresses frustration about the difficulty in measuring prevention, which is a common goal but hard to quantify.'}","Um and is a huge issue because we're all striving for prevention, um, but how do you know that you prevented something?",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,8.0,38.0,480.0,491.0,1800.0,2280.0,2291.0,False
2021MZT,2021_10_01_MZT_S4,Sara Zimmer,08:11-08:12,1.0,0,0.0,0.0,0,,No,False,Yes,"{'express frustration': 'Sara Zimmer expresses frustration about the difficulty of measuring prevention, which is relevant to the discussion about metrics of success in preventing spillover.'}",I I don't know.,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,8.183333333333334,38.18333333333334,491.0,492.0,1800.0,2291.0,2292.0,False
2021MZT,2021_10_01_MZT_S4,Sara Zimmer,08:12-08:20,8.0,0,0.0,0.0,0,,No,False,Yes,"{'express frustration': ""The speaker expresses frustration that it is difficult to measure prevention efforts, making it seem like they haven't done anything even if they have been successful, which is related to the discussion about metrics of success in preventing spillover.""}",And I I feel like it makes a lot of our efforts seem like we haven't done anything yet we could be very successful and we have no idea.,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,8.2,38.2,492.0,500.0,1800.0,2292.0,2300.0,False
2021MZT,2021_10_01_MZT_S4,Sara Zimmer,08:20-08:21,1.0,0,0.0,0.0,0,,No,False,Yes,"{'express enthusiasm': 'Sara Zimmer expresses enthusiasm for the question that was asked about metrics of success in preventing spillover, indicating her appreciation for the inquiry.'}",So I I love the question.,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,8.333333333333334,38.333333333333336,500.0,501.0,1800.0,2300.0,2301.0,False
2021MZT,2021_10_01_MZT_S4,Sara Zimmer,08:21-08:30,9.0,0,0.0,0.0,0,,No,False,Yes,"{'express enthusiasm': 'Sara expresses enthusiasm for finding an answer to the question of how to measure success in preventing spillover, indicating her interest in the topic.'}","Um and if anybody has an answer, that would be that would be wonderful.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,8.35,38.35,501.0,510.0,1800.0,2301.0,2310.0,False
2021MZT,2021_10_01_MZT_S4,Rebecca Garabed,08:35-08:40,5.0,0,0.0,0.0,0,,No,False,Yes,"{'present new idea': ""Rebecca is about to introduce a new perspective from a policy standpoint, which hasn't been explicitly discussed yet.""}",Um I'll just stay from a policy standpoint.,True,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,8.583333333333334,38.583333333333336,515.0,520.0,1800.0,2315.0,2320.0,False
2021MZT,2021_10_01_MZT_S4,Rebecca Garabed,08:40-09:03,23.0,0,0.0,0.0,0,,No,False,Yes,"[{'express frustration': 'Rebecca expresses frustration about the difficulty of securing funding for preventative measures, especially in the context of disease prevention in livestock, which is a common challenge in public health and veterinary medicine.'}]","I one it's very hard to sell prevention, um you know, to get money, you know, usually for prevention as you probably all know, but even when you do think that you've done a lot of actions, right, to prevent the disease, either livestock etc.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,8.666666666666666,38.666666666666664,520.0,543.0,1800.0,2320.0,2343.0,False
2021MZT,2021_10_01_MZT_S4,Rebecca Garabed,09:03-09:11,8.0,0,0.0,0.0,0,,No,False,Yes,"{'express frustration': {'Explanation': 'Rebecca expresses frustration about the difficulty of demonstrating the value of prevention efforts, as people often dismiss successful prevention measures by claiming the negative outcome was unlikely to occur regardless.'}}","Um you get a lot of times comment, it wasn't going to happen anyway.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,9.05,39.05,543.0,551.0,1800.0,2343.0,2351.0,False
2021MZT,2021_10_01_MZT_S4,Lauren Charles,00:00-00:37,37.0,0,0.0,0.0,0,,No,False,Yes,"[{'present new idea': ""Lauren introduces the idea of shifting from a reactive approach to a proactive approach in dealing with potential outbreaks, which hasn't been explicitly discussed in this way before."", 'expand on existing idea': 'Lauren expands on the difficulty of measuring prevention success, which was brought up by Sara, by highlighting the reactive nature of current approaches and the desire to be more proactive.', 'express agreement': 'Lauren agrees with the previous discussion about the difficulty in measuring prevention, as stated by Sara and Rebecca.'}]","an issue with a lot of the way we approach things, it's so much often reactive. So, you know, we find it in the host and then we say, okay, um, and we're going to mitigate it and we we all want to move sort of as far left of boom as we can, but I think this question of did we prevent something or did we not is really what is um causing us to just be more reactive than proactive in in what we do. But yeah.",True,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,0.0,30.0,0.0,37.0,1800.0,1800.0,1837.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,00:37-00:49,12.0,0,0.0,0.0,0,,No,False,Yes,"[{'assign task': 'Andrew Feig is assigning the task of reporting on room 2.3 to Brenda and/or Bethany, indicating who is responsible for presenting the findings of that group.'}]","Excellent, great conversation. Okay, so we're going to move on to room 2.3 in precision surveillance and this will be Brenda and or Bethany. Uh, looks like uh Brenda may have had to step out.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,0.6166666666666667,30.616666666666667,37.0,49.0,1800.0,1837.0,1849.0,False
2021MZT,2021_10_01_MZT_S4,Bethany McGregor,00:49-01:00,11.0,0,0.0,0.0,0,,No,False,Yes,"[{'acknowledge contribution': ""Bethany acknowledges that Brenda took the notes, recognizing Brenda's contribution to the group's work."", 'explain or define term or concept': 'Bethany explains that her report will be a segue from the previous conversation on spillover, clarifying the connection between the current and previous topics.'}]","Yep, I will be doing this. So uh Brenda took the notes and I'll be doing the report out and this is kind of a great segue from the previous conversation on spillover.",False,True,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,0.8166666666666667,30.816666666666666,49.0,60.0,1800.0,1849.0,1860.0,False
2021MZT,2021_10_01_MZT_S4,Bethany McGregor,01:00-06:47,347.0,0,0.01,0.0,0,Open Palms,No,False,Yes,"[{'present new idea': 'The speaker introduces the idea of using chemical signals to passively sense pathogens in the environment, which is a novel concept not previously discussed.'}, {'propose decision': 'The speaker proposes the need to develop novel technologies and deploy them in the field to prevent the next big outbreak, suggesting a concrete action for the group.'}, {'explain or define term or concept': 'The speaker explains the concept of precision surveillance and its challenges, providing clarity on the topic for the broader audience.'}, {'assign task': 'The speaker assigns the task of reporting out the gaps, ideas, and challenges identified in the precision surveillance room.'}]","Uh the precision surveillance room had a great conversation, um very lively. Um and we identified several gaps, ideas and challenges uh to report out about. So, um from a gaps perspective, um infrastructure gaps are huge. So technologically speaking, you know, having sensors and tools to do monitoring and precision surveillance, you know, there are some tools out there already, there are some sensors coming online, but really we need to be, you know, filling some of these infrastructure gaps to develop these these necessary tools. Having the people with the necessary expertise to do the surveillance can be a challenge, especially on the scale that we realistically need to do, you know, so much surveillance for so many diverse uh pathogen systems out there. Um and then, you know, a similar concept that was discussed yesterday after the vector born disease is surveillance follows the money. Um and, you know, there's not always a lot of money in in the prevention, there's the money in the cleanup after something happens. Um and so realistically finding ways to fund um the surveillance aspects so we can prevent a problem before it even becomes an issue, um is going to be key. Um, we need to be developing novel and and newer technologies and deploying those in the field. I know there are several new technologies that are being tested right now all all around the world. Um, but really getting those up and online um sooner rather than later is is key to preventing the next, you know, big outbreak. Um, we need to be optimizing where surveillance is being conductive. Um, and and this is kind of in reference to, you know, in areas where you've got a university or you've got a big city, you tend to have a whole lot of surveillance going around in a very limited scope around those locations. But then you've got the rest of the world that maybe isn't getting nearly enough surveillance, you know, effort going into them. So are there ways we can model the best optimized surveillance networks to get the best bang for our buck. Um, we we talked about the possibility of having universal assays of pathogens that we can use in many, many different systems. So you don't have to reinvent the wheel, you can use the same assays across diverse systems, um using variable tech. Um and we also talked about the possibility of using environmental DNA techniques for the surveillance of of smaller animals and vectors, um where you maybe can't put wearable tech on a mouse or a mosquito, um but you can use DNA that's present in the environment to kind of monitor and surveil those populations. Um and and really we just talked about the gap of that communication barrier between the engineers and the biologist. So you've got a biologist who knows exactly what they want to measure, but they don't really know the engineering challenges behind how they get there. And then you have the engineers who know how to get there, but they're not entirely clear on on what the biologists are looking for. So finding a way to bridge that gap so we can make sure there's clear communication in the precision surveillance tools that we're looking for. So we had a couple of interesting ideas. Um, and one of the big ones that we talked about kind of at length was um using chemical signals to sense pathogens in the environment passively. Um, so you know, possibly using color sensor technology, um, you know, for like a vector born disease, if a mosquito deposited deposits virus on this color changing card and the card changes color, then we know that there was virus deposited there, we know there's virus in the environment. So talking about using um color changing technology to to possibly monitor uh pathogens in in the wild. Um, and and it also came up talking about nanoparticle sensors, um where we've got antibodies on these nanoparticle sensors that will change color upon detection of antigens and and you can use that in diverse systems, it's not just vector born diseases, but also in situations where you've got um more directly transmitted pathogens as well in an animal, um animal to animal contact environment. Um, and then challenges and opportunities. This left us with a lot of questions and not always a lot of answers. Um and that's because surveillance has to kind of assume a lot of different forms based on what you're looking at. So surveiling for mosquito board diseases is going to be very different from surveiling for brucelosis. And so we kind of talked about some of those differences and challenges moving forward. Um, and ultimately how does precision testing translate into action? So we can test for everything in the world, we can do all the surveillance in the world, but how do we take those data and actually put them into action and and act on them. Um, how what do you do and when do you enact some type of action after after making that surveillance. Um, realistically a big challenge is coming out with simple tools that minimize personnel requirements. Not everybody has, you know, a huge group of people who can go in and do a million PCRs and do a million identifications of mosquitoes and do a whole lot of this work. We need simple tools that can be used by anybody, possibly even a citizen science approach, um that will improve surveillance on a large scale. And then we talked about a very serious uh surveillance challenge on kind of smaller family farms that can be the source of disease because there can be barriers there where, you know, people don't want you to make that detection on their farm. It can mean something bad for their farm if you detect something in their animals. So so there's a very real challenge in uh kind of bridging those cultural barriers and even legal barriers with our our farm so we can do surveillance, but not in a way that harms anybody's livelihood. Um, so like I said, very good conversation in our group. We talked about a lot of things. I tend to think we're the best group.",True,True,True,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,1.0,31.0,60.0,407.0,1800.0,1860.0,2207.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,06:47-06:51,4.0,0,0.0,0.0,0,,No,False,Yes,"[{'ask clarifying question': 'Andrew is asking if there is any competition between the groups, which is a clarifying question about the nature of the discussion.'}]","But there's no competition here, is there? Um, okay, so any quick questions for uh precision surveillance?",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,6.783333333333333,36.78333333333333,407.0,411.0,1800.0,2207.0,2211.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,07:01-07:06,5.0,0,0.0,0.0,0,,No,False,Yes,"{'acknowledge contribution': {'Explanation': 'Andrew acknowledges the importance of the last point made by the previous speaker regarding equity issues in surveillance, recognizing its significance without necessarily agreeing or expanding on it.'}}","So obviously with that last point there are uh super important issues in terms of equity, um, um",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,7.016666666666667,37.016666666666666,421.0,426.0,1800.0,2221.0,2226.0,False
2021MZT,2021_10_01_MZT_S9,Christine K Johnson,00:00-00:01,1.0,0,0.0,0.0,0,,No,False,No,"{'express enthusiasm': ""The speaker expresses excitement or approval with the word 'Wonderful'.""}",Wonderful.,False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,0.0,80.0,0.0,1.0,4800.0,4800.0,4801.0,False
2021MZT,2021_10_01_MZT_S9,Peter Dorhout,00:04-00:16,12.0,0,0.0,0.0,0,,No,False,No,"{'acknowledge contribution': 'The speaker acknowledges the presence of the assigned members, recognizing their contribution to the meeting.', 'encourage participation': 'The speaker anticipates potential guests and acknowledges the presence of the assigned members, implicitly inviting them to participate.'}","And it looks like everyone who was assigned here is here. We may have some guests pop in, but um, I think everyone is here.",False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,0.06666666666666667,80.06666666666666,4.0,16.0,4800.0,4804.0,4816.0,False
2021MZT,2021_10_01_MZT_S9,Peter Dorhout,00:17-00:24,7.0,0,0.0,0.0,0,,No,False,No,"{'encourage participation': 'Peter is inviting Christine to start the meeting, encouraging her participation.'}","So Christine, would you like to start us out and uh, and launch us off or uh, how would you like to proceed?",False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,0.2833333333333333,80.28333333333333,17.0,24.0,4800.0,4817.0,4824.0,False
2021MZT,2021_10_01_MZT_S9,Christine K Johnson,00:24-01:07,43.0,0,10.0,0.0,0,Open Palms,No,False,No,"{'propose decision': 'Christine proposes a plan for the meeting, including converging on a plan for tackling questions, doing introductions, tackling important questions, and nominating a reporter.', 'encourage participation': 'Christine asks Peter for his thoughts on the best ways to make good use of the time, encouraging his participation.', 'ask clarifying question': ""Christine asks Peter if there is anything that worked particularly well in the sessions he's been doing, seeking clarification.""}","Yeah, Peter, I'd love to hear if you have thoughts on the best ways to sort of make good of the time that we have. I think, um, we maybe just want to converge on a on a plan for tackling which which um, sort of which questions, do a round of introductions just because I think almost everyone knows each other, but it doesn't hurt to really understand, um, to take 10, 15 minutes doing that. And then, um, tackle the most like important questions to us. Um, and and I think we could um, we could we could spend the rest of the time probably doing that and then nominate somebody to be our reporter. Does that sound good, Peter? Is there anything that worked particularly well in the sessions that you've been doing?",False,False,True,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,0.4,80.4,24.0,67.0,4800.0,4824.0,4867.0,False
2021MZT,2021_10_01_MZT_S9,Peter Dorhout,01:07-01:56,49.0,0,10.0,0.0,0,Open Palms,No,False,No,"{'assign task': {'Explanation': 'Peter is asking for someone to volunteer to be the recorder, which is assigning a task to a team member.'}, 'acknowledge contribution': {'Explanation': ""Peter acknowledges Bethany's previous work as a recorder, recognizing her contribution.""}, 'encourage participation': {'Explanation': 'Peter is directly asking for someone else to volunteer, encouraging participation from the group.'}}","Well, I like to uh, I like to maybe turn it around a little bit and ask who would who would be willing to be our recorder at this point. Um, Bethany, you did such a fantastic job last time with uh, with our report out from our uh, precision surveillance group. But that gets you off the hook from uh, from having to help out. So are there others who who would like to to step up and I can put the link if you don't have access to the Google Drive right now. I can put that in there if you like, but would appreciate uh some some new blood at the uh, um, recording and reporting.",False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,1.1166666666666667,81.11666666666666,67.0,116.0,4800.0,4867.0,4916.0,False
2021MZT,2021_10_01_MZT_S9,Christine K Johnson,01:56-02:00,4.0,0,0.0,0.0,0,,No,False,No,"{'acknowledge contribution': ""Christine acknowledges Peter's suggestion of Bethany as a recorder, recognizing that others have experience in that role as well.""}","Yeah, and I think we have a few others who've probably done it as well.",False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,1.9333333333333333,81.93333333333334,116.0,120.0,4800.0,4916.0,4920.0,False
2021MZT,2021_10_01_MZT_S9,Gonzalo Vazquez Prokopec,02:00-02:02,2.0,0,0.0,0.0,0,,No,False,No,"{'express agreement': 'Gonzalo agrees to be the recorder, which was requested by Peter in the prior turn.'}",I'd be happy to.,False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,2.0,82.0,120.0,122.0,4800.0,4920.0,4922.0,False
2021MZT,2021_10_01_MZT_S9,Peter Dorhout,02:02-02:05,3.0,0,100.0,100.0,0,Pointing,No,False,No,"{'express humor': 'The utterance is a lighthearted comment implying the recorder has an advantage in shaping the discussion, which is intended as a joke.'}",The person with the pen gets to actually make all the great points.,False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,2.033333333333333,82.03333333333333,122.0,125.0,4800.0,4922.0,4925.0,False
2021MZT,2021_10_01_MZT_S9,Christine K Johnson,02:06-02:07,1.0,0,0.0,0.0,0,,No,False,No,"{'express humor': 'Christine\'s statement ""I have a pen somewhere"" is a lighthearted response to Peter\'s comment about the recorder getting to make all the great points, suggesting she might volunteer to be the recorder herself, and is therefore humorous.'}",I have a pen somewhere.,False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,2.1,82.1,126.0,127.0,4800.0,4926.0,4927.0,False
2021MZT,2021_10_01_MZT_S9,Gonzalo Vazquez Prokopec,02:07-02:08,1.0,0,0.0,0.0,0,,No,False,No,"{'express agreement': 'Gonzalo agrees to be the recorder, which was requested by Peter in the previous turn.'}","I'd be happy to do it, no worries.",False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,2.1166666666666667,82.11666666666666,127.0,128.0,4800.0,4927.0,4928.0,False
2021MZT,2021_10_01_MZT_S9,Christine K Johnson,02:08-02:09,1.0,0,0.0,0.0,0,,No,False,No,"{'acknowledge contribution': ""Christine acknowledges Gonzalo's offer to be the recorder.""}","Gonzalo, perfect.",False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,2.1333333333333333,82.13333333333334,128.0,129.0,4800.0,4928.0,4929.0,False
2021MZT,2021_10_01_MZT_S9,Peter Dorhout,02:09-02:09,0.0,0,0.0,0.0,0,,No,False,No,"{'express humor': 'Peter makes a joke after Gonzalo volunteers to be the recorder and Christine mentions having a pen, likely referencing the power associated with recording.'}",Don't use your weapons.,False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,2.15,82.15,129.0,129.0,4800.0,4929.0,4929.0,False
2021MZT,2021_10_01_MZT_S9,Christine K Johnson,02:11-02:12,1.0,0,0.0,0.0,0,,No,False,No,"{'acknowledge contribution': 'Christine thanks Gonzalo for volunteering to be the recorder, acknowledging his contribution to the group.'}","Thank you, Gonzalo.",False,False,False,2021MZT_2021_10_01_MZT,9.0,1.0,80.0,2.183333333333333,82.18333333333334,131.0,132.0,4800.0,4931.0,4932.0,False
