id,t,t_start,t_end,speaker,text
25,380.83333333333337,372.0,389.6666666666667,Sixian You,"Uh, so we work on label free imaging technologies and also just uh uh common multiphoton coherent image coherent raming imaging. And then the second aspect is how to use optics and algorithms to push it deeper."
26,400.33333333333337,389.6666666666667,411.0,Sixian You,"So instead of avoid uh multiple scattering photons just getting ballistic photons, how can we use multiple scattering? How can we use deterministic models of multiple scattering to get deeper into the tissue. And look, there's a way to cheat cheat it. Uh, so uh we just insert a fiber into it."
27,427.16666666666663,413.0,441.3333333333333,Luke Mortensen,"Sorry, change location. I use my computer. Okay, um, I'm uh assistant professor at University of Georgia. Um, and uh Athens Georgia, um biomedical engineering background. Um, and I um am primarily working with uh multiphoton imaging."
28,445.66666666666663,441.3333333333333,450.0,Luke Mortensen,"Um, so two photon and you know, a bunch of towards three photon, you know, etc. And um, uh trying to um move as well both on the fluorescence side, um as well as in the second harmonic, third harmonic generation. You guys can hear me?"
29,450.5,450.0,451.0,Sixian You,I can hear you.
30,472.0,457.0,487.0,Luke Mortensen,"Um and um so I guess I'll continue. Um, and so we're working towards like trying to image into and through highly scattering bone um or other highly scattering tissues."
31,496.5,487.0,506.0,Luke Mortensen,"Um, and doing that by moving towards like 1300, 1700 uh wavelength regime as well as doing um aberration correction and scattering correction to allow our point spread function to be um reconstructed deep in the tissue. Steve, do you have any introduction obviously you're"
32,519.375,507.0,531.75,Steve Jett,I'm I'm the fly on the wall. Okay. My name is Steve Jett. Uh my background is in electron and atomic force microscopy.
33,535.875,531.75,540.0,Steve Jett,So for me deep tissue imaging means I'm looking at a piece of tissue excised from somewhere deep in an organism.
34,555.0,540.0,570.0,Steve Jett,"However, over the last several years I was working on a project at the NCI called the imaging data commons where we had to think about collecting images related to cancer from a whole bunch of modalities. You know, initially this means radiology because those are most of the images that have been collected."
35,582.0,570.0,594.0,Steve Jett,"We started then thinking about cryo EM and we started thinking or the group that's still working is thinking now about other modalities like deep tissue imaging, you know. So how do you bring them all together, make them interoperable. And interoperable enough to where you can then infer knowledge."
36,597.0,594.0,600.0,Steve Jett,By asking a question about one type of data and pulling relevant information from other types of data like deep tissue.
37,612.7,600.0,625.4,Brad Smith,"Well, we seem to be a pretty coherent group here that we all are pretty much optical based or maybe ultrasound Barbara perhaps got the broadest capabilities. Uh anybody feeling it to be the reporter here?"
38,636.5999999999999,625.4,647.8,Brad Smith,There is a lot of benefit in being the reporter I tell you. Um I'll come back to that in two minutes.
39,656.9,647.8,666.0,Brad Smith,"Don't make me choose a birthday. which I will do, but whoever's birthday is closest to this day, you're in trouble, so it is an honor system I suppose."
40,672.5,671.0,674.0,Barbara Smith,"No, nobody's going to volunteer."
41,678.0,675.0,681.0,Brad Smith,"Well, I'll just go alphabetical. I've got all sorts of I got I throw a dice. I've got a dice here which I also do as well."
42,688.5,681.0,696.0,Brad Smith,"But there is some bit of anyway, as you can see now, it's a bit on the zoom in when it's in person, it's much better because you actually see an individual and you can point to them in the in the it's just like my family zooms, it's just total chaos and nobody pay any attention anyway."
43,699.5,696.0,703.0,Brad Smith,"You could stand up there and report back that elephants are the best way to do imaging. I bet you no one actually catches you on this, but anyway."
44,711.0,703.0,719.0,Brad Smith,"If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is,"
45,731.0,719.0,743.0,Brad Smith,"Are there methods beyond confocal and light sheet to address 3D regions deep within a tissue sample. That seems to me rather and some of you people are really focused on that. So where do you see in the next five years, let's say beyond light sheet, uh, how to how do people view that?"
46,752.0,748.0,756.0,Brad Smith,"And some of you are working exactly on this problem. So, you know, you can pump up why you're going to solve it, uh,"
47,771.5,764.0,779.0,Yevgenia Kozorovitskiy,"But but beyond light sheet, I mean, we've barely just gotten back to light sheet after 100 year hiatus. I think there's still an enormous amount of work to do on uh deep imaging with light sheet."
48,782.0,780.0,784.0,Brad Smith,Can I ask what did you get a commercial instrument your light sheet uh?
49,789.5,784.0,795.0,Yevgenia Kozorovitskiy,"Uh us no, we develop uh single objective based light sheet imaging systems. Like we have pushed super hard on depth in that context."
50,805.75,802.5,809.0,Brad Smith,"I mean, there's one thing to have specialized labs doing things, but then there's another once you get the machines or the scopes, you know, as a commodity in most labs, then then that's that that really has impactful."
51,818.0,809.0,827.0,Brad Smith,Because now you can put it in the hands of people that are problem based and now they can have sort of turn key and so at my place here we've just recently acquired a light sheet and it's been a bit of a disaster getting it running is it's still definitely not turn key technology it seems.
52,842.3333333333333,829.0,855.6666666666666,Yevgenia Kozorovitskiy,"Well, I I mean, I think there's more and more different kinds that are starting to be turn key. We have tried to get uh a couple of big companies to license our patents and they wouldn't."
53,862.8333333333333,855.6666666666666,870.0,Yevgenia Kozorovitskiy,"And then we just turned rogue and are doing everything absolutely open and just trying to help people build their own. So it may go beyond,"
54,875.0,871.0,879.0,Brad Smith,"Well, what about you multi photon folks, Luke and Sishan? How deep do you think you guys can go?"
55,894.5,880.0,909.0,Sixian You,"Um definitely further than light sheet. But it's a different game. Um, so I I think it's very interesting question. So I I feel light sheet is still at the uh development phase, right? So uh it takes biologist many years to accept confocal."
56,913.5,909.0,918.0,Sixian You,"Uh and so there might be a need to develop that technology much, much further on on the optical side to push that to biologist because they needed to be turn key."
57,922.5,920.0,925.0,Carolyn Bayer,I'll introduce myself real quick. I'm sorry I was running a bit late. Um but I'm Carolyn Bayer. I'm assuming everyone did introductions and I missed it. Um I'm Carolyn Bayer.
58,925.5,925.0,926.0,Brad Smith,modality and problem.
59,933.0,927.0,939.0,Carolyn Bayer,"Yeah, so I'm I work in photoacoustic imaging. Um, I'm at Tulane University. Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues."
60,942.5,940.0,945.0,Brad Smith,"Genia, you're the one that's pioneering it. You've you've"
61,958.0,945.0,971.0,Yevgenia Kozorovitskiy,"I I think yes, uh, but primarily by having advantages of gentle illumination and relatively rapid access to 3D information."
62,981.0,971.0,991.0,Yevgenia Kozorovitskiy,"And if you start combining that with the smart microscopy type approaches that were described by several groups in our previous brainstorming session, you could imagine situations where you can, you know, screen organoids that are developing in ways that are really efficient and give you a lot of the right kind of information."
63,997.5,991.0,1004.0,Yevgenia Kozorovitskiy,"So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth."
64,1010.25,1004.0,1016.5,Yevgenia Kozorovitskiy,"But if you think about, you know, broadly light shaping applications, I think would be would have been a better word to put there because light sheet to me it means that you rely somehow on camera based, um, sensor imaging, but light shaping applications are super broad and can rely on point detectors as well as camera based imaging and any kind of sensor that you want."
65,1030.75,1016.5,1045.0,Yevgenia Kozorovitskiy,"And that's where I think there's a lot of engineering, uh, that relates to depth where you have to kind of think separately about excitation delivery and then also, uh, as as as Sian thinks about a lot also getting back that information out somehow."
66,1056.75,1049.0,1064.5,Brad Smith,"Would it be fair to say that the develop continued development of genetic reporters is is going to be key to this as well? Um, so the more the more colors you can see and the redder the colors you are, this is going to help or are we pretty happy with the genetic reporters that you've got now?"
67,1086.5,1075.0,1098.0,Sixian You,"That's a that's a terrific that's a terrific point. Actually, a lot of imaging technologies we're developing now, uh, I was just talking with Genia yesterday about this voltage indicators, right? So, uh that is one example where it has really strong potential, but it's just not bright enough."
68,1110.3333333333335,1098.0,1122.6666666666667,Sixian You,"So I I think genetic reporters could be a very important breaking through point here. So the brightness, right, the efficiency, quantum efficiency, and then the second point is uh like you mentioned, the longer wavelength."
69,1134.3333333333335,1122.6666666666667,1146.0,Sixian You,"Uh, so recently there are starting to have efforts uh to shift to longer wavelength so that not only the excitation is in the infrared region, but also the emission is also in. So right now what sort of uh probes do you use for voltage? Are those the aneps or are they other kind of nanoparticles?"
70,1150.5,1147.0,1154.0,Sixian You,"Um, so I'm not as for this, um, we use genetic reporters, uh, something called ASAP and sometimes is uh some archam."
71,1175.1666666666665,1163.0,1187.3333333333333,Yevgenia Kozorovitskiy,"I mean there's a couple of different families of voltage reporters. None of them are perfect. Many of them are inverted, uh, meaning that, uh, that you have a decrease in fluorescence rather than an increase in fluorescence in response to some event that you're detecting."
72,1194.6666666666665,1187.3333333333333,1202.0,Yevgenia Kozorovitskiy,That's of course not great because the probes are also bleaching. And so kind of would much rather quantify an increase in fluorescence.
73,1213.0,1202.0,1224.0,Yevgenia Kozorovitskiy,"Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used."
74,1231.25,1224.0,1238.5,Yevgenia Kozorovitskiy,"Voltage sensor imaging is super important for neuroscience because despite the dominance of really heavily engineered GFP based calcium sensors, we know that calcium reporting of neural activity is really limited."
75,1252.0833333333335,1238.5,1265.6666666666667,Yevgenia Kozorovitskiy,"Uh, it's got really slow temporal kinetics, which helped us at first because we didn't have a good imaging methods to go faster. Uh, but it's slow, you know, it misses neuronal action potentials. It doesn't report hyperpolarization very well unless on a really slow time scale."
76,1268.8333333333335,1265.6666666666667,1272.0,Yevgenia Kozorovitskiy,"Uh, it doesn't tell you very much about, you know, not nothing about sub threshold events, which is"
77,1277.0,1272.0,1282.0,Yevgenia Kozorovitskiy,"you know, everything about how neurons compute is about sub threshold very interesting biophysics and integration across the, you know, unique and neuron type specific uh dendritic trees that they used to collect information with."
78,1303.0,1293.0,1313.0,Brad Smith,"Yeah, I think uh um Jean Young's lecture yesterday is really showing a glimpse in the future of just how sophisticated some of these genetic reporters can become."
79,1322.0,1313.0,1331.0,Brad Smith,"Um maybe Carolyn bring you in as we've just sort of been focusing a little bit here on pure fluorescence, but photoacoustic is uh that's one of the"
80,1352.0,1331.0,1373.0,Carolyn Bayer,"I was kind of my question as I was listening is that um, are we only thinking about deep tissue imaging in the context of optics and it seems like it's a very, you know, optics microscopy heavy group, but um, obviously thinking about our colleagues that work in other imaging modalities like MRI."
81,1384.5,1373.0,1396.0,Carolyn Bayer,"Um, you know, I do photoacoustics which is using um optics to excite to then ultrasound acoustics to receive. Um, you know, is there some other excitation that we should be thinking about beyond light since we know the limitations of light or"
82,1408.0,1396.0,1420.0,Carolyn Bayer,"alternatively, I mean just to describe what how we get around the limitation in photoacoustic imaging is that we are not worried about coherent focus light, you know, we're using scattered light for our imaging purpose."
83,1434.125,1421.0,1447.25,Carolyn Bayer,"Um that said we still have depth limitations. You know, we're limited to to two to three centimeters. I would say."
84,1451.625,1447.25,1456.0,Carolyn Bayer,"Um, but we still want to go deeper than that even obviously so that we can image clinically."
85,1469.0,1458.0,1480.0,Brad Smith,Well that's quite impressive two to three centimeters that uh that's um Do you and that's not a problem for you? I mean I I read this all the time in the papers but it's one thing to read it do do you can one regularly do biomedical
86,1491.25,1480.0,1502.5,Carolyn Bayer,So we we so there's there's essentially two different strategies for photoacoustic imaging. There's optical resolution photoacoustic imaging and that those are the super impressive like vascular networks that you see in the papers.
87,1513.75,1502.5,1525.0,Carolyn Bayer,And then there's acoustic resolution. So what I do primarily is acoustic resolution.
88,1539.0,1525.0,1553.0,Carolyn Bayer,"So, um, my spatial resolution is not going to be even close to what all the optical microscopists um can do. So I'm spatial resolution is more in the 100 to 200 micron."
89,1562.5,1553.0,1572.0,Carolyn Bayer,"But I think um there is I think a a huge growth area, although um clinical translation becomes a little less obvious or a little bit large of a barrier is developing contrast agents, right?"
90,1581.5,1572.0,1591.0,Carolyn Bayer,"And so not just agents which have different chromophore properties but maybe are responsive in some way, you know, are triggerable, um,"
91,1602.5,1591.0,1614.0,Carolyn Bayer,"rather than um, you know, so sort of distinguishing between different reactions rather than relying on um multi wavelength for multi chromophore kind of approach to distinguish between contrast agents or probes."
92,1627.0,1614.0,1640.0,Carolyn Bayer,"could be used, anything that's absorbing light or another form of energy could in theory be used to generate an acoustic signal. Um, and so the the problem we'll run into though with deep tissue imaging is sensitivity."
93,1646.5,1640.0,1653.0,Carolyn Bayer,"Um, so if you had a genetic reporter, you're not likely generating sufficient concentrations at depth that you would have the sensitivity necessary to detect it."
94,1659.5,1653.0,1666.0,Carolyn Bayer,"Um, you know, we think a lot though about redesigning our systems for improved signal to noise, you know, improved light delivery, you know, and all of those things can work in your favor when you're trying to really push the limits on sensitivity, but we obviously have some big goals and big challenges."
95,1674.6666666666665,1667.0,1682.3333333333333,Alexandra Dickinson,"I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific."
96,1690.0,1682.3333333333333,1697.6666666666667,Alexandra Dickinson,"I'm wondering for photoacoustic imaging, you know, I hear a lot about detecting hemoglobin and I assume that's because it's very concentrated and has sort of spectral properties that are that are easy to detect using a photoacoustic imaging."
97,1705.3333333333335,1697.6666666666667,1713.0,Alexandra Dickinson,"What other kinds of molecules can you detect and um, yeah, what is the kind of specificity?"
98,1725.0,1713.0,1737.0,Carolyn Bayer,"Yeah, so we use ICG, you know, um, so we're typically imaging in the near infrared, um, far near infrared if we can get those dyes. Um, and you know, I'll often talk to people who are developing fluorescent probes who have failures that aren't fluorescent. You know, so those are the ones that we can image well."
99,1737.5,1737.0,1738.0,Alexandra Dickinson,Failures?
100,1749.5,1738.0,1761.0,Carolyn Bayer,"Sorry, do they have to be both? Can they be fluorescent probes that work and? Well, I just say that because most people are trying to develop them for fluorescence and they're like, what else could I use this for? Well absorb."
101,1767.0,1761.0,1773.0,Yevgenia Kozorovitskiy,You're just the same argument made for pH sensing uh probes last uh breakout meeting where it was other people's failures were the best probes for this guy.
102,1774.0,1773.0,1775.0,Alexandra Dickinson,"Yeah, that's that's where we're at."
103,1786.0,1775.0,1797.0,Carolyn Bayer,"But I think um that I mean, obviously the other thing that absorbs light strongly is nano particles. Um so there's been a lot of people in photoacoustics that have used metallic nano particles which have surface plasma resonance that absorb it."
104,1815.5,1807.0,1824.0,Barbara Smith,There's some molecular um endogenous agents also photoacoustics um specific wavelengths have been shown with lipids and with DNA. Um so uh there's a a couple of components of cells and extracellular area.
105,1831.8333333333335,1824.0,1839.6666666666667,Barbara Smith,"And then I think what they meant by failures is uh with the fluorescence, um you've got the excitation and the emission and um, so it the those molecules are very good at at taking in and then emitting."
106,1847.5,1839.6666666666667,1855.3333333333333,Barbara Smith,"So if a molecule is not as good at emitting, it takes in a certain wavelength and it's very good for photoacoustics at that point because then that heat is a that energy is absorbed, it gets excited and then it can produce a photoacoustic response more than a fluorescent response."
107,1863.1666666666665,1855.3333333333333,1871.0,Barbara Smith,"So you can use a molecule that's not very good um at a at being fluorescent, you can still use it for fluorescence but it's not so good um but you can also generate a photoacoustic effect from it."
108,1890.1666666666665,1883.0,1897.3333333333333,Aniruddha Ray,"So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer. So melanin absorbs, everything absorbs."
109,1908.0833333333333,1897.3333333333333,1918.8333333333333,Aniruddha Ray,"So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be. And and that's where targeted contrast agents they really help. So everything, like every part of our body is talking all the time."
110,1922.4166666666665,1918.8333333333333,1926.0,Aniruddha Ray,"So whenever you're exposed to light, they are generating tiny bit of acoustic signal, so it's almost like talking."
111,1930.0,1926.0,1934.0,Brad Smith,I think a couple of you are experts at at like fibers or wave guides or things that actually send the light in. Do you want to?
112,1945.0,1934.0,1956.0,Barbara Smith,So what do we do in my lab? We're using um we're using actually clinically and clinical and research tools um to translate light and sound.
113,1967.0,1956.0,1978.0,Barbara Smith,"And so we use electrodes as our wave guides to um to send light down, uh target a molecule of interest in the in the deep tissue um that uh might have a some genetic marker. And then um we we can get both sound wave and light wave back up the electrode."
114,1984.75,1978.0,1991.5,Barbara Smith,"And so all all we need um is all of our um all of our software part uh and then the hardware part that we need is um the laser, uh optical fiber, any of optics that we need and then we um we trans transfer that light down."
115,1998.25,1991.5,2005.0,Barbara Smith,And we use that both in in research applications and then we also um use that in clinical applications.
116,2012.75,2005.0,2020.5,Barbara Smith,"And so we uh we develop um integrated systems for like pipels uh so for endometrial cancer for instance that um right now they go in blind and um an OBGYN will take out cells um in in throughout the uterus, but it's just a vacuum system that they'll place in and they'll um release a vacuum and then that tube will be removed manually."
117,2028.25,2020.5,2036.0,Barbara Smith,And so we've integrated like an optical and acoustic system into that so that they can have visual guidance and eyes where they're currently going in blind.
118,2043.75,2036.0,2051.5,Barbara Smith,"And so um how we um re I I would say um reposition the light as we go at a 90 degree angle, we'll we'll place an optical fiber in with um with some kind of redirection."
119,2059.25,2051.5,2067.0,Barbara Smith,"And so we can get um both optics and acoustics coming from the surrounding area so we can look for different different things both endogenous, so like um that hemoglobin and and different kinds of areas where there's increased vasculature um and acoustic information as well and they're also doing transactional ultrasounds."
120,2074.75,2067.0,2082.5,Barbara Smith,So they're doing acoustic information anyways.
121,2090.25,2082.5,2098.0,Barbara Smith,Um so we've we've integrated tools into research and clinical.
122,2101.5,2098.0,2105.0,Brad Smith,"It um it it always impresses me that you know, if you if you do get sick or you know, you get some sort of cancer like that, you"
123,2114.0,2105.0,2123.0,Brad Smith,"The best labs or the place or the best clinics, you know, that that I've sort of learned that with surgery as well is that there's still a a human performance in these technologies as they guide these things in. It's uh training is still a very important. I mean eventually I suppose robotics can take this over."
124,2129.0,2123.0,2135.0,Brad Smith,"But see, you you talked about a fiber idea as well, but I I sort of assume yours is at a more microscopic scale. Is that what you're envisioning?"
125,2145.333333333333,2135.0,2155.6666666666665,Sixian You,"Yes, so I was thinking about uh the just like a microendoscopy. So use uh fiber as the wave guide to transmit the images in."
126,2167.083333333333,2155.6666666666665,2178.5,Sixian You,There are challenges about it is that uh how to preserve the images on the way in and on the way out. And so how to use ultrasound to push this deeper. Um photoacoustic is a perfect genius example of doing this.
127,2187.625,2178.5,2196.75,Sixian You,"Uh another way to think about this um I have been really interested in this is how can we use the contrast from optical imaging. We have fluorescence, we have phase contrast from optics. sound the unscattering property, right?"
128,2205.375,2196.75,2214.0,Sixian You,"So if we know the signal is there, can we use ultrasound to confine the signal there, to modulate the signal, and then to get the signal back. So I think that could be very interesting and I need to learn more about Barbara's research on electrodes as wave guide. Uh, it sounds really fascinating."
129,2220.5,2214.0,2227.0,Barbara Smith,"Oh, I'd be delighted. Yeah, that's we are a little geeked out by it. Yeah, it seems like there's a lot of a lot of connections throughout throughout."
130,2232.5,2227.0,2238.0,Yevgenia Kozorovitskiy,"I would also Barbara love to talk to you more about that. We do some micro LED based wireless uh tech for sensing and control. Uh, so I would I would love to learn more about your wave guide."
131,2242.5,2238.0,2247.0,Barbara Smith,Sounds sounds great. Should we have should we talk now? We talk later. So maybe we'll keep on we'll keep on.
132,2251.5,2247.0,2256.0,Brad Smith,"Yeah, let's put a pin in that and if we find we have a bit of uh a bit of a lag, we'll come back to that."
133,2260.5,2256.0,2265.0,Brad Smith,I I want to help Jazz out a little bit because she's the only one in the whole conference I think doing plants and it seemed to me that plants have got like something around the outside so sticking an electrode into a plant might be the way to go.
134,2269.5,2265.0,2274.0,Brad Smith,"Is has that ever been thought about or uh what what's the problem that we could help you with, Jazz?"
135,2283.833333333333,2275.0,2292.6666666666665,Alexandra Dickinson,"I mean, I was thinking that would be really cool and I don't think it's been done to my knowledge. Um, so I think that would be something pretty exciting to try. I mean, I was just thinking, you know, as everybody was talking, um, something like you can think of plants are as super regenerators, right?"
136,2304.4444444444443,2292.6666666666665,2316.222222222222,Alexandra Dickinson,"Like a a bamboo plant for instance, if you ever have bamboo in your yard and you're trying to get rid of it, it's not going to happen. Like that plan is going to grow back. You can chop it down, you can cut off the roots, it will grow back. So it would be really cool to to look at a tissue like that that's really thick."
137,2322.1111111111113,2316.222222222222,2328.0,Alexandra Dickinson,"Um, if you could get, you know, a centimeter or two into that tissue and and look at the, you know, the regeneration processes. I think that would be really cool application of of this kind of technology that uh has not been to my knowledge done at all before."
138,2337.5,2329.0,2346.0,Brad Smith,"Yes, I've wondered there's people often want to have optical sensors sometimes for like pollution in the soil or the water and that, but I sometimes wonder if plants because they draw stuff up could be an interesting way to report back current environmental conditions."
139,2355.0,2347.0,2363.0,Alexandra Dickinson,"Yeah, and plants, I mean, one way people use plants is is like for phytoremediation. So plants suck up the toxins and then degrade them is the idea and then release, you know, the the graded bits into the atmosphere so it's safe."
140,2369.5,2363.0,2376.0,Brad Smith,"That's quite interesting. Well, just to move us one of the other points that we we had here in our in our talk sheet was this um adaptive imaging, this this scope or integrated. You So um let me try to read it out I suppose."
141,2385.5,2376.0,2395.0,Brad Smith,"What integrative techniques allow wide field screening of tissue to identify a region of interest which can be subsequently imaged at very high magnifications, perhaps super resolution. So in some sense that's been talked about maybe in other sessions, but um."
142,2404.0,2395.0,2413.0,Brad Smith,I don't know exactly how you would do that.
143,2422.0,2413.0,2431.0,Brad Smith,You would um anybody anybody got any ideas on how you would I.
144,2438.75,2431.0,2446.5,Luke Mortensen,"I was talking with uh Anaruda and Jazz yesterday about something kind of related to this, you know, if you have some sort of like some carrier or something, you can have multi component um where they're like, you know, permanently colocalized um reporters where you can, you know, perhaps use your photoacoustic imaging to be able to identify a location of interest and then have some kind of fluorescent tag associated with it as well."
145,2459.25,2446.5,2472.0,Luke Mortensen,"maybe even one that, you know, could allow you to do single molecule or whatever, you know, whatever else. going to do. Um, that seems like it could be like a cool way to that. I mean, I just I can't think of very many or any any examples of that, but, you know, it's not my area of expertise, so."
146,2491.0,2481.0,2501.0,Brad Smith,"I mean, I understand that problem in sort of in a clinical circumstance that you see a large piece of tissue and then you go in and then you try to do it almost cellular level microscopy. Adding then deep tissue on top of that seems a really difficult problem. Maybe we we'll we'll put a pin in that one as well."
147,2509.5,2502.0,2517.0,Carolyn Bayer,"Just just to throw an idea out there not to talk about photoacoustics again, but people have tried to take temporal characteristics, right? Where you have something that's blinking, um, and use that to improve resolution, right? So you can."
148,2519.75,2517.0,2522.5,Carolyn Bayer,"If your photoacoustic reporter is blinking, then you know, you can use a video and you can parse out the specific location of that thing."
149,2537.0,2528.0,2546.0,Brad Smith,"Yes, I suppose there is lifetime imaging. Does anybody here work in lifetime imaging? I mean is that is that a technology that would work at a deeper tissue as well?"
150,2561.0,2547.0,2575.0,Aniruddha Ray,"I worked on um using photoacoustics to determine the lifetime of dies for oxygen sensing. Inside tissues. Um, but that was what I did was uh was more of a sensing than imaging. But it's definitely possible. But then again with photoacoustics your resolution is not as good as optical purely optical methods."
151,2587.333333333333,2578.0,2596.6666666666665,Sixian You,"measurement is uh is an interesting approach to tackle deep tissue imaging because uh most fluorescence imaging are intensity dependent. So if you go deeper, it's actually not absolute, but lifetime is kind of absolute."
152,2601.333333333333,2596.6666666666665,2606.0,Sixian You,"So as long as you have enough photons, uh lifetime could be a robust way to go go forward, especially for some metabolic ratio metric imaging."
153,2614.75,2609.0,2620.5,Brad Smith,Let's um I mean I think. We we could return back to this wave guide.
154,2624.75,2620.5,2629.0,Brad Smith,"We've got 15 minutes, so we we may have to go to our bullet points, but I was anybody had any points that they wrote down or thought about that that they'd like to move this discussion in a to raise now or we can go back to Barbara's wave guide technology which was getting a lot of interest here."
155,2631.0,2629.0,2633.0,Carolyn Bayer,Wavefront is also interesting.
156,2634.5,2633.0,2636.0,Barbara Smith,There's a couple of people that do wave front shaping in here.
157,2644.0,2636.0,2652.0,Carolyn Bayer,"Yeah, that's what I was about to say. That's what I always ask when I meet people who do wave front shaping. How do we get. to five to six centimeters with your technique. Can we?"
