id,t,t_start,t_end,speaker,text
22,109.25,106.0,112.5,Aniruddha Ray,"So we basically develop different types of nanoparticles, um, metallic quantum dots, um, um, polymeric nanoparticles for biomedical imaging, sensing, as well as for therapy, uh, chemotherapy, photodynamic therapy."
23,115.75,112.5,119.0,Aniruddha Ray,"And we monitor them using fluorescence and photoacoustics, as well as some scattering and other things."
24,121.5,120.0,123.0,Brad Smith,"Jazz, can you what's your modality?"
25,127.08333333333333,123.0,131.16666666666666,Alexandra Dickinson,"Sure, so, um, I am a developmental biologist and I work in plants and um, I typically use fluorescence microscopy and chemical imaging using mass spectrometry imaging."
26,135.25,131.16666666666666,139.33333333333334,Alexandra Dickinson,"Um, but I'm always really interested in deep tissue uh problems."
27,143.41666666666669,139.33333333333334,147.5,Alexandra Dickinson,"Um, in in my field I think of it as either imaging can we image plants that are growing in soil?"
28,151.58333333333331,147.5,155.66666666666666,Alexandra Dickinson,Can we image any biological processes of plants growing in soil or can we image deep into a tree trunk?
29,159.75,155.66666666666666,163.83333333333331,Alexandra Dickinson,"Like something along those lines, although I've never done it."
30,167.91666666666666,163.83333333333331,172.0,Alexandra Dickinson,"Um, I just, you know, I'd be interested to see what possibilities might be out there to do that kind of work."
31,173.0,172.0,174.0,Brad Smith,"Uh Barbara, you're there?"
32,180.8,176.0,185.6,Barbara Smith,I am here.
33,190.39999999999998,185.6,195.2,Barbara Smith,In in full person.
34,200.0,195.2,204.8,Barbara Smith,"Um, so my imaging modality that we work with, uh, so, uh, we do develop imaging tools and we apply those imaging tools, um, and we also do some chemical analysis as well."
35,209.60000000000002,204.8,214.4,Barbara Smith,"Uh, so we work with photoacoustic imaging, uh, ultrasound, um, also fluorescence uh approaches and um, we're also working with near infrared, um, probes and contrast for uh deep tissue uh targeting specifically for neurons."
36,219.2,214.4,224.0,Barbara Smith,"Um, and then we also do LC and GC mass spec."
37,227.0,224.0,230.0,Brad Smith,"Uh yeah, Genia, you're can you talk now?"
38,243.3125,238.875,247.75,Yevgenia Kozorovitskiy,"I'm mid bite, so this is perfect."
39,252.1875,247.75,256.625,Yevgenia Kozorovitskiy,"Uh, my name is Genia or Yevgenia Kozorovitskiy and I am at Northwestern University and we're interested in optical fluorescence imaging, which we do with uh primarily with light sheet using single objective based approaches."
40,261.0625,256.625,265.5,Yevgenia Kozorovitskiy,"Um, we also do some two photon uh image basic point scanning imaging and also photolysis of chemical probes."
41,269.9375,265.5,274.375,Yevgenia Kozorovitskiy,"Um, and I think, you know, in my field deep tissue typically means one of three things."
42,278.8125,274.375,283.25,Yevgenia Kozorovitskiy,"One is, you know, throw more more photons at it and get deeper."
43,287.6875,283.25,292.125,Yevgenia Kozorovitskiy,"Um, two is you are in a light sheet type uh context then, you know, do some uh holography for shaping of beams."
44,296.5625,292.125,301.0,Yevgenia Kozorovitskiy,"Uh, or use some penetrative probes, uh, which for many pre-clinical applications are possible and there it begins to be more about optimizing those so that you get the most amount of information for the least amount of um tissue damage."
45,301.5,301.0,302.0,Brad Smith,Uh see Shim.
46,305.57142857142856,302.0,309.14285714285717,Sixian You,Hi everyone.
47,312.7142857142857,309.14285714285717,316.2857142857143,Sixian You,My name is Sishan Yo.
48,319.8571428571429,316.2857142857143,323.42857142857144,Sixian You,"Uh, I recently started in electric engineering department at MIT."
49,327.0,323.42857142857144,330.57142857142856,Sixian You,My background is in optics and microscopy.
50,334.1428571428571,330.57142857142856,337.7142857142857,Sixian You,"Uh, so, uh, we are very much troubled by deep tissue imaging because uh, we're we're blessed with this submicro resolution but we can rarely go deeper than millimeter uh depth."
51,341.28571428571433,337.7142857142857,344.8571428571429,Sixian You,"So what my lab does, uh, we want to tackle this issue and also a lot of other like imaging speed or contrast issue from three aspects."
52,348.42857142857144,344.8571428571429,352.0,Sixian You,"The first aspect is uh, um multiphoton imaging."
53,357.0,352.0,362.0,Sixian You,"How can we uh design different wavefront shaping or post shaping or even light engineering, light generation techniques to enable deeper penetration of the light."
54,367.0,362.0,372.0,Sixian You,"Uh, that's one aspect."
55,377.0,372.0,382.0,Sixian You,"Uh, so we work on label free imaging technologies and also just uh uh common multiphoton coherent image coherent raming imaging."
56,385.83333333333337,382.0,389.6666666666667,Sixian You,And then the second aspect is how to use optics and algorithms to push it deeper.
57,393.5,389.6666666666667,397.3333333333333,Sixian You,"So instead of avoid uh multiple scattering photons just getting ballistic photons, how can we use multiple scattering?"
58,401.16666666666663,397.3333333333333,405.0,Sixian You,How can we use deterministic models of multiple scattering to get deeper into the tissue.
59,406.5,405.0,408.0,Sixian You,"And look, there's a way to cheat cheat it."
60,409.5,408.0,411.0,Sixian You,"Uh, so uh we just insert a fiber into it."
61,415.83333333333337,413.0,418.6666666666667,Luke Mortensen,"Sorry, change location."
62,421.5,418.6666666666667,424.3333333333333,Luke Mortensen,I use my computer.
63,427.16666666666663,424.3333333333333,430.0,Luke Mortensen,"Okay, um, I'm uh assistant professor at University of Georgia."
64,432.83333333333337,430.0,435.6666666666667,Luke Mortensen,"Um, and uh Athens Georgia, um biomedical engineering background."
65,438.5,435.6666666666667,441.3333333333333,Luke Mortensen,"Um, and I um am primarily working with uh multiphoton imaging."
66,444.16666666666663,441.3333333333333,447.0,Luke Mortensen,"Um, so two photon and you know, a bunch of towards three photon, you know, etc. And um, uh trying to um move as well both on the fluorescence side, um as well as in the second harmonic, third harmonic generation."
67,448.5,447.0,450.0,Luke Mortensen,You guys can hear me?
68,450.5,450.0,451.0,Sixian You,I can hear you.
69,464.5,457.0,472.0,Luke Mortensen,Um and um so I guess I'll continue.
70,479.5,472.0,487.0,Luke Mortensen,"Um, and so we're working towards like trying to image into and through highly scattering bone um or other highly scattering tissues."
71,494.5,487.0,502.0,Luke Mortensen,"Um, and doing that by moving towards like 1300, 1700 uh wavelength regime as well as doing um aberration correction and scattering correction to allow our point spread function to be um reconstructed deep in the tissue."
72,504.0,502.0,506.0,Luke Mortensen,"Steve, do you have any introduction obviously you're"
73,511.125,507.0,515.25,Steve Jett,I'm I'm the fly on the wall. Okay.
74,519.375,515.25,523.5,Steve Jett,My name is Steve Jett.
75,527.625,523.5,531.75,Steve Jett,Uh my background is in electron and atomic force microscopy.
76,535.875,531.75,540.0,Steve Jett,So for me deep tissue imaging means I'm looking at a piece of tissue excised from somewhere deep in an organism.
77,553.5,540.0,567.0,Steve Jett,"However, over the last several years I was working on a project at the NCI called the imaging data commons where we had to think about collecting images related to cancer from a whole bunch of modalities."
78,568.5,567.0,570.0,Steve Jett,"You know, initially this means radiology because those are most of the images that have been collected."
79,575.0,570.0,580.0,Steve Jett,"We started then thinking about cryo EM and we started thinking or the group that's still working is thinking now about other modalities like deep tissue imaging, you know."
80,585.0,580.0,590.0,Steve Jett,"So how do you bring them all together, make them interoperable."
81,592.0,590.0,594.0,Steve Jett,And interoperable enough to where you can then infer knowledge.
82,597.0,594.0,600.0,Steve Jett,By asking a question about one type of data and pulling relevant information from other types of data like deep tissue.
83,601.5,600.0,603.0,Brad Smith,"Well, we seem to be a pretty coherent group here that we all"
84,608.6,603.0,614.2,Brad Smith,are pretty much optical based or maybe ultrasound Barbara perhaps got the broadest capabilities.
85,619.8,614.2,625.4,Brad Smith,Uh anybody feeling it to be the reporter here?
86,631.0,625.4,636.6,Brad Smith,There is a lot of benefit in being the reporter I tell you.
87,642.2,636.6,647.8,Brad Smith,Um I'll come back to that in two minutes.
88,653.4,647.8,659.0,Brad Smith,Don't make me choose a birthday.
89,662.5,659.0,666.0,Brad Smith,"which I will do, but whoever's birthday is closest to this day, you're in trouble, so it is an honor system I suppose."
90,672.5,671.0,674.0,Barbara Smith,"No, nobody's going to volunteer."
91,676.0,675.0,677.0,Brad Smith,"Well, I'll just go alphabetical."
92,678.0,677.0,679.0,Brad Smith,I've got all sorts of I got I throw a dice.
93,680.0,679.0,681.0,Brad Smith,I've got a dice here which I also do as well.
94,688.5,681.0,696.0,Brad Smith,"But there is some bit of anyway, as you can see now, it's a bit on the zoom in when it's in person, it's much better because you actually see an individual and you can point to them in the in the it's just like my family zooms, it's just total chaos and nobody pay any attention anyway."
95,697.75,696.0,699.5,Brad Smith,You could stand up there and report back that elephants are the best way to do imaging.
96,701.25,699.5,703.0,Brad Smith,"I bet you no one actually catches you on this, but anyway."
97,711.0,703.0,719.0,Brad Smith,"If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is,"
98,722.5,719.0,726.0,Brad Smith,Are there methods beyond confocal and light sheet to address 3D regions deep within a tissue sample.
99,730.25,726.0,734.5,Brad Smith,That seems to me rather and some of you people are really focused on that.
100,738.75,734.5,743.0,Brad Smith,"So where do you see in the next five years, let's say beyond light sheet, uh, how to how do people view that?"
101,750.0,748.0,752.0,Brad Smith,And some of you are working exactly on this problem.
102,754.0,752.0,756.0,Brad Smith,"So, you know, you can pump up why you're going to solve it, uh,"
103,767.75,764.0,771.5,Yevgenia Kozorovitskiy,"But but beyond light sheet, I mean, we've barely just gotten back to light sheet after 100 year hiatus."
104,775.25,771.5,779.0,Yevgenia Kozorovitskiy,I think there's still an enormous amount of work to do on uh deep imaging with light sheet.
105,782.0,780.0,784.0,Brad Smith,Can I ask what did you get a commercial instrument your light sheet uh?
106,787.0,784.0,790.0,Yevgenia Kozorovitskiy,"Uh us no, we develop uh single objective based light sheet imaging systems."
107,793.5,792.0,795.0,Yevgenia Kozorovitskiy,Like we have pushed super hard on depth in that context.
108,805.75,802.5,809.0,Brad Smith,"I mean, there's one thing to have specialized labs doing things, but then there's another once you get the machines or the scopes, you know, as a commodity in most labs, then then that's that that really has impactful."
109,818.0,809.0,827.0,Brad Smith,Because now you can put it in the hands of people that are problem based and now they can have sort of turn key and so at my place here we've just recently acquired a light sheet and it's been a bit of a disaster getting it running is it's still definitely not turn key technology it seems.
110,835.6666666666667,829.0,842.3333333333334,Yevgenia Kozorovitskiy,"Well, I I mean, I think there's more and more different kinds that are starting to be turn key."
111,849.0,842.3333333333334,855.6666666666666,Yevgenia Kozorovitskiy,We have tried to get uh a couple of big companies to license our patents and they wouldn't.
112,862.3333333333333,855.6666666666666,869.0,Yevgenia Kozorovitskiy,And then we just turned rogue and are doing everything absolutely open and just trying to help people build their own.
113,869.5,869.0,870.0,Yevgenia Kozorovitskiy,"So it may go beyond,"
114,873.0,871.0,875.0,Brad Smith,"Well, what about you multi photon folks, Luke and Sishan?"
115,877.0,875.0,879.0,Brad Smith,How deep do you think you guys can go?
116,881.25,880.0,882.5,Sixian You,Um definitely further than light sheet.
117,885.5,885.0,886.0,Sixian You,But it's a different game.
118,889.8333333333333,886.0,893.6666666666666,Sixian You,"Um, so I I think it's very interesting question."
119,897.5,893.6666666666666,901.3333333333334,Sixian You,"So I I feel light sheet is still at the uh development phase, right?"
120,905.1666666666667,901.3333333333334,909.0,Sixian You,So uh it takes biologist many years to accept confocal.
121,913.5,909.0,918.0,Sixian You,"Uh and so there might be a need to develop that technology much, much further on on the optical side to push that to biologist because they needed to be turn key."
122,920.5,920.0,921.0,Carolyn Bayer,I'll introduce myself real quick.
123,921.5,921.0,922.0,Carolyn Bayer,I'm sorry I was running a bit late.
124,922.5,922.0,923.0,Carolyn Bayer,Um but I'm Carolyn Bayer.
125,923.5,923.0,924.0,Carolyn Bayer,I'm assuming everyone did introductions and I missed it.
126,924.5,924.0,925.0,Carolyn Bayer,Um I'm Carolyn Bayer.
127,925.5,925.0,926.0,Brad Smith,modality and problem.
128,929.0,927.0,931.0,Carolyn Bayer,"Yeah, so I'm I work in photoacoustic imaging."
129,933.0,931.0,935.0,Carolyn Bayer,"Um, I'm at Tulane University."
130,937.0,935.0,939.0,Carolyn Bayer,"Um, and I'm primarily imaging preeclampsia, um, and so vascular remodeling and development deep in deep tissues."
131,941.25,940.0,942.5,Brad Smith,"Genia, you're the one that's pioneering it."
132,943.75,942.5,945.0,Brad Smith,You've you've
133,958.0,945.0,971.0,Yevgenia Kozorovitskiy,"I I think yes, uh, but primarily by having advantages of gentle illumination and relatively rapid access to 3D information."
134,981.0,971.0,991.0,Yevgenia Kozorovitskiy,"And if you start combining that with the smart microscopy type approaches that were described by several groups in our previous brainstorming session, you could imagine situations where you can, you know, screen organoids that are developing in ways that are really efficient and give you a lot of the right kind of information."
135,997.5,991.0,1004.0,Yevgenia Kozorovitskiy,"So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth."
136,1010.25,1004.0,1016.5,Yevgenia Kozorovitskiy,"But if you think about, you know, broadly light shaping applications, I think would be would have been a better word to put there because light sheet to me it means that you rely somehow on camera based, um, sensor imaging, but light shaping applications are super broad and can rely on point detectors as well as camera based imaging and any kind of sensor that you want."
137,1022.75,1016.5,1029.0,Yevgenia Kozorovitskiy,And that's where I think there's a lot of
138,1037.0,1029.0,1045.0,Yevgenia Kozorovitskiy,"engineering, uh, that relates to depth where you have to kind of think separately about excitation delivery and then also, uh, as as as Sian thinks about a lot also getting back that information out somehow."
139,1052.5,1049.0,1056.0,Brad Smith,Would it be fair to say that the develop continued development of genetic reporters is is going to be key to this as well?
140,1060.25,1056.0,1064.5,Brad Smith,"Um, so the more the more colors you can see and the redder the colors you are, this is going to help or are we pretty happy with the genetic reporters that you've got now?"
141,1079.25,1075.0,1083.5,Sixian You,That's a that's a terrific that's a terrific point.
142,1087.75,1083.5,1092.0,Sixian You,"Actually, a lot of imaging technologies we're developing now, uh, I was just talking with Genia yesterday about this voltage indicators, right?"
143,1095.0,1092.0,1098.0,Sixian You,"So, uh that is one example where it has really strong potential, but it's just not bright enough."
144,1104.1666666666665,1098.0,1110.3333333333333,Sixian You,So I I think genetic reporters could be a very important breaking through point here.
145,1116.5,1110.3333333333333,1122.6666666666667,Sixian You,"So the brightness, right, the efficiency, quantum efficiency, and then the second point is uh like you mentioned, the longer wavelength."
146,1128.8333333333335,1122.6666666666667,1135.0,Sixian You,"Uh, so recently there are starting to have efforts uh to shift to longer wavelength so that not only the excitation is in the infrared region, but also the emission is also in."
147,1138.5,1136.0,1141.0,Sixian You,So right now what sort of uh probes do you use for voltage?
148,1143.5,1141.0,1146.0,Sixian You,Are those the aneps or are they other kind of nanoparticles?
149,1150.5,1147.0,1154.0,Sixian You,"Um, so I'm not as for this, um, we use genetic reporters, uh, something called ASAP and sometimes is uh some archam."
150,1165.8333333333335,1163.0,1168.6666666666667,Yevgenia Kozorovitskiy,I mean there's a couple of different families of voltage reporters.
151,1171.5,1168.6666666666667,1174.3333333333333,Yevgenia Kozorovitskiy,None of them are perfect.
152,1177.1666666666665,1174.3333333333333,1180.0,Yevgenia Kozorovitskiy,"Many of them are inverted, uh, meaning that, uh,"
153,1183.6666666666665,1180.0,1187.3333333333333,Yevgenia Kozorovitskiy,that you have a decrease in fluorescence rather than an increase in fluorescence in response to some event that you're detecting.
154,1191.0,1187.3333333333333,1194.6666666666667,Yevgenia Kozorovitskiy,That's of course not great because the probes are also bleaching.
155,1198.3333333333335,1194.6666666666667,1202.0,Yevgenia Kozorovitskiy,And so kind of would much rather quantify an increase in fluorescence.
156,1213.0,1202.0,1224.0,Yevgenia Kozorovitskiy,"Some of them are based off of GFP, other are based off of other kinds of proteins and their modalities under development for uh really nice multiphoton excitation, but also single photon uh has been quite, you know, broadly uh used."
157,1231.25,1224.0,1238.5,Yevgenia Kozorovitskiy,"Voltage sensor imaging is super important for neuroscience because despite the dominance of really heavily engineered GFP based calcium sensors, we know that calcium reporting of neural activity is really limited."
158,1245.75,1238.5,1253.0,Yevgenia Kozorovitskiy,"Uh, it's got really slow temporal kinetics, which helped us at first because we didn't have a good imaging methods to go faster."
159,1256.1666666666665,1253.0,1259.3333333333333,Yevgenia Kozorovitskiy,"Uh, but it's slow, you know, it misses neuronal action potentials."
160,1262.5,1259.3333333333333,1265.6666666666667,Yevgenia Kozorovitskiy,It doesn't report hyperpolarization very well unless on a really slow time scale.
161,1268.8333333333335,1265.6666666666667,1272.0,Yevgenia Kozorovitskiy,"Uh, it doesn't tell you very much about, you know, not nothing about sub threshold events, which is"
162,1277.0,1272.0,1282.0,Yevgenia Kozorovitskiy,"you know, everything about how neurons compute is about sub threshold very interesting biophysics and integration across the, you know, unique and neuron type specific uh dendritic trees that they used to collect information with."
163,1303.0,1293.0,1313.0,Brad Smith,"Yeah, I think uh um Jean Young's lecture yesterday is really showing a glimpse in the future of just how sophisticated some of these genetic reporters can become."
164,1322.0,1313.0,1331.0,Brad Smith,"Um maybe Carolyn bring you in as we've just sort of been focusing a little bit here on pure fluorescence, but photoacoustic is uh that's one of the"
165,1352.0,1331.0,1373.0,Carolyn Bayer,"I was kind of my question as I was listening is that um, are we only thinking about deep tissue imaging in the context of optics and it seems like it's a very, you know, optics microscopy heavy group, but um, obviously thinking about our colleagues that work in other imaging modalities like MRI."
166,1378.75,1373.0,1384.5,Carolyn Bayer,"Um, you know, I do photoacoustics which is using um optics to excite to then ultrasound acoustics to receive."
167,1390.25,1384.5,1396.0,Carolyn Bayer,"Um, you know, is there some other excitation that we should be thinking about beyond light since we know the limitations of light or"
168,1400.0,1396.0,1404.0,Carolyn Bayer,"alternatively, I mean just to describe what how we get around the limitation in photoacoustic imaging is that"
169,1412.0,1404.0,1420.0,Carolyn Bayer,"we are not worried about coherent focus light, you know, we're using scattered light for our imaging purpose."
170,1425.375,1421.0,1429.75,Carolyn Bayer,Um that said we still have depth limitations.
171,1434.125,1429.75,1438.5,Carolyn Bayer,"You know, we're limited to to two to three centimeters."
172,1442.875,1438.5,1447.25,Carolyn Bayer,I would say.
173,1451.625,1447.25,1456.0,Carolyn Bayer,"Um, but we still want to go deeper than that even obviously so that we can image clinically."
174,1461.0,1458.0,1464.0,Brad Smith,Well that's quite impressive two to three centimeters that uh that's um
175,1465.75,1464.0,1467.5,Brad Smith,Do you and that's not a problem for you?
176,1469.25,1467.5,1471.0,Brad Smith,I mean I I read this all the time in the papers but
177,1475.5,1471.0,1480.0,Brad Smith,it's one thing to read it do do you can one regularly do biomedical
178,1485.625,1480.0,1491.25,Carolyn Bayer,So we we so there's there's essentially two different strategies for photoacoustic imaging.
179,1496.875,1491.25,1502.5,Carolyn Bayer,There's optical resolution photoacoustic imaging and that those are the super impressive like vascular networks that you see in the papers.
180,1508.125,1502.5,1513.75,Carolyn Bayer,And then there's acoustic resolution.
181,1519.375,1513.75,1525.0,Carolyn Bayer,So what I do primarily is acoustic resolution.
182,1532.0,1525.0,1539.0,Carolyn Bayer,"So, um, my spatial resolution is not going to be even close to what all the optical microscopists um can do."
183,1546.0,1539.0,1553.0,Carolyn Bayer,So I'm spatial resolution is more in the 100 to 200 micron.
184,1556.0,1553.0,1559.0,Carolyn Bayer,But I think um there is
185,1565.5,1559.0,1572.0,Carolyn Bayer,"I think a a huge growth area, although um clinical translation becomes a little less obvious or a little bit large of a barrier is developing contrast agents, right?"
186,1581.5,1572.0,1591.0,Carolyn Bayer,"And so not just agents which have different chromophore properties but maybe are responsive in some way, you know, are triggerable, um,"
187,1602.5,1591.0,1614.0,Carolyn Bayer,"rather than um, you know, so sort of distinguishing between different reactions rather than relying on um multi wavelength for multi chromophore kind of approach to distinguish between contrast agents or probes."
188,1620.5,1614.0,1627.0,Carolyn Bayer,"could be used, anything that's absorbing light or another form of energy could in theory be used to generate an acoustic signal."
189,1633.5,1627.0,1640.0,Carolyn Bayer,"Um, and so the the problem we'll run into though with deep tissue imaging is sensitivity."
190,1646.5,1640.0,1653.0,Carolyn Bayer,"Um, so if you had a genetic reporter, you're not likely generating sufficient concentrations at depth that you would have the sensitivity necessary to detect it."
191,1659.5,1653.0,1666.0,Carolyn Bayer,"Um, you know, we think a lot though about redesigning our systems for improved signal to noise, you know, improved light delivery, you know, and all of those things can work in your favor when you're trying to really push the limits on sensitivity, but we obviously have some big goals and big challenges."
192,1674.6666666666665,1667.0,1682.3333333333333,Alexandra Dickinson,"I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific."
193,1690.0,1682.3333333333333,1697.6666666666667,Alexandra Dickinson,"I'm wondering for photoacoustic imaging, you know, I hear a lot about detecting hemoglobin and I assume that's because it's very concentrated and has sort of spectral properties that are that are easy to detect using a photoacoustic imaging."
194,1705.3333333333335,1697.6666666666667,1713.0,Alexandra Dickinson,"What other kinds of molecules can you detect and um, yeah, what is the kind of specificity?"
195,1717.0,1713.0,1721.0,Carolyn Bayer,"Yeah, so we use ICG, you know, um, so we're typically imaging in the near infrared, um, far near infrared if we can get those dyes."
196,1725.0,1721.0,1729.0,Carolyn Bayer,"Um, and you know, I'll often talk to people who are developing fluorescent probes who have failures that aren't fluorescent."
197,1733.0,1729.0,1737.0,Carolyn Bayer,"You know, so those are the ones that we can image well."
198,1737.5,1737.0,1738.0,Alexandra Dickinson,Failures?
199,1739.75,1738.0,1741.5,Carolyn Bayer,"Sorry, do they have to be both?"
200,1743.25,1741.5,1745.0,Carolyn Bayer,Can they be fluorescent probes that work and?
201,1749.0,1745.0,1753.0,Carolyn Bayer,"Well, I just say that because most people are trying to develop them for fluorescence and they're like, what else could I use this for?"
202,1757.0,1753.0,1761.0,Carolyn Bayer,Well absorb.
203,1767.0,1761.0,1773.0,Yevgenia Kozorovitskiy,You're just the same argument made for pH sensing uh probes last uh breakout meeting where it was other people's failures were the best probes for this guy.
204,1774.0,1773.0,1775.0,Alexandra Dickinson,"Yeah, that's that's where we're at."
205,1780.5,1775.0,1786.0,Carolyn Bayer,"But I think um that I mean, obviously the other thing that absorbs light strongly is nano particles."
206,1791.5,1786.0,1797.0,Carolyn Bayer,Um so there's been a lot of people in photoacoustics that have used metallic nano particles which have surface plasma resonance that absorb it.
207,1811.25,1807.0,1815.5,Barbara Smith,There's some molecular um endogenous agents also photoacoustics um specific wavelengths have been shown with lipids and with DNA.
208,1819.75,1815.5,1824.0,Barbara Smith,Um so uh there's a a couple of components of cells and extracellular area.
209,1831.8333333333335,1824.0,1839.6666666666667,Barbara Smith,"And then I think what they meant by failures is uh with the fluorescence, um you've got the excitation and the emission and um, so it the those molecules are very good at at taking in and then emitting."
210,1847.5,1839.6666666666667,1855.3333333333333,Barbara Smith,"So if a molecule is not as good at emitting, it takes in a certain wavelength and it's very good for photoacoustics at that point because then that heat is a that energy is absorbed, it gets excited and then it can produce a photoacoustic response more than a fluorescent response."
211,1863.1666666666665,1855.3333333333333,1871.0,Barbara Smith,"So you can use a molecule that's not very good um at a at being fluorescent, you can still use it for fluorescence but it's not so good um but you can also generate a photoacoustic effect from it."
212,1886.5833333333335,1883.0,1890.1666666666667,Aniruddha Ray,"So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer."
213,1893.75,1890.1666666666667,1897.3333333333333,Aniruddha Ray,"So melanin absorbs, everything absorbs."
214,1900.9166666666665,1897.3333333333333,1904.5,Aniruddha Ray,So it's a big challenge to actually figure out where your signal is uh if your signal is coming from where you want it to be.
215,1908.0833333333335,1904.5,1911.6666666666667,Aniruddha Ray,And and that's where targeted contrast agents they really help.
216,1915.25,1911.6666666666667,1918.8333333333333,Aniruddha Ray,"So everything, like every part of our body is talking all the time."
217,1922.4166666666665,1918.8333333333333,1926.0,Aniruddha Ray,"So whenever you're exposed to light, they are generating tiny bit of acoustic signal, so it's almost like talking."
218,1928.0,1926.0,1930.0,Brad Smith,I think a couple of you are experts at at like fibers or wave guides or things that actually send the light in.
219,1932.0,1930.0,1934.0,Brad Smith,Do you want to?
220,1939.5,1934.0,1945.0,Barbara Smith,So what do we do in my lab?
221,1950.5,1945.0,1956.0,Barbara Smith,We're using um we're using actually clinically and clinical and research tools um to translate light and sound.
222,1961.5,1956.0,1967.0,Barbara Smith,"And so we use electrodes as our wave guides to um to send light down, uh target a molecule of interest in the in the deep tissue um that uh might have a some genetic marker."
223,1972.5,1967.0,1978.0,Barbara Smith,And then um we we can get both sound wave and light wave back up the electrode.
224,1984.75,1978.0,1991.5,Barbara Smith,"And so all all we need um is all of our um all of our software part uh and then the hardware part that we need is um the laser, uh optical fiber, any of optics that we need and then we um we trans transfer that light down."
225,1998.25,1991.5,2005.0,Barbara Smith,And we use that both in in research applications and then we also um use that in clinical applications.
226,2012.75,2005.0,2020.5,Barbara Smith,"And so we uh we develop um integrated systems for like pipels uh so for endometrial cancer for instance that um right now they go in blind and um an OBGYN will take out cells um in in throughout the uterus, but it's just a vacuum system that they'll place in and they'll um release a vacuum and then that tube will be removed manually."
227,2028.25,2020.5,2036.0,Barbara Smith,And so we've integrated like an optical and acoustic system into that so that they can have visual guidance and eyes where they're currently going in blind.
228,2043.75,2036.0,2051.5,Barbara Smith,"And so um how we um re I I would say um reposition the light as we go at a 90 degree angle, we'll we'll place an optical fiber in with um with some kind of redirection."
229,2059.25,2051.5,2067.0,Barbara Smith,"And so we can get um both optics and acoustics coming from the surrounding area so we can look for different different things both endogenous, so like um that hemoglobin and and different kinds of areas where there's increased vasculature um and acoustic information as well and they're also doing transactional ultrasounds."
230,2074.75,2067.0,2082.5,Barbara Smith,So they're doing acoustic information anyways.
231,2090.25,2082.5,2098.0,Barbara Smith,Um so we've we've integrated tools into research and clinical.
232,2101.5,2098.0,2105.0,Brad Smith,"It um it it always impresses me that you know, if you if you do get sick or you know, you get some sort of cancer like that, you"
233,2108.0,2105.0,2111.0,Brad Smith,"The best labs or the place or the best clinics, you know, that that I've sort of learned that with surgery as well is that there's still a a human performance in these technologies as they guide these things in."
234,2114.0,2111.0,2117.0,Brad Smith,It's uh training is still a very important.
235,2120.0,2117.0,2123.0,Brad Smith,I mean eventually I suppose robotics can take this over.
